date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-17,-20,-13,-20,19,66,71,0.0,1039,-13,10,345,13,SDF
2018-01-01 03:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-18,-20,-14,-20,17,37,70,0.0,1040,-13,10,333,12,SDF
2018-01-01 06:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-19,-21,-15,-21,13,12,71,0.0,1041,-15,10,328,10,SDF
2018-01-01 09:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-22,-20,-14,-20,14,0,51,0.0,1043,-14,10,317,12,SDF
2018-01-01 12:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-25,-16,-10,-16,13,0,29,0.0,1043,-10,10,308,12,SDF
2018-01-01 15:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-25,-17,-10,-17,17,0,29,0.0,1042,-10,10,315,14,SDF
2018-01-01 18:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-23,-17,-12,-17,15,0,36,0.0,1043,-12,10,324,10,SDF
2018-01-01 21:00:00,-10,-15,0.0,9.3,1,97,06:29 PM,08:15 AM,09:00 AM,06:34 PM,-22,-19,-13,-19,13,0,47,0.0,1043,-13,10,337,10,SDF
2018-01-02 00:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-21,-21,-15,-21,11,0,56,0.0,1044,-16,10,336,10,SDF
2018-01-02 03:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-20,-16,-13,-16,5,0,57,0.0,1043,-16,10,342,5,SDF
2018-01-02 06:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-20,-19,-15,-19,7,0,64,0.0,1043,-17,10,330,6,SDF
2018-01-02 09:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-20,-13,-11,-13,4,0,48,0.0,1043,-14,10,271,3,SDF
2018-01-02 12:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-21,-11,-8,-11,7,0,33,0.0,1040,-9,10,243,6,SDF
2018-01-02 15:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-21,-9,-6,-9,8,0,28,0.0,1036,-7,10,260,7,SDF
2018-01-02 18:00:00,-7,-17,0.0,9.3,2,100,07:36 PM,09:19 AM,09:00 AM,06:34 PM,-19,-9,-7,-9,4,0,40,0.0,1034,-10,10,249,3,SDF
