date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-11-11 00:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,13,13,15,13,4,1,71,0.0,1016,13,10,224,4,SFO
2019-11-11 01:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,12,14,16,14,4,2,71,0.0,1016,14,10,210,3,SFO
2019-11-11 02:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,12,16,16,16,5,2,71,0.0,1016,16,10,196,3,SFO
2019-11-11 03:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,12,17,17,17,5,2,71,0.0,1016,17,10,183,3,SFO
2019-11-11 04:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,11,17,17,17,7,5,68,0.0,1016,17,10,140,4,SFO
2019-11-11 05:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,10,17,17,17,9,8,65,0.0,1016,17,10,98,5,SFO
2019-11-11 06:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,10,17,17,17,10,11,62,0.0,1016,17,10,56,6,SFO
2019-11-11 07:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,17,17,17,12,14,60,0.0,1016,17,10,55,6,SFO
2019-11-11 08:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,16,17,16,13,18,58,0.0,1016,17,10,55,7,SFO
2019-11-11 09:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,7,16,16,16,14,22,56,0.0,1017,16,10,55,7,SFO
2019-11-11 10:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,18,18,18,12,17,52,0.0,1017,18,10,45,7,SFO
2019-11-11 11:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,19,20,19,10,12,49,0.0,1017,19,10,35,6,SFO
2019-11-11 12:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,21,21,21,8,7,45,0.0,1017,21,10,25,6,SFO
2019-11-11 13:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,21,22,21,10,11,44,0.0,1017,21,10,52,7,SFO
2019-11-11 14:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,21,22,21,12,15,42,0.0,1016,21,10,79,7,SFO
2019-11-11 15:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,22,23,22,13,20,41,0.0,1016,22,10,106,8,SFO
2019-11-11 16:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,21,22,21,15,31,43,0.0,1016,21,10,178,8,SFO
2019-11-11 17:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,20,21,20,17,43,46,0.0,1016,20,10,249,9,SFO
2019-11-11 18:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,8,20,20,20,18,55,48,0.0,1016,20,10,321,9,SFO
2019-11-11 19:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,19,19,19,16,70,52,0.0,1016,19,10,288,8,SFO
2019-11-11 20:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,18,18,18,14,85,55,0.0,1016,18,10,256,7,SFO
2019-11-11 21:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,17,17,17,12,100,59,0.0,1017,17,10,224,5,SFO
2019-11-11 22:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,17,17,17,10,99,60,0.0,1017,17,10,163,4,SFO
2019-11-11 23:00:00,22,15,0.0,10.6,5,99,05:58 PM,06:44 AM,07:45 AM,06:02 PM,9,17,17,17,8,98,60,0.0,1017,17,10,102,3,SFO
2019-11-12 00:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,17,17,17,6,97,61,0.0,1017,17,10,41,3,SFO
2019-11-12 01:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,16,16,16,6,94,61,0.0,1017,16,10,63,3,SFO
2019-11-12 02:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,6,91,61,0.0,1017,16,10,84,3,SFO
2019-11-12 03:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,6,88,61,0.0,1017,16,10,106,3,SFO
2019-11-12 04:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,7,83,61,0.0,1017,16,10,106,3,SFO
2019-11-12 05:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,15,15,15,7,78,61,0.0,1017,15,10,106,3,SFO
2019-11-12 06:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,15,15,15,8,73,61,0.0,1017,15,10,106,4,SFO
2019-11-12 07:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,7,65,60,0.0,1017,16,10,87,3,SFO
2019-11-12 08:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,6,57,59,0.0,1018,16,10,68,3,SFO
2019-11-12 09:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,16,16,16,5,49,58,0.0,1018,16,10,49,3,SFO
2019-11-12 10:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,17,17,17,5,51,55,0.0,1018,17,10,79,3,SFO
2019-11-12 11:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,8,18,18,18,5,54,52,0.0,1018,18,10,108,3,SFO
2019-11-12 12:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,20,20,20,5,56,49,0.0,1018,20,10,137,4,SFO
2019-11-12 13:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,20,20,20,6,63,48,0.0,1018,20,10,199,4,SFO
2019-11-12 14:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,20,20,20,6,70,48,0.0,1017,20,10,260,4,SFO
2019-11-12 15:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,21,21,21,7,77,47,0.0,1016,21,10,321,4,SFO
2019-11-12 16:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,20,20,20,8,62,49,0.0,1016,20,10,311,5,SFO
2019-11-12 17:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,20,20,20,9,48,51,0.0,1016,20,10,302,5,SFO
2019-11-12 18:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,9,19,19,19,10,33,54,0.0,1016,19,10,292,5,SFO
2019-11-12 19:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,10,18,18,18,10,41,58,0.0,1016,18,10,290,5,SFO
2019-11-12 20:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,10,17,17,17,11,49,63,0.0,1016,17,10,288,5,SFO
2019-11-12 21:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,10,16,16,16,11,57,67,0.0,1016,16,10,286,5,SFO
2019-11-12 22:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,10,16,16,16,10,71,68,0.0,1016,16,10,270,5,SFO
2019-11-12 23:00:00,21,15,0.0,10.0,4,100,06:31 PM,07:44 AM,07:46 AM,06:01 PM,10,16,16,16,9,85,70,0.0,1016,16,10,254,4,SFO
