date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,9,12,12,12,1,41,87,0.0,1022,11,10,337,0,SJC
2018-01-01 03:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,10,11,11,11,2,12,89,0.0,1023,10,10,135,1,SJC
2018-01-01 06:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,12,14,14,14,3,2,88,0.0,1023,10,10,0,3,SJC
2018-01-01 09:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,11,15,15,15,2,2,74,0.0,1024,13,10,93,1,SJC
2018-01-01 12:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,10,21,21,21,7,0,48,0.0,1022,18,10,20,6,SJC
2018-01-01 15:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,8,16,16,16,4,32,56,0.0,1022,16,10,302,3,SJC
2018-01-01 18:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,8,16,16,16,6,5,60,0.0,1021,14,10,65,4,SJC
2018-01-01 21:00:00,18,10,0.0,9.8,4,97,06:03 PM,07:44 AM,08:22 AM,06:01 PM,8,15,15,15,6,3,63,0.0,1022,13,10,139,4,SJC
2018-01-02 00:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,6,15,15,15,9,8,58,0.0,1022,13,10,76,5,SJC
2018-01-02 03:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,4,14,14,14,8,13,53,0.0,1022,13,10,121,4,SJC
2018-01-02 06:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,3,14,14,14,10,21,50,0.0,1022,13,10,64,5,SJC
2018-01-02 09:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,4,16,16,16,3,31,46,0.0,1022,15,10,126,3,SJC
2018-01-02 12:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,5,19,19,19,5,49,40,0.0,1020,18,10,6,4,SJC
2018-01-02 15:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,7,16,16,16,2,43,53,0.0,1020,16,10,345,1,SJC
2018-01-02 18:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,6,16,16,16,10,5,55,0.0,1019,14,10,64,5,SJC
2018-01-02 21:00:00,18,13,0.0,9.8,4,100,07:10 PM,08:47 AM,08:22 AM,06:02 PM,6,15,14,15,6,5,57,0.0,1019,13,10,112,4,SJC
2018-01-03 00:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,5,15,15,15,9,4,52,0.0,1018,13,10,85,5,SJC
2018-01-03 03:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,3,15,14,15,10,4,47,0.0,1018,13,10,120,5,SJC
2018-01-03 06:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,1,14,14,14,11,10,42,0.0,1017,13,10,77,5,SJC
2018-01-03 09:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,3,15,15,15,5,73,44,0.0,1018,15,10,184,3,SJC
2018-01-03 12:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,6,15,15,15,8,61,56,0.0,1016,14,10,82,5,SJC
2018-01-03 15:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,8,13,14,13,19,61,68,0.0,1017,14,10,113,12,SJC
2018-01-03 18:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,9,14,14,14,10,35,75,0.0,1016,13,10,111,5,SJC
2018-01-03 21:00:00,15,13,0.0,6.6,4,89,08:19 PM,09:43 AM,08:22 AM,06:03 PM,11,14,14,14,10,76,83,0.0,1016,14,10,135,6,SJC
2018-01-04 00:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,11,15,15,15,10,61,81,0.4,1017,14,10,118,6,SJC
2018-01-04 03:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,10,13,14,13,18,37,80,0.0,1018,13,10,109,10,SJC
2018-01-04 06:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,10,13,13,13,12,29,83,0.0,1018,13,10,129,6,SJC
2018-01-04 09:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,11,16,16,16,16,39,74,0.0,1019,16,10,141,12,SJC
2018-01-04 12:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,12,19,19,19,11,58,66,0.0,1018,18,10,191,9,SJC
2018-01-04 15:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,13,18,18,18,10,11,72,0.0,1018,18,10,195,8,SJC
2018-01-04 18:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,13,16,16,16,7,22,85,0.0,1019,15,10,182,4,SJC
2018-01-04 21:00:00,18,13,0.0,9.8,4,81,09:29 PM,10:32 AM,08:22 AM,06:03 PM,13,15,15,15,11,61,89,0.0,1021,15,10,136,6,SJC
2018-01-05 00:00:00,17,12,0.0,6.6,4,74,10:37 PM,11:14 AM,08:22 AM,06:04 PM,13,15,15,15,13,31,88,0.0,1021,15,10,144,8,SJC
