date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,3,10,10,10,8,18,65,0.0,1023,9,10,189,4,SMF
2018-01-01 03:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,4,10,9,10,7,5,68,0.0,1024,8,10,192,4,SMF
2018-01-01 06:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,4,9,9,9,3,4,73,0.0,1024,7,10,223,2,SMF
2018-01-01 09:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,15,15,15,2,2,57,0.0,1025,12,10,321,2,SMF
2018-01-01 12:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,6,18,18,18,8,2,45,0.0,1022,17,10,320,7,SMF
2018-01-01 15:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,8,17,17,17,4,4,55,0.0,1022,15,10,334,3,SMF
2018-01-01 18:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,7,13,13,13,4,4,65,0.0,1022,12,10,337,2,SMF
2018-01-01 21:00:00,17,7,0.0,8.7,4,97,05:58 PM,07:46 AM,08:24 AM,05:56 PM,5,11,11,11,9,91,68,0.0,1023,11,10,174,4,SMF
2018-01-02 00:00:00,17,8,0.0,7.0,4,100,07:05 PM,08:49 AM,08:24 AM,05:57 PM,6,12,12,12,5,6,70,0.0,1023,10,10,118,3,SMF
2018-01-02 03:00:00,17,8,0.0,7.0,4,100,07:05 PM,08:49 AM,08:24 AM,05:57 PM,5,10,10,10,8,6,72,0.0,1024,9,10,196,4,SMF
