date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-20,-25,-17,-25,20,2,76,0.0,1045,-17,10,324,14,STL
2018-01-01 03:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-23,-29,-19,-29,23,0,74,0.0,1046,-19,10,328,17,STL
2018-01-01 06:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-24,-29,-21,-29,17,0,71,0.0,1048,-21,10,320,13,STL
2018-01-01 09:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-25,-29,-20,-29,19,0,67,0.0,1048,-20,10,321,14,STL
2018-01-01 12:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-23,-22,-16,-22,13,0,51,0.0,1048,-16,10,303,11,STL
2018-01-01 15:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-22,-21,-14,-21,14,0,50,0.0,1046,-14,10,317,12,STL
2018-01-01 18:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-19,-20,-14,-20,12,0,65,0.0,1046,-15,10,303,9,STL
2018-01-01 21:00:00,-14,-21,0.0,8.7,2,97,05:48 PM,07:36 AM,08:19 AM,05:51 PM,-18,-20,-14,-20,10,0,72,0.0,1046,-16,10,336,8,STL
2018-01-02 00:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-19,-20,-15,-20,9,0,74,0.0,1045,-16,10,329,8,STL
2018-01-02 03:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-18,-18,-14,-18,7,0,76,0.0,1045,-17,10,342,6,STL
2018-01-02 06:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-18,-14,-14,-14,3,0,76,0.0,1044,-18,10,293,3,STL
2018-01-02 09:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-19,-18,-14,-18,7,0,65,0.0,1043,-16,10,264,6,STL
2018-01-02 12:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-19,-13,-10,-13,8,0,47,0.0,1040,-11,10,243,7,STL
2018-01-02 15:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-18,-12,-7,-12,10,0,41,0.0,1036,-9,10,231,9,STL
2018-01-02 18:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-17,-14,-9,-14,13,4,54,0.0,1033,-10,10,166,8,STL
2018-01-02 21:00:00,-9,-18,0.0,8.7,2,100,06:54 PM,08:39 AM,08:20 AM,05:52 PM,-19,-16,-10,-16,22,4,49,0.0,1030,-10,10,187,12,STL
2018-01-03 00:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-19,-15,-10,-15,20,16,46,0.0,1027,-10,10,225,11,STL
2018-01-03 03:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-18,-14,-8,-14,25,25,44,0.0,1025,-8,10,235,16,STL
2018-01-03 06:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-15,-14,-8,-14,22,12,56,0.0,1024,-8,10,246,12,STL
2018-01-03 09:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-14,-14,-7,-14,26,73,55,0.0,1024,-7,10,290,18,STL
2018-01-03 12:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-11,-11,-4,-11,24,97,58,0.0,1024,-4,10,305,20,STL
2018-01-03 15:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-12,-12,-5,-12,28,95,62,0.0,1024,-5,10,313,22,STL
2018-01-03 18:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-12,-14,-8,-14,20,78,72,0.0,1026,-8,10,327,13,STL
2018-01-03 21:00:00,-4,-11,0.0,3.5,2,89,08:04 PM,09:36 AM,08:20 AM,05:53 PM,-14,-19,-11,-19,26,52,77,0.0,1028,-11,10,334,18,STL
2018-01-04 00:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-16,-20,-13,-20,21,52,75,0.0,1030,-13,10,328,15,STL
2018-01-04 03:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-17,-22,-14,-22,22,17,76,0.0,1030,-14,10,330,15,STL
2018-01-04 06:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-19,-22,-15,-22,15,5,73,0.0,1031,-15,10,317,11,STL
2018-01-04 09:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-19,-21,-14,-21,13,4,69,0.0,1031,-15,10,320,10,STL
2018-01-04 12:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-18,-15,-10,-15,11,19,51,0.0,1031,-11,10,319,9,STL
2018-01-04 15:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-17,-14,-9,-14,12,46,49,0.0,1030,-9,10,327,10,STL
2018-01-04 18:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-16,-11,-9,-11,5,100,54,0.0,1030,-9,10,352,4,STL
2018-01-04 21:00:00,-9,-15,0.0,8.7,2,81,09:15 PM,10:24 AM,08:20 AM,05:53 PM,-15,-12,-9,-12,7,76,61,0.0,1030,-9,10,6,5,STL
2018-01-05 00:00:00,-6,-10,0.0,5.2,1,74,10:23 PM,11:06 AM,08:20 AM,05:54 PM,-13,-13,-10,-13,6,100,74,0.0,1030,-10,10,59,5,STL
