date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,27,38,37,77,0.0,1016,27,10,89,28,STX
2018-01-01 03:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,26,42,39,78,0.1,1016,26,10,87,30,STX
2018-01-01 06:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,27,39,38,76,0.0,1017,27,10,85,29,STX
2018-01-01 09:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,27,41,41,76,0.0,1018,27,10,84,30,STX
2018-01-01 12:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,27,36,37,76,0.0,1016,27,10,81,26,STX
2018-01-01 15:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,26,34,39,77,0.0,1015,26,10,73,26,STX
2018-01-01 18:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,29,29,26,36,30,77,0.0,1017,26,10,72,27,STX
2018-01-01 21:00:00,27,26,0.0,11.1,7,97,09:44 PM,10:06 AM,10:50 AM,09:56 PM,22,28,28,26,37,47,77,0.0,1017,26,10,68,28,STX
2018-01-02 00:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,21,28,28,26,33,40,77,0.0,1016,26,10,67,24,STX
2018-01-02 03:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,21,28,28,26,33,29,76,0.1,1015,26,10,68,24,STX
2018-01-02 06:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,21,28,28,26,27,28,74,0.0,1016,26,10,69,20,STX
2018-01-02 09:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,21,28,28,26,30,37,75,0.0,1016,26,10,74,22,STX
2018-01-02 12:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,22,29,29,27,22,39,75,0.0,1014,26,10,91,16,STX
2018-01-02 15:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,22,29,29,27,23,35,75,0.0,1014,26,10,85,17,STX
2018-01-02 18:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,22,29,29,26,23,29,75,0.0,1015,26,10,85,17,STX
2018-01-02 21:00:00,26,26,0.0,11.1,7,100,10:48 PM,11:10 AM,10:50 AM,09:56 PM,22,29,29,26,24,19,76,0.1,1015,26,10,81,18,STX
2018-01-03 00:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,21,28,28,26,21,25,76,0.0,1014,26,10,85,15,STX
2018-01-03 03:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,21,28,28,26,23,66,75,0.0,1014,26,10,86,17,STX
2018-01-03 06:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,26,20,42,76,0.0,1015,26,10,92,15,STX
2018-01-03 09:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,26,25,37,77,0.1,1016,26,10,98,18,STX
2018-01-03 12:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,27,26,26,75,0.0,1014,27,10,116,19,STX
2018-01-03 15:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,27,22,18,75,0.0,1013,27,10,117,16,STX
2018-01-03 18:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,27,26,23,76,0.0,1015,27,10,117,19,STX
2018-01-03 21:00:00,27,26,0.0,11.1,7,89,11:53 PM,12:10 PM,10:51 AM,09:57 PM,22,29,29,27,23,27,76,0.0,1016,27,10,118,17,STX
2018-01-04 00:00:00,27,26,0.0,11.1,7,81,No moonrise,01:07 PM,10:51 AM,09:58 PM,22,29,29,26,23,19,76,0.0,1015,26,10,106,17,STX
2018-01-04 03:00:00,27,26,0.0,11.1,7,81,No moonrise,01:07 PM,10:51 AM,09:58 PM,22,29,29,26,21,27,77,0.0,1014,26,10,97,15,STX
