date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-8,-6,-2,-6,21,11,67,0.0,1031,-2,10,125,10,TWF
2018-01-01 03:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-7,-5,-3,-5,14,12,70,0.0,1030,-3,10,121,6,TWF
2018-01-01 06:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-8,-5,-3,-5,11,23,70,0.0,1031,-3,10,151,5,TWF
2018-01-01 09:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-8,-3,-3,-3,3,38,69,0.0,1031,-3,10,219,1,TWF
2018-01-01 12:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-7,-2,0,-2,9,43,57,0.0,1032,0,10,248,7,TWF
2018-01-01 15:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-5,-1,2,-1,14,24,61,0.0,1030,2,10,278,12,TWF
2018-01-01 18:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-5,-4,-2,-4,13,11,81,0.0,1031,-2,10,244,6,TWF
2018-01-01 21:00:00,2,-3,0.0,8.7,2,97,06:18 PM,08:27 AM,09:08 AM,06:16 PM,-6,-5,-3,-5,12,5,78,0.0,1032,-3,10,228,6,TWF
2018-01-02 00:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-7,-5,-4,-5,8,3,80,0.0,1034,-4,10,207,4,TWF
2018-01-02 03:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-7,-4,-4,-4,5,2,78,0.0,1035,-4,10,144,3,TWF
2018-01-02 06:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-8,-9,-5,-9,18,3,76,0.0,1037,-5,10,106,9,TWF
2018-01-02 09:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-9,-9,-6,-9,17,0,74,0.0,1037,-6,10,103,8,TWF
2018-01-02 12:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-7,-6,-2,-6,18,0,67,0.0,1038,-2,10,92,12,TWF
2018-01-02 15:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-4,-3,0,-3,16,0,71,0.0,1035,0,10,72,11,TWF
2018-01-02 18:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-7,-6,-3,-6,13,0,73,0.0,1035,-3,10,87,6,TWF
2018-01-02 21:00:00,0,-6,0.0,8.7,2,100,07:25 PM,09:30 AM,09:08 AM,06:17 PM,-9,-7,-4,-7,17,3,69,0.0,1035,-4,10,100,8,TWF
2018-01-03 00:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-9,-8,-4,-8,23,97,66,0.0,1035,-4,10,109,11,TWF
2018-01-03 03:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-9,-8,-4,-8,23,99,65,0.0,1033,-4,10,109,11,TWF
2018-01-03 06:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-9,-8,-4,-8,21,6,66,0.0,1034,-4,10,117,10,TWF
2018-01-03 09:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-9,-7,-4,-7,20,6,67,0.0,1032,-4,10,123,9,TWF
2018-01-03 12:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-5,-2,0,-2,8,7,67,0.0,1031,-0,10,97,5,TWF
2018-01-03 15:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-3,-1,2,-1,11,6,72,0.0,1027,2,10,64,8,TWF
2018-01-03 18:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-5,-4,-2,-4,11,9,76,0.0,1027,-2,10,71,5,TWF
2018-01-03 21:00:00,2,-4,0.0,8.7,1,89,08:37 PM,10:24 AM,09:08 AM,06:17 PM,-7,-5,-2,-5,15,12,72,0.0,1028,-2,10,105,7,TWF
2018-01-04 00:00:00,3,-3,0.0,8.7,2,81,09:49 PM,11:11 AM,09:08 AM,06:18 PM,-8,-6,-3,-6,16,9,71,0.0,1028,-3,10,99,8,TWF
2018-01-04 03:00:00,3,-3,0.0,8.7,2,81,09:49 PM,11:11 AM,09:08 AM,06:18 PM,-8,-6,-3,-6,20,5,66,0.0,1028,-3,10,103,9,TWF
2018-01-04 06:00:00,3,-3,0.0,8.7,2,81,09:49 PM,11:11 AM,09:08 AM,06:18 PM,-9,-6,-3,-6,17,3,64,0.0,1028,-3,10,122,8,TWF
2018-01-04 09:00:00,3,-3,0.0,8.7,2,81,09:49 PM,11:11 AM,09:08 AM,06:18 PM,-8,-5,-2,-5,17,7,62,0.0,1027,-2,10,110,8,TWF
