date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-14,-8,-3,-8,16,34,44,0.0,1029,-3,10,332,13,ATL
2018-01-01 03:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-17,-9,-4,-9,19,40,37,0.0,1030,-4,10,342,15,ATL
2018-01-01 06:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-18,-12,-7,-12,17,68,39,0.0,1032,-7,10,329,13,ATL
2018-01-01 09:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-15,-9,-4,-9,15,31,40,0.0,1034,-4,10,357,13,ATL
2018-01-01 12:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-15,-6,-2,-6,12,10,37,0.0,1034,-3,10,336,11,ATL
2018-01-01 15:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-15,-6,-1,-6,16,33,33,0.0,1034,-1,10,339,14,ATL
2018-01-01 18:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-15,-8,-3,-8,15,0,41,0.0,1035,-5,10,327,13,ATL
2018-01-01 21:00:00,-1,-7,0.0,10.0,2,97,06:35 PM,07:59 AM,08:42 AM,06:40 PM,-16,-10,-5,-10,16,0,42,0.0,1036,-6,10,349,14,ATL
2018-01-02 00:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-17,-11,-6,-11,12,11,40,0.0,1036,-7,10,349,10,ATL
2018-01-02 03:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-18,-9,-6,-9,9,32,39,0.0,1037,-7,10,353,7,ATL
2018-01-02 06:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-17,-10,-7,-10,9,4,43,0.0,1038,-8,10,3,8,ATL
2018-01-02 09:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-18,-6,-3,-6,9,8,31,0.0,1037,-4,10,42,8,ATL
2018-01-02 12:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-18,1,2,1,4,15,20,0.0,1035,1,10,44,4,ATL
2018-01-02 15:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-19,1,2,1,5,30,19,0.0,1032,1,10,26,4,ATL
2018-01-02 18:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-17,-3,-2,-3,8,49,29,0.0,1031,-2,10,53,4,ATL
2018-01-02 21:00:00,1,-8,0.0,10.0,2,100,07:41 PM,09:02 AM,08:42 AM,06:41 PM,-18,-4,-3,-4,8,78,29,0.0,1030,-3,10,86,5,ATL
2018-01-03 00:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-18,-5,-2,-5,9,100,29,0.0,1029,-3,10,77,6,ATL
2018-01-03 03:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-19,-5,-2,-5,8,100,26,0.0,1027,-3,10,65,6,ATL
2018-01-03 06:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-18,-3,-2,-3,4,100,28,0.0,1026,-3,10,38,3,ATL
2018-01-03 09:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-20,-2,-0,-2,7,100,22,0.0,1025,-1,10,344,6,ATL
2018-01-03 12:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-18,1,3,1,7,65,20,0.0,1022,2,10,338,6,ATL
2018-01-03 15:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-14,0,3,0,12,18,26,0.0,1019,3,10,315,11,ATL
2018-01-03 18:00:00,3,-3,0.0,8.3,1,89,08:49 PM,10:00 AM,08:42 AM,06:42 PM,-14,-3,-1,-3,14,12,36,0.0,1020,-1,10,291,8,ATL
