date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-12,13,13,13,10,2,16,0.0,1021,12,10,62,5,AZA
2018-01-01 03:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-13,12,12,12,13,2,16,0.0,1021,12,10,58,6,AZA
2018-01-01 06:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-13,9,11,9,26,3,18,0.0,1022,11,10,61,12,AZA
2018-01-01 09:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-13,9,10,9,19,0,18,0.0,1022,10,10,63,9,AZA
2018-01-01 12:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-12,18,18,18,7,0,12,0.0,1022,18,10,73,6,AZA
2018-01-01 15:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-11,22,22,23,6,0,9,0.0,1019,22,10,273,5,AZA
2018-01-01 18:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-9,18,18,18,11,0,14,0.0,1019,18,10,298,5,AZA
2018-01-01 21:00:00,22,10,0.0,8.7,4,97,05:30 PM,06:52 AM,07:31 AM,05:31 PM,-11,15,14,15,8,16,17,0.0,1020,14,10,337,4,AZA
2018-01-02 00:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-11,13,13,13,4,12,17,0.0,1021,12,10,6,2,AZA
2018-01-02 03:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-11,12,12,12,5,33,18,0.0,1021,12,10,58,3,AZA
2018-01-02 06:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-13,10,11,10,23,100,16,0.0,1021,11,10,75,11,AZA
2018-01-02 09:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-13,11,11,11,17,100,17,0.0,1021,11,10,64,8,AZA
2018-01-02 12:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-13,18,18,18,11,32,11,0.0,1022,18,10,68,9,AZA
2018-01-02 15:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-10,23,23,23,2,18,10,0.0,1019,23,10,60,2,AZA
2018-01-02 18:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-8,19,19,19,10,18,16,0.0,1019,19,10,330,5,AZA
2018-01-02 21:00:00,23,11,0.0,7.1,5,100,06:36 PM,07:55 AM,07:31 AM,05:31 PM,-9,16,16,16,23,12,16,0.0,1020,16,10,40,11,AZA
2018-01-03 00:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-11,14,15,14,32,18,16,0.0,1021,15,10,56,15,AZA
2018-01-03 03:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-13,12,13,12,30,20,15,0.0,1021,13,10,58,14,AZA
2018-01-03 06:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-12,12,14,12,41,13,16,0.0,1021,14,10,65,19,AZA
2018-01-03 09:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-11,11,13,11,31,3,19,0.0,1021,13,10,65,15,AZA
2018-01-03 12:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-10,21,21,21,26,7,11,0.0,1021,21,10,75,22,AZA
2018-01-03 15:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-11,23,23,24,21,13,9,0.0,1017,24,10,93,18,AZA
2018-01-03 18:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-11,21,21,21,24,27,11,0.0,1017,21,10,63,14,AZA
2018-01-03 21:00:00,24,13,0.0,8.7,5,89,07:44 PM,08:52 AM,07:31 AM,05:32 PM,-12,19,19,19,23,47,12,0.0,1018,18,10,77,11,AZA
2018-01-04 00:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-14,18,18,18,26,81,11,0.0,1019,18,10,63,13,AZA
2018-01-04 03:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-14,17,17,17,19,81,10,0.0,1019,17,10,64,10,AZA
2018-01-04 06:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-17,17,17,17,31,48,9,0.0,1020,17,10,77,15,AZA
2018-01-04 09:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-12,14,15,14,22,15,14,0.0,1020,15,10,71,10,AZA
2018-01-04 12:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-3,21,21,21,12,8,19,0.0,1020,21,10,101,11,AZA
2018-01-04 15:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-2,23,23,23,8,1,18,0.0,1018,23,10,243,7,AZA
2018-01-04 18:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-1,21,21,21,10,3,23,0.0,1018,21,10,291,5,AZA
2018-01-04 21:00:00,23,15,0.0,8.7,4,81,08:52 PM,09:43 AM,07:31 AM,05:33 PM,-1,17,17,17,10,3,29,0.0,1019,16,10,3,5,AZA
2018-01-05 00:00:00,23,13,0.0,8.7,5,74,09:58 PM,10:26 AM,07:31 AM,05:34 PM,0,16,16,16,7,0,34,0.0,1021,15,10,72,3,AZA
2018-01-05 03:00:00,23,13,0.0,8.7,5,74,09:58 PM,10:26 AM,07:31 AM,05:34 PM,-0,15,15,15,11,1,35,0.0,1021,14,10,80,5,AZA
2018-01-05 06:00:00,23,13,0.0,8.7,5,74,09:58 PM,10:26 AM,07:31 AM,05:34 PM,-3,12,13,12,25,2,34,0.0,1022,13,10,79,12,AZA
2018-01-05 09:00:00,23,13,0.0,8.7,5,74,09:58 PM,10:26 AM,07:31 AM,05:34 PM,-3,12,13,12,19,6,34,0.0,1023,13,10,81,9,AZA
2018-01-05 12:00:00,23,13,0.0,8.7,5,74,09:58 PM,10:26 AM,07:31 AM,05:34 PM,-2,19,19,19,8,22,24,0.0,1022,19,10,120,7,AZA
