date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-21,-26,-17,-26,26,3,69,0.0,1023,-17,10,309,18,BOS
2018-01-01 03:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-22,-27,-17,-27,29,0,69,0.0,1024,-17,10,312,19,BOS
2018-01-01 06:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-23,-28,-18,-28,28,3,67,0.0,1025,-18,10,310,20,BOS
2018-01-01 09:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-20,-24,-15,-24,26,4,63,0.0,1025,-15,10,314,20,BOS
2018-01-01 12:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-19,-20,-12,-20,24,4,57,0.0,1023,-12,10,303,19,BOS
2018-01-01 15:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-19,-21,-12,-21,27,0,60,0.0,1024,-12,10,302,19,BOS
2018-01-01 18:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-19,-21,-14,-21,22,3,65,0.0,1025,-14,10,294,15,BOS
2018-01-01 21:00:00,-12,-18,0.0,8.7,2,97,05:17 PM,07:25 AM,08:13 AM,05:22 PM,-18,-21,-14,-21,18,12,70,0.0,1026,-14,10,286,12,BOS
2018-01-02 00:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-17,-20,-14,-20,14,54,78,0.0,1024,-15,10,262,9,BOS
2018-01-02 03:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-16,-20,-14,-20,16,54,81,0.0,1025,-14,10,279,10,BOS
2018-01-02 06:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-17,-22,-15,-22,18,8,79,0.0,1026,-15,10,298,13,BOS
2018-01-02 09:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-18,-20,-13,-20,17,6,65,0.0,1027,-13,10,286,14,BOS
2018-01-02 12:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-17,-16,-10,-16,15,49,54,0.0,1025,-10,10,277,13,BOS
2018-01-02 15:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-14,-13,-9,-13,14,91,66,0.0,1024,-9,10,259,9,BOS
2018-01-02 18:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-13,-15,-10,-15,20,19,73,0.0,1024,-10,10,220,12,BOS
2018-01-02 21:00:00,-9,-15,0.0,6.9,2,100,06:23 PM,08:28 AM,08:13 AM,05:23 PM,-12,-15,-8,-15,26,2,77,0.0,1024,-9,10,241,16,BOS
2018-01-03 00:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-12,-16,-9,-16,29,22,78,0.0,1024,-9,10,254,17,BOS
2018-01-03 03:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-12,-15,-10,-15,18,47,82,0.0,1025,-10,10,253,11,BOS
2018-01-03 06:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-12,-14,-10,-14,13,99,83,0.0,1026,-10,10,237,7,BOS
2018-01-03 09:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-11,-9,-6,-9,7,15,68,0.0,1026,-7,10,228,6,BOS
2018-01-03 12:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-9,-5,-2,-5,9,5,58,0.0,1024,-3,10,196,8,BOS
2018-01-03 15:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-10,-8,-4,-8,13,18,66,0.0,1023,-5,10,200,8,BOS
2018-01-03 18:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-10,-9,-6,-9,11,31,70,0.0,1023,-6,10,206,5,BOS
2018-01-03 21:00:00,-3,-10,0.0,8.7,2,89,07:35 PM,09:24 AM,08:13 AM,05:24 PM,-10,-6,-6,-6,6,15,74,0.0,1021,-7,10,218,3,BOS
2018-01-04 00:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-9,-9,-5,-9,14,100,73,0.0,1018,-6,10,352,8,BOS
2018-01-04 03:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-8,-10,-4,-10,30,100,77,0.1,1012,-4,5,19,18,BOS
2018-01-04 06:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-5,-11,-4,-11,41,100,93,0.0,1005,-4,10,16,26,BOS
2018-01-04 09:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-1,-6,1,-6,55,100,90,8.2,995,1,0,25,37,BOS
2018-01-04 12:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-2,-9,-1,-9,53,100,93,0.0,983,-1,10,359,36,BOS
2018-01-04 15:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-2,-7,0,-7,47,100,88,5.6,978,0,0,352,35,BOS
2018-01-04 18:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-5,-11,-3,-11,47,100,85,0.0,979,-3,10,310,32,BOS
2018-01-04 21:00:00,1,-6,0.1,3.4,1,81,08:47 PM,10:11 AM,08:13 AM,05:25 PM,-8,-13,-5,-13,54,85,75,0.5,985,-5,0,300,36,BOS
2018-01-05 00:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-9,-12,-6,-12,28,58,82,0.0,990,-6,10,272,18,BOS
2018-01-05 03:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-12,-17,-9,-17,36,50,79,0.0,993,-9,10,280,23,BOS
2018-01-05 06:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-14,-19,-11,-19,32,97,81,0.0,995,-11,10,269,21,BOS
2018-01-05 09:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-15,-22,-12,-22,41,58,76,0.0,999,-12,2,280,29,BOS
2018-01-05 12:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-14,-20,-11,-20,39,67,75,0.0,999,-10,10,269,29,BOS
2018-01-05 15:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-17,-23,-13,-23,43,97,74,0.0,1003,-13,10,278,28,BOS
2018-01-05 18:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-18,-25,-15,-25,38,44,76,0.0,1005,-15,10,272,24,BOS
2018-01-05 21:00:00,-6,-15,0.0,5.2,2,74,09:58 PM,10:52 AM,08:13 AM,05:26 PM,-19,-26,-16,-26,41,65,75,0.0,1008,-15,10,278,25,BOS
2018-01-06 00:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-19,-25,-16,-25,34,22,76,0.0,1009,-16,10,268,21,BOS
2018-01-06 03:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-20,-26,-16,-26,40,11,73,0.0,1012,-16,10,276,25,BOS
2018-01-06 06:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-19,-25,-16,-25,28,8,78,0.0,1013,-16,10,255,17,BOS
2018-01-06 09:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-18,-25,-15,-25,38,15,73,0.0,1015,-15,10,280,27,BOS
2018-01-06 12:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-16,-22,-12,-22,32,23,73,0.0,1015,-12,10,278,24,BOS
2018-01-06 15:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-17,-23,-14,-23,34,37,76,0.0,1018,-13,10,284,22,BOS
2018-01-06 18:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-18,-22,-15,-22,22,27,80,0.0,1021,-15,10,278,13,BOS
2018-01-06 21:00:00,-12,-18,0.0,8.7,2,67,11:06 PM,11:27 AM,08:13 AM,05:27 PM,-20,-27,-18,-27,30,19,79,0.0,1023,-18,10,297,18,BOS
