date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-19,-24,-18,-24,18,56,94,0.0,1032,-18,10,274,9,BUF
2018-01-01 03:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-19,-24,-18,-24,15,49,95,0.0,1032,-19,2,241,7,BUF
2018-01-01 06:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-19,-23,-18,-23,12,100,95,0.0,1032,-18,2,217,6,BUF
2018-01-01 09:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-16,-21,-14,-21,22,72,87,0.0,1031,-14,10,252,15,BUF
2018-01-01 12:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-14,-20,-11,-20,28,81,80,0.0,1028,-11,10,265,21,BUF
2018-01-01 15:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-14,-21,-12,-21,36,100,85,0.1,1029,-12,10,258,23,BUF
2018-01-01 18:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-14,-22,-12,-22,39,100,88,0.0,1030,-12,10,280,26,BUF
2018-01-01 21:00:00,-11,-19,0.1,3.4,2,97,05:47 PM,07:59 AM,08:46 AM,05:51 PM,-13,-21,-12,-21,31,100,91,0.0,1031,-12,10,280,20,BUF
2018-01-02 00:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-13,-20,-12,-20,28,100,90,0.0,1031,-12,10,271,18,BUF
2018-01-02 03:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-15,-22,-13,-22,34,58,86,0.0,1031,-13,10,262,21,BUF
2018-01-02 06:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-14,-20,-13,-20,28,65,87,0.0,1030,-12,10,258,15,BUF
2018-01-02 09:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-11,-18,-8,-18,43,42,82,0.0,1029,-8,2,248,31,BUF
2018-01-02 12:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-10,-18,-8,-18,51,88,83,0.0,1027,-8,10,237,37,BUF
2018-01-02 15:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-11,-18,-9,-18,51,91,83,0.1,1026,-9,0,244,36,BUF
2018-01-02 18:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-12,-19,-10,-19,41,78,84,0.0,1026,-10,10,236,24,BUF
2018-01-02 21:00:00,-8,-13,0.0,5.2,1,100,06:54 PM,09:02 AM,08:46 AM,05:52 PM,-12,-19,-10,-19,40,75,85,0.1,1025,-10,10,238,25,BUF
2018-01-03 00:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-13,-20,-11,-20,45,70,85,0.0,1024,-11,10,220,28,BUF
2018-01-03 03:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-14,-21,-12,-21,41,45,83,0.1,1024,-12,10,220,26,BUF
2018-01-03 06:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-17,-23,-13,-23,39,5,77,0.0,1023,-13,10,205,23,BUF
2018-01-03 09:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-15,-20,-11,-20,36,23,73,0.0,1022,-11,10,214,24,BUF
2018-01-03 12:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-12,-15,-8,-15,30,63,73,0.0,1018,-7,10,214,22,BUF
2018-01-03 15:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-10,-14,-8,-14,25,43,79,0.0,1017,-8,10,219,16,BUF
2018-01-03 18:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-10,-14,-7,-14,28,81,80,0.0,1017,-7,10,221,17,BUF
2018-01-03 21:00:00,-7,-13,0.1,6.9,1,89,08:05 PM,09:58 AM,08:46 AM,05:53 PM,-10,-15,-9,-15,22,92,90,0.2,1017,-9,5,228,12,BUF
2018-01-04 00:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-12,-14,-11,-14,9,81,95,0.0,1016,-11,2,241,5,BUF
2018-01-04 03:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-14,-18,-13,-18,17,67,94,0.0,1015,-13,2,249,8,BUF
2018-01-04 06:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-10,-15,-10,-15,19,100,94,0.0,1014,-10,2,295,12,BUF
2018-01-04 09:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-11,-18,-10,-18,29,100,88,0.0,1013,-10,10,321,22,BUF
2018-01-04 12:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-12,-18,-10,-18,22,100,85,0.0,1012,-10,10,308,18,BUF
2018-01-04 15:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-14,-21,-12,-21,32,100,86,0.1,1011,-12,10,308,24,BUF
2018-01-04 18:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-15,-22,-14,-22,26,100,90,0.0,1013,-14,10,292,18,BUF
2018-01-04 21:00:00,-10,-16,0.1,3.4,1,81,09:18 PM,10:44 AM,08:46 AM,05:54 PM,-17,-26,-16,-26,34,100,89,0.0,1014,-16,10,318,23,BUF
2018-01-05 00:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-19,-28,-18,-28,33,100,90,0.0,1014,-18,10,299,22,BUF
2018-01-05 03:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-20,-29,-18,-29,33,100,90,0.0,1015,-18,10,306,22,BUF
2018-01-05 06:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-20,-28,-19,-28,25,99,91,0.0,1017,-19,10,294,16,BUF
2018-01-05 09:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-19,-29,-18,-29,34,95,87,0.0,1018,-18,10,299,24,BUF
2018-01-05 12:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-18,-26,-16,-26,25,100,84,0.0,1019,-16,10,280,19,BUF
2018-01-05 15:00:00,-16,-19,0.0,3.4,1,74,10:29 PM,11:25 AM,08:46 AM,05:55 PM,-19,-27,-17,-27,35,100,81,0.0,1020,-17,10,288,25,BUF
