date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-28,-37,-27,-37,25,19,92,0.0,1047,-27,10,306,13,CID
2018-01-01 03:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-29,-38,-28,-38,26,16,91,0.0,1047,-28,10,299,13,CID
2018-01-01 06:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-28,-38,-27,-38,27,22,91,0.0,1048,-27,10,303,14,CID
2018-01-01 09:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-27,-37,-26,-37,25,33,90,0.0,1047,-26,10,305,15,CID
2018-01-01 12:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-23,-30,-22,-30,16,38,90,0.0,1047,-22,10,303,13,CID
2018-01-01 15:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-21,-29,-20,-29,18,39,91,0.0,1046,-20,10,294,14,CID
2018-01-01 18:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-25,-33,-24,-33,24,39,94,0.0,1046,-24,2,285,12,CID
2018-01-01 21:00:00,-20,-28,0.0,8.7,2,97,05:45 PM,07:50 AM,08:34 AM,05:47 PM,-25,-33,-25,-33,23,34,94,0.0,1046,-25,2,294,11,CID
2018-01-02 00:00:00,-12,-24,0.0,8.7,2,100,06:51 PM,08:53 AM,08:34 AM,05:48 PM,-25,-33,-24,-33,26,20,94,0.0,1045,-24,10,287,12,CID
2018-01-02 03:00:00,-12,-24,0.0,8.7,2,100,06:51 PM,08:53 AM,08:34 AM,05:48 PM,-25,-33,-24,-33,22,14,93,0.0,1044,-24,10,276,10,CID
2018-01-02 06:00:00,-12,-24,0.0,8.7,2,100,06:51 PM,08:53 AM,08:34 AM,05:48 PM,-26,-35,-24,-35,36,8,85,0.0,1042,-24,10,266,17,CID
2018-01-02 09:00:00,-12,-24,0.0,8.7,2,100,06:51 PM,08:53 AM,08:34 AM,05:48 PM,-26,-32,-23,-32,25,4,80,0.0,1040,-23,10,246,13,CID
2018-01-02 12:00:00,-12,-24,0.0,8.7,2,100,06:51 PM,08:53 AM,08:34 AM,05:48 PM,-21,-28,-18,-28,29,3,78,0.0,1036,-18,10,238,21,CID
