date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-21,-8,-4,-8,15,100,24,0.0,1030,-4,10,39,11,CLT
2018-01-01 03:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-21,-10,-5,-10,19,23,28,0.0,1031,-5,10,42,13,CLT
2018-01-01 06:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-20,-12,-6,-12,17,7,32,0.0,1033,-6,10,49,12,CLT
2018-01-01 09:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-19,-10,-5,-10,17,6,30,0.0,1034,-5,10,31,14,CLT
2018-01-01 12:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-20,-6,-3,-6,12,44,24,0.0,1034,-3,10,12,10,CLT
2018-01-01 15:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-20,-6,-2,-6,15,3,23,0.0,1033,-2,10,8,12,CLT
2018-01-01 18:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-18,-6,-3,-6,9,0,31,0.0,1035,-5,10,349,7,CLT
2018-01-01 21:00:00,-2,-6,0.0,9.9,1,97,06:17 PM,07:48 AM,08:32 AM,06:22 PM,-19,-11,-6,-11,19,0,35,0.0,1036,-6,10,16,12,CLT
2018-01-02 00:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-18,-9,-5,-9,9,0,37,0.0,1036,-7,10,12,8,CLT
2018-01-02 03:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-18,-11,-7,-11,11,0,38,0.0,1037,-8,10,7,9,CLT
2018-01-02 06:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-19,-11,-8,-11,7,4,39,0.0,1038,-9,10,22,6,CLT
2018-01-02 09:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-22,-8,-5,-8,10,2,25,0.0,1038,-6,10,22,8,CLT
2018-01-02 12:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-20,3,3,3,3,0,16,0.0,1035,-0,10,63,3,CLT
2018-01-02 15:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-21,1,2,1,5,0,16,0.0,1032,-0,10,54,4,CLT
2018-01-02 18:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-19,-3,-2,-3,5,0,26,0.0,1032,-4,10,159,4,CLT
2018-01-02 21:00:00,-0,-9,0.0,9.9,2,100,07:23 PM,08:51 AM,08:32 AM,06:23 PM,-20,-5,-5,-5,5,12,28,0.0,1031,-5,10,148,3,CLT
2018-01-03 00:00:00,0,-5,0.0,8.3,2,89,08:32 PM,09:49 AM,08:32 AM,06:24 PM,-20,-4,-4,-4,5,24,28,0.0,1030,-5,10,131,3,CLT
2018-01-03 03:00:00,0,-5,0.0,8.3,2,89,08:32 PM,09:49 AM,08:32 AM,06:24 PM,-20,-5,-4,-5,5,75,27,0.0,1028,-5,10,13,3,CLT
2018-01-03 06:00:00,0,-5,0.0,8.3,2,89,08:32 PM,09:49 AM,08:32 AM,06:24 PM,-21,-7,-4,-7,10,100,27,0.0,1027,-5,10,36,7,CLT
