date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-16,-21,-15,-21,14,55,91,0.0,1038,-15,10,313,9,CVG
2018-01-01 03:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-17,-22,-16,-22,15,54,91,0.0,1039,-16,10,305,10,CVG
2018-01-01 06:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-18,-22,-16,-22,11,45,90,0.0,1040,-17,10,296,8,CVG
2018-01-01 09:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-19,-22,-15,-22,13,2,75,0.0,1041,-16,10,294,12,CVG
2018-01-01 12:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-18,-19,-12,-19,14,0,62,0.0,1041,-13,10,296,12,CVG
2018-01-01 15:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-18,-21,-14,-21,16,8,71,0.0,1041,-14,10,300,13,CVG
2018-01-01 18:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-17,-21,-15,-21,11,0,83,0.0,1043,-16,10,300,10,CVG
2018-01-01 21:00:00,-13,-18,0.0,9.7,2,97,06:23 PM,08:12 AM,08:58 AM,06:27 PM,-19,-24,-17,-24,14,6,85,0.0,1043,-18,10,303,10,CVG
2018-01-02 00:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-20,-25,-19,-25,11,13,86,0.0,1044,-19,10,304,8,CVG
2018-01-02 03:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-20,-22,-18,-22,6,7,85,0.0,1043,-20,10,281,5,CVG
2018-01-02 06:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-21,-23,-19,-23,5,6,85,0.0,1043,-21,10,267,5,CVG
2018-01-02 09:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-20,-21,-16,-21,8,3,72,0.0,1042,-17,10,251,7,CVG
2018-01-02 12:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-17,-14,-10,-14,8,3,56,0.0,1040,-11,10,242,7,CVG
2018-01-02 15:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-16,-13,-9,-13,10,5,57,0.0,1036,-10,10,254,9,CVG
2018-01-02 18:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-15,-10,-10,-10,2,2,67,0.0,1034,-13,10,224,1,CVG
2018-01-02 21:00:00,-10,-21,0.0,9.7,2,100,07:30 PM,09:16 AM,08:58 AM,06:28 PM,-16,-14,-10,-14,8,0,64,0.0,1032,-13,10,224,6,CVG
2018-01-03 00:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-15,-14,-10,-14,10,0,67,0.0,1029,-13,10,203,8,CVG
2018-01-03 03:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-15,-15,-11,-15,11,0,69,0.0,1027,-13,10,211,8,CVG
2018-01-03 06:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-17,-17,-13,-17,10,9,68,0.0,1026,-14,10,203,6,CVG
2018-01-03 09:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-16,-16,-10,-16,17,38,58,0.0,1024,-10,10,210,12,CVG
2018-01-03 12:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-14,-9,-5,-9,13,68,46,0.0,1021,-5,10,239,11,CVG
2018-01-03 15:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-12,-9,-5,-9,16,82,55,0.0,1020,-5,10,273,12,CVG
2018-01-03 18:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-10,-11,-8,-11,11,100,81,0.0,1022,-8,10,328,6,CVG
2018-01-03 21:00:00,-5,-14,0.0,6.5,2,89,08:39 PM,10:12 AM,08:58 AM,06:28 PM,-11,-16,-10,-16,23,87,88,0.0,1022,-10,10,322,15,CVG
2018-01-04 00:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-13,-18,-12,-18,18,88,90,0.0,1023,-12,10,304,12,CVG
2018-01-04 03:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-15,-20,-13,-20,21,89,90,0.0,1023,-13,10,307,14,CVG
2018-01-04 06:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-15,-20,-14,-20,15,100,90,0.0,1024,-14,10,303,11,CVG
2018-01-04 09:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-15,-19,-13,-19,16,79,83,0.0,1025,-13,10,310,12,CVG
2018-01-04 12:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-13,-13,-8,-13,12,80,69,0.0,1025,-8,10,310,11,CVG
2018-01-04 15:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-13,-15,-9,-15,21,87,71,0.0,1024,-9,10,304,16,CVG
2018-01-04 18:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-13,-17,-11,-17,17,66,89,0.0,1026,-12,10,283,10,CVG
2018-01-04 21:00:00,-8,-14,0.0,4.9,1,81,09:50 PM,11:01 AM,08:58 AM,06:29 PM,-15,-21,-14,-21,21,64,90,0.0,1027,-14,10,298,14,CVG
2018-01-05 00:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-17,-22,-15,-22,14,45,90,0.0,1028,-16,10,287,10,CVG
2018-01-05 03:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-17,-22,-16,-22,15,40,89,0.0,1028,-16,10,287,10,CVG
2018-01-05 06:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-18,-21,-17,-21,8,54,91,0.0,1030,-17,10,274,6,CVG
2018-01-05 09:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-18,-21,-15,-21,11,19,79,0.0,1031,-15,10,271,9,CVG
2018-01-05 12:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-16,-15,-9,-15,12,0,60,0.0,1031,-11,10,286,11,CVG
2018-01-05 15:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-16,-16,-10,-16,15,1,63,0.0,1031,-11,10,298,13,CVG
2018-01-05 18:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-15,-17,-13,-17,10,3,83,0.0,1033,-14,10,295,8,CVG
2018-01-05 21:00:00,-11,-17,0.0,9.7,2,74,10:59 PM,11:43 AM,08:58 AM,06:30 PM,-16,-20,-15,-20,11,6,87,0.0,1034,-15,10,305,8,CVG
2018-01-06 00:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-17,-20,-15,-20,9,25,89,0.0,1035,-16,10,324,6,CVG
2018-01-06 03:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-17,-19,-16,-19,7,32,91,0.0,1036,-17,10,318,5,CVG
2018-01-06 06:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-17,-20,-16,-20,8,46,92,0.0,1038,-17,10,300,5,CVG
2018-01-06 09:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-16,-17,-13,-17,6,32,80,0.0,1038,-14,10,289,5,CVG
2018-01-06 12:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-14,-11,-8,-11,6,77,63,0.0,1038,-9,10,311,5,CVG
2018-01-06 15:00:00,-9,-17,0.0,8.2,2,67,No moonrise,12:19 PM,08:58 AM,06:31 PM,-14,-11,-8,-11,5,70,62,0.0,1038,-9,10,321,5,CVG
