date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-14,-13,-9,-13,11,7,62,0.0,1032,-10,10,317,10,DCA
2018-01-01 03:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-15,-15,-10,-15,16,16,66,0.0,1032,-10,10,325,12,DCA
2018-01-01 06:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-13,-11,-8,-11,6,4,70,0.0,1033,-11,10,290,5,DCA
2018-01-01 09:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-15,-13,-8,-13,15,24,55,0.0,1034,-8,10,312,13,DCA
2018-01-01 12:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-16,-11,-6,-11,16,100,44,0.0,1032,-6,10,312,14,DCA
2018-01-01 15:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-16,-11,-6,-11,16,90,44,0.0,1032,-6,10,302,13,DCA
2018-01-01 18:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-18,-13,-8,-13,20,87,44,0.0,1033,-8,10,295,13,DCA
2018-01-01 21:00:00,-6,-11,0.0,5.2,2,97,05:52 PM,07:40 AM,08:26 AM,05:57 PM,-19,-16,-9,-16,26,0,45,0.0,1034,-9,10,308,18,DCA
2018-01-02 00:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-17,-14,-8,-14,14,0,47,0.0,1035,-11,10,305,12,DCA
2018-01-02 03:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-19,-17,-10,-17,19,0,47,0.0,1036,-11,10,306,16,DCA
2018-01-02 06:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-18,-16,-10,-16,15,2,51,0.0,1036,-11,10,279,13,DCA
2018-01-02 09:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-18,-13,-8,-13,16,0,42,0.0,1036,-9,10,293,14,DCA
2018-01-02 12:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-17,-7,-3,-7,12,2,34,0.0,1033,-6,10,273,10,DCA
2018-01-02 15:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-19,-7,-4,-7,10,10,30,0.0,1031,-5,10,274,9,DCA
2018-01-02 18:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-19,-10,-6,-10,12,32,36,0.0,1031,-7,10,196,8,DCA
2018-01-02 21:00:00,-5,-11,0.0,8.7,2,100,06:58 PM,08:44 AM,08:27 AM,05:58 PM,-19,-10,-7,-10,11,21,37,0.0,1031,-7,10,215,7,DCA
2018-01-03 00:00:00,-1,-9,0.0,7.0,2,89,08:08 PM,09:41 AM,08:27 AM,05:59 PM,-17,-7,-6,-7,6,7,39,0.0,1030,-8,10,256,4,DCA
2018-01-03 03:00:00,-1,-9,0.0,7.0,2,89,08:08 PM,09:41 AM,08:27 AM,05:59 PM,-14,-2,-2,-2,2,0,40,0.0,1029,-8,10,211,2,DCA
2018-01-03 06:00:00,-1,-9,0.0,7.0,2,89,08:08 PM,09:41 AM,08:27 AM,05:59 PM,-18,-11,-8,-11,8,52,43,0.0,1028,-9,10,102,5,DCA
2018-01-03 09:00:00,-1,-9,0.0,7.0,2,89,08:08 PM,09:41 AM,08:27 AM,05:59 PM,-18,-6,-4,-6,6,33,34,0.0,1027,-5,10,141,5,DCA
2018-01-03 12:00:00,-1,-9,0.0,7.0,2,89,08:08 PM,09:41 AM,08:27 AM,05:59 PM,-17,-2,-1,-2,5,100,29,0.0,1023,-1,10,132,5,DCA
