date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-17,-21,-15,-21,17,50,89,0.0,1035,-16,10,273,9,DTW
2018-01-01 03:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-16,-22,-16,-22,19,81,92,0.0,1035,-16,10,274,11,DTW
2018-01-01 06:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-17,-22,-16,-22,16,77,95,0.0,1035,-16,2,291,9,DTW
2018-01-01 09:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-16,-23,-14,-23,28,48,85,0.0,1036,-14,10,289,19,DTW
2018-01-01 12:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-15,-20,-12,-20,27,94,76,0.0,1035,-12,10,296,21,DTW
2018-01-01 15:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-15,-19,-12,-19,24,90,79,0.0,1036,-12,10,290,17,DTW
2018-01-01 18:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-16,-20,-14,-20,17,73,88,0.0,1037,-14,10,276,9,DTW
2018-01-01 21:00:00,-12,-16,0.0,3.4,2,97,06:08 PM,08:16 AM,09:02 AM,06:12 PM,-16,-22,-15,-22,23,30,90,0.0,1038,-15,10,269,13,DTW
2018-01-02 00:00:00,-13,-16,0.0,6.9,1,100,07:15 PM,09:20 AM,09:02 AM,06:13 PM,-15,-20,-14,-20,17,82,94,0.0,1037,-14,10,244,10,DTW
2018-01-02 03:00:00,-13,-16,0.0,6.9,1,100,07:15 PM,09:20 AM,09:02 AM,06:13 PM,-16,-23,-15,-23,28,80,94,0.0,1037,-15,10,238,18,DTW
