date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-9,1,5,1,26,46,37,0.0,1026,5,10,108,20,ELP
2018-01-01 03:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-10,-2,3,-2,29,20,40,0.0,1027,3,10,94,20,ELP
2018-01-01 06:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-11,-5,-1,-5,21,7,45,0.0,1029,-1,10,91,15,ELP
2018-01-01 09:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-12,-6,-1,-6,26,4,42,0.0,1030,-1,10,100,18,ELP
2018-01-01 12:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-16,-1,3,-1,15,4,24,0.0,1031,3,10,102,13,ELP
2018-01-01 15:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-15,4,7,4,16,4,19,0.0,1026,7,10,124,14,ELP
2018-01-01 18:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-12,6,7,6,8,3,25,0.0,1024,6,10,116,6,ELP
2018-01-01 21:00:00,7,-1,0.0,10.1,2,97,06:11 PM,07:27 AM,08:06 AM,06:13 PM,-12,3,5,3,17,2,28,0.0,1025,5,10,110,10,ELP
2018-01-02 00:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-12,2,4,2,16,3,29,0.0,1025,4,10,119,9,ELP
2018-01-02 03:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-10,4,5,4,8,4,35,0.0,1024,4,10,135,5,ELP
2018-01-02 06:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-14,-1,1,-1,15,37,32,0.0,1025,1,10,82,8,ELP
2018-01-02 09:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-11,3,3,3,5,74,35,0.0,1025,3,10,138,3,ELP
2018-01-02 12:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-15,6,6,6,3,100,20,0.0,1025,5,10,70,3,ELP
2018-01-02 15:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-13,11,11,11,4,33,17,0.0,1023,10,10,48,4,ELP
2018-01-02 18:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-12,8,9,8,19,3,20,0.0,1024,9,10,91,11,ELP
2018-01-02 21:00:00,10,1,0.0,8.3,3,100,07:17 PM,08:30 AM,08:06 AM,06:13 PM,-14,1,5,1,30,0,23,0.0,1027,5,10,108,17,ELP
2018-01-03 00:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-15,-0,3,-0,19,0,26,0.0,1030,3,10,111,10,ELP
2018-01-03 03:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-14,-1,2,-1,18,3,29,0.0,1030,2,10,108,9,ELP
2018-01-03 06:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-14,-1,1,-1,13,0,32,0.0,1032,0,10,104,6,ELP
2018-01-03 09:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-15,-1,1,-1,19,1,29,0.0,1032,1,10,116,9,ELP
2018-01-03 12:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-18,5,6,5,8,20,16,0.0,1031,6,10,127,7,ELP
2018-01-03 15:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-20,8,10,8,16,27,10,0.0,1026,10,10,113,14,ELP
2018-01-03 18:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-17,7,8,7,15,43,15,0.0,1024,8,10,75,7,ELP
2018-01-03 21:00:00,10,0,0.0,10.1,2,89,08:25 PM,09:28 AM,08:06 AM,06:14 PM,-17,5,7,5,20,7,15,0.0,1024,7,10,98,10,ELP
2018-01-04 00:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-16,5,6,5,12,27,18,0.0,1024,6,10,97,6,ELP
2018-01-04 03:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-16,5,6,5,12,54,18,0.0,1023,6,10,110,6,ELP
2018-01-04 06:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-17,5,6,5,9,99,18,0.0,1023,6,10,85,5,ELP
2018-01-04 09:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-16,6,7,6,9,90,18,0.0,1023,7,10,278,6,ELP
2018-01-04 12:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-13,8,8,8,8,98,20,0.0,1023,8,10,330,6,ELP
2018-01-04 15:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-6,8,9,8,9,50,36,0.2,1021,9,5,295,7,ELP
2018-01-04 18:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-4,10,10,10,8,50,37,0.0,1020,9,10,220,5,ELP
2018-01-04 21:00:00,9,6,0.0,8.3,3,81,09:33 PM,10:18 AM,08:06 AM,06:15 PM,-5,8,8,8,8,5,41,0.0,1021,7,10,221,4,ELP
2018-01-05 00:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-3,6,7,6,13,3,50,0.0,1022,6,10,190,6,ELP
2018-01-05 03:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-2,6,7,6,10,2,54,0.0,1022,5,10,229,5,ELP
2018-01-05 06:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-1,6,6,6,5,0,65,0.0,1023,3,10,360,3,ELP
2018-01-05 09:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-0,6,6,6,4,0,62,0.0,1024,4,10,275,2,ELP
2018-01-05 12:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-2,11,11,11,3,5,41,0.0,1024,10,10,259,3,ELP
2018-01-05 15:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-2,14,14,14,8,5,33,0.0,1021,14,10,256,7,ELP
2018-01-05 18:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-2,13,13,13,12,0,36,0.0,1020,12,10,236,6,ELP
2018-01-05 21:00:00,14,3,0.0,10.1,3,74,10:37 PM,11:03 AM,08:06 AM,06:16 PM,-1,11,11,11,11,0,43,0.0,1021,10,10,203,5,ELP
2018-01-06 00:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-2,9,10,9,11,0,44,0.0,1022,9,10,187,5,ELP
2018-01-06 03:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-1,10,10,10,8,2,46,0.0,1022,7,10,222,4,ELP
2018-01-06 06:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-2,8,8,8,4,1,50,0.0,1022,6,10,272,2,ELP
2018-01-06 09:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-3,7,7,7,4,27,47,0.0,1022,7,10,212,2,ELP
2018-01-06 12:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-5,12,12,12,5,100,31,0.0,1022,12,10,223,4,ELP
2018-01-06 15:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-5,16,16,16,8,19,24,0.0,1018,16,10,234,7,ELP
2018-01-06 18:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-2,14,14,14,15,15,32,0.0,1016,14,10,209,7,ELP
2018-01-06 21:00:00,16,6,0.0,10.0,4,67,11:40 PM,11:44 AM,08:06 AM,06:16 PM,-3,11,12,11,14,32,36,0.0,1016,12,10,195,6,ELP
2018-01-07 00:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-4,11,13,11,28,17,32,0.0,1015,12,10,228,13,ELP
2018-01-07 03:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-4,10,12,10,33,49,32,0.0,1014,12,10,253,16,ELP
2018-01-07 06:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-4,10,11,10,26,27,35,0.0,1014,11,10,260,13,ELP
2018-01-07 09:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-4,9,12,9,43,9,34,0.0,1015,12,10,268,21,ELP
2018-01-07 12:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-1,16,16,16,28,9,31,0.0,1016,16,10,319,24,ELP
2018-01-07 15:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-0,17,17,17,28,2,30,0.0,1016,17,10,332,24,ELP
2018-01-07 18:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-0,15,15,15,20,0,34,0.0,1017,15,10,17,12,ELP
2018-01-07 21:00:00,17,11,0.0,10.1,4,59,No moonrise,12:20 PM,08:06 AM,06:17 PM,-2,11,12,11,17,0,39,0.0,1019,12,10,74,8,ELP
2018-01-08 00:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-4,9,11,9,21,0,36,0.0,1021,11,10,46,10,ELP
2018-01-08 03:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-4,9,9,9,10,11,40,0.0,1021,8,10,91,5,ELP
2018-01-08 06:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-5,7,7,7,10,9,42,0.0,1021,7,10,47,5,ELP
2018-01-08 09:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-4,7,8,7,11,21,42,0.0,1022,7,10,104,5,ELP
2018-01-08 12:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-5,14,14,14,7,40,27,0.0,1021,13,10,144,6,ELP
2018-01-08 15:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-2,16,16,16,7,52,27,0.0,1018,16,10,188,6,ELP
2018-01-08 18:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,0,15,15,15,1,6,37,0.0,1017,14,10,337,1,ELP
2018-01-08 21:00:00,16,7,0.0,10.1,4,52,12:39 AM,12:55 PM,08:06 AM,06:18 PM,-0,13,12,13,7,46,42,0.0,1018,12,10,42,3,ELP
2018-01-09 00:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,-1,11,11,11,8,18,44,0.0,1018,11,10,139,4,ELP
2018-01-09 03:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,-0,11,11,11,7,17,47,0.0,1017,10,10,177,3,ELP
2018-01-09 06:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,-1,9,9,9,3,5,50,0.0,1017,8,10,126,1,ELP
2018-01-09 09:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,-0,10,10,10,8,9,49,0.0,1017,9,10,124,4,ELP
2018-01-09 12:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,0,16,16,16,7,6,34,0.0,1016,16,10,164,6,ELP
2018-01-09 15:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,1,19,19,19,12,9,29,0.0,1012,19,10,203,10,ELP
2018-01-09 18:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,2,17,17,17,10,6,35,0.0,1010,17,10,230,5,ELP
2018-01-09 21:00:00,19,8,0.0,10.1,4,45,01:37 AM,01:29 PM,08:06 AM,06:19 PM,2,15,15,15,9,3,39,0.0,1010,15,10,162,4,ELP
2018-01-10 00:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,2,13,14,13,21,5,45,0.0,1010,14,10,189,10,ELP
2018-01-10 03:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,3,12,13,12,28,5,50,0.0,1009,13,10,230,13,ELP
2018-01-10 06:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,2,10,12,10,36,11,53,0.0,1007,12,10,248,17,ELP
2018-01-10 09:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,0,10,12,10,30,44,44,0.0,1008,12,10,250,17,ELP
2018-01-10 12:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,5,5,9,5,44,100,75,0.0,1009,9,9,276,35,ELP
2018-01-10 15:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,-1,9,13,9,58,45,40,1.8,1008,13,9,279,48,ELP
2018-01-10 18:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,-0,7,11,7,58,7,45,0.0,1008,11,10,276,42,ELP
2018-01-10 21:00:00,14,9,0.0,10.0,4,38,02:32 AM,02:03 PM,08:06 AM,06:20 PM,1,5,10,5,62,11,55,0.0,1010,10,10,278,42,ELP
2018-01-11 00:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,1,4,9,4,55,22,60,0.0,1010,9,10,272,35,ELP
2018-01-11 03:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,2,3,8,3,71,13,65,0.0,1011,8,10,281,46,ELP
2018-01-11 06:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,2,3,7,3,42,7,72,0.0,1015,7,10,287,26,ELP
2018-01-11 09:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,2,3,7,3,43,5,72,0.0,1019,7,10,295,26,ELP
2018-01-11 12:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,-3,9,12,9,22,3,35,0.0,1022,12,10,332,19,ELP
2018-01-11 15:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,-7,11,13,11,18,0,25,0.0,1021,13,10,343,15,ELP
2018-01-11 18:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,-6,12,12,12,10,0,27,0.0,1021,12,10,359,6,ELP
2018-01-11 21:00:00,13,7,0.0,10.2,3,30,03:27 AM,02:39 PM,08:06 AM,06:21 PM,-5,11,10,11,7,0,33,0.0,1023,9,10,81,4,ELP
2018-01-12 00:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-5,9,9,9,4,0,39,0.0,1023,7,10,4,2,ELP
2018-01-12 03:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-4,9,9,9,1,2,41,0.0,1023,6,10,52,1,ELP
2018-01-12 06:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-4,7,7,7,4,0,46,0.0,1023,4,10,36,2,ELP
2018-01-12 09:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-3,7,7,7,2,0,47,0.0,1023,5,10,280,1,ELP
2018-01-12 12:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-8,11,11,11,7,0,25,0.0,1022,10,10,238,6,ELP
2018-01-12 15:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-8,13,14,13,12,0,20,0.0,1019,14,10,276,10,ELP
2018-01-12 18:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-4,14,14,14,10,0,29,0.0,1019,13,10,271,6,ELP
2018-01-12 21:00:00,14,4,0.0,10.2,3,23,04:21 AM,03:17 PM,08:06 AM,06:22 PM,-3,12,12,12,7,0,35,0.0,1020,10,10,74,3,ELP
2018-01-13 00:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-6,8,9,8,17,2,33,0.0,1023,9,10,53,8,ELP
2018-01-13 03:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-6,7,9,7,24,0,35,0.0,1025,9,10,33,12,ELP
2018-01-13 06:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-5,4,6,4,22,0,44,0.0,1028,6,10,38,10,ELP
2018-01-13 09:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-5,3,6,3,25,0,45,0.0,1030,6,10,78,14,ELP
2018-01-13 12:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-6,10,11,10,10,0,31,0.0,1029,11,10,90,9,ELP
2018-01-13 15:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-6,13,14,13,10,0,25,0.0,1025,13,10,135,8,ELP
2018-01-13 18:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-3,14,14,14,2,0,31,0.0,1023,13,10,111,1,ELP
2018-01-13 21:00:00,13,6,0.0,10.2,3,16,05:14 AM,03:58 PM,08:06 AM,06:22 PM,-4,11,11,11,10,0,35,0.0,1023,10,10,66,5,ELP
2018-01-14 00:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-5,9,9,9,13,0,36,0.0,1024,9,10,82,6,ELP
2018-01-14 03:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-5,7,8,7,11,3,39,0.0,1024,7,10,79,5,ELP
2018-01-14 06:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-7,4,6,4,20,2,38,0.0,1025,6,10,22,10,ELP
2018-01-14 09:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-6,6,7,6,14,0,41,0.0,1026,6,10,32,6,ELP
2018-01-14 12:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-7,11,12,11,11,0,26,0.0,1027,12,10,34,9,ELP
2018-01-14 15:00:00,15,6,0.0,10.2,3,9,06:05 AM,04:42 PM,08:06 AM,06:23 PM,-7,15,15,15,10,0,21,0.0,1024,15,10,98,9,ELP
