date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,2,3,3,3,7,6,90,0.0,1024,2,10,35,3,EUG
2018-01-01 03:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,1,0,2,0,11,4,93,0.0,1026,1,10,38,5,EUG
2018-01-01 06:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,1,2,2,2,5,3,92,0.0,1026,1,10,35,3,EUG
2018-01-01 09:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,2,7,7,7,4,4,73,0.0,1027,6,10,35,3,EUG
2018-01-01 12:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,4,10,10,10,6,5,65,0.0,1026,10,10,7,5,EUG
2018-01-01 15:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,4,5,7,5,13,7,82,0.0,1026,7,10,3,8,EUG
2018-01-01 18:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,2,2,3,2,11,3,92,0.0,1026,3,10,11,5,EUG
2018-01-01 21:00:00,10,1,0.0,8.7,2,97,05:49 PM,08:08 AM,08:48 AM,05:45 PM,1,1,2,1,11,6,92,0.0,1027,2,10,51,5,EUG
2018-01-02 00:00:00,7,-1,0.0,6.9,2,100,06:57 PM,09:11 AM,08:48 AM,05:46 PM,0,0,2,0,11,24,90,0.0,1027,1,10,22,5,EUG
2018-01-02 03:00:00,7,-1,0.0,6.9,2,100,06:57 PM,09:11 AM,08:48 AM,05:46 PM,-1,-2,-0,-2,9,63,93,0.0,1027,-1,10,32,5,EUG
