date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-17,-10,-5,-10,18,44,39,0.0,1028,-5,10,15,13,EWN
2018-01-01 03:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-18,-13,-7,-13,26,12,41,0.0,1029,-7,10,7,17,EWN
2018-01-01 06:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-20,-13,-7,-13,19,62,36,0.0,1030,-7,10,10,13,EWN
2018-01-01 09:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-20,-11,-5,-11,25,82,29,0.0,1031,-5,10,6,22,EWN
2018-01-01 12:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-20,-6,-2,-6,19,78,23,0.0,1031,-2,10,3,16,EWN
2018-01-01 15:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-20,-8,-3,-8,22,76,25,0.0,1031,-2,10,356,18,EWN
2018-01-01 18:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-19,-9,-6,-9,9,15,35,0.0,1032,-6,10,338,5,EWN
2018-01-01 21:00:00,-2,-7,0.0,6.6,2,97,06:01 PM,07:31 AM,08:16 AM,06:07 PM,-19,-10,-6,-10,13,0,34,0.0,1033,-6,10,358,8,EWN
2018-01-02 00:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-19,-8,-6,-8,7,0,36,0.0,1033,-7,10,347,4,EWN
2018-01-02 03:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-20,-12,-7,-12,17,1,35,0.0,1034,-7,10,360,11,EWN
2018-01-02 06:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-20,-14,-8,-14,17,6,37,0.0,1035,-8,10,2,12,EWN
2018-01-02 09:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-21,-11,-5,-11,18,33,28,0.0,1036,-5,10,5,15,EWN
2018-01-02 12:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-21,-4,-0,-4,12,35,19,0.0,1034,-0,10,5,10,EWN
2018-01-02 15:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-21,-4,-1,-4,13,13,20,0.0,1032,-1,10,351,11,EWN
2018-01-02 18:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-19,-8,-6,-8,9,7,35,0.0,1032,-6,10,16,4,EWN
2018-01-02 21:00:00,-0,-8,0.0,9.9,2,100,07:07 PM,08:35 AM,08:16 AM,06:08 PM,-19,-9,-7,-9,8,9,36,0.0,1031,-7,10,23,4,EWN
2018-01-03 00:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-19,-9,-7,-9,10,3,38,0.0,1030,-7,10,15,5,EWN
2018-01-03 03:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-19,-10,-7,-10,14,47,37,0.0,1028,-7,10,18,7,EWN
2018-01-03 06:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-16,-10,-6,-10,17,95,45,0.0,1026,-6,10,26,11,EWN
2018-01-03 09:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-10,-5,-1,-5,15,77,51,0.0,1023,-1,10,38,12,EWN
2018-01-03 12:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-5,0,3,0,15,100,54,0.0,1018,3,10,22,11,EWN
2018-01-03 15:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-3,-2,2,-2,24,100,66,0.1,1014,2,10,1,17,EWN
2018-01-03 18:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-0,-4,1,-4,28,100,94,0.0,1012,1,10,345,18,EWN
2018-01-03 21:00:00,3,-7,0.0,5.0,2,89,08:16 PM,09:32 AM,08:17 AM,06:09 PM,-1,-7,-1,-7,39,100,95,2.8,1007,-0,3,342,26,EWN
2018-01-04 00:00:00,-1,-7,0.0,9.9,1,81,09:25 PM,10:22 AM,08:17 AM,06:10 PM,-3,-9,-2,-9,39,100,96,0.0,1002,-2,10,335,26,EWN
