date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,15,20,20,20,10,15,71,0.0,1020,20,10,309,7,FLL
2018-01-01 03:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,15,20,20,20,8,10,74,0.0,1019,19,10,303,6,FLL
2018-01-01 06:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,15,20,20,20,8,46,75,0.0,1020,19,10,268,5,FLL
2018-01-01 09:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,15,22,25,22,11,20,66,0.0,1020,22,10,221,9,FLL
2018-01-01 12:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,14,25,25,24,10,27,55,0.0,1018,24,10,245,8,FLL
2018-01-01 15:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,13,25,25,24,10,21,50,0.0,1018,24,10,317,8,FLL
2018-01-01 18:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,15,22,25,22,17,19,66,0.0,1019,22,10,330,13,FLL
2018-01-01 21:00:00,24,19,0.0,10.3,6,97,06:33 PM,07:25 AM,08:08 AM,06:40 PM,16,19,19,19,35,67,84,0.0,1019,19,10,342,26,FLL
2018-01-02 00:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,15,18,18,18,29,88,83,0.0,1018,18,10,317,23,FLL
2018-01-02 03:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,16,19,19,19,28,71,85,0.0,1018,19,10,333,21,FLL
2018-01-02 06:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,15,18,18,18,27,89,86,0.0,1019,18,10,6,21,FLL
2018-01-02 09:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,17,20,20,20,44,100,81,0.0,1020,20,10,43,34,FLL
2018-01-02 12:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,17,20,20,20,41,100,84,0.0,1018,20,10,47,32,FLL
2018-01-02 15:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,17,21,21,21,48,100,81,1.0,1017,21,10,50,35,FLL
2018-01-02 18:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,17,20,20,20,46,93,83,0.0,1018,20,10,55,35,FLL
2018-01-02 21:00:00,21,18,0.0,5.2,4,100,07:38 PM,08:29 AM,08:08 AM,06:41 PM,17,20,20,20,56,100,80,1.3,1017,20,10,64,39,FLL
2018-01-03 00:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,18,21,21,21,40,98,84,0.0,1016,20,10,62,30,FLL
2018-01-03 03:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,17,21,21,21,36,100,82,0.8,1014,21,10,64,24,FLL
2018-01-03 06:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,17,21,21,21,13,42,82,0.0,1013,20,10,48,9,FLL
2018-01-03 09:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,17,21,21,21,24,56,79,0.0,1013,21,10,288,19,FLL
2018-01-03 12:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,11,12,14,12,46,100,83,0.0,1013,14,10,304,40,FLL
2018-01-03 15:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,10,17,17,17,47,5,63,0.0,1013,17,10,303,41,FLL
2018-01-03 18:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,9,12,14,12,30,8,69,0.0,1015,14,10,301,24,FLL
2018-01-03 21:00:00,21,14,0.0,10.0,4,89,08:45 PM,09:28 AM,08:08 AM,06:42 PM,7,11,14,11,36,2,64,0.0,1017,14,10,306,30,FLL
2018-01-04 00:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,5,8,11,8,33,0,65,0.0,1018,11,10,319,27,FLL
2018-01-04 03:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,2,7,10,7,35,0,59,0.0,1018,10,10,321,30,FLL
2018-01-04 06:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,-3,4,7,4,26,0,49,0.0,1020,7,10,327,21,FLL
2018-01-04 09:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,-0,7,10,7,34,0,48,0.0,1021,10,10,327,29,FLL
2018-01-04 12:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,2,11,13,11,27,0,47,0.0,1020,13,10,315,23,FLL
2018-01-04 15:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,3,13,15,13,31,0,46,0.0,1020,15,10,301,27,FLL
2018-01-04 18:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,4,11,13,11,25,0,55,0.0,1020,13,10,303,18,FLL
2018-01-04 21:00:00,15,7,0.0,10.3,4,81,09:50 PM,10:21 AM,08:09 AM,06:43 PM,5,11,13,11,30,0,60,0.0,1022,13,10,306,22,FLL
2018-01-05 00:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,4,8,11,8,31,2,64,0.0,1023,11,10,329,23,FLL
2018-01-05 03:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,4,8,11,8,32,5,64,0.0,1023,11,10,339,25,FLL
2018-01-05 06:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,-0,6,9,6,27,10,54,0.0,1025,9,10,337,21,FLL
2018-01-05 09:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,-1,9,11,9,26,6,44,0.0,1026,11,10,346,22,FLL
2018-01-05 12:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,-1,13,14,13,13,14,35,0.0,1026,14,10,359,12,FLL
2018-01-05 15:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,2,16,16,16,19,13,40,0.0,1025,16,10,17,16,FLL
2018-01-05 18:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,6,13,14,13,23,9,59,0.0,1026,14,10,338,16,FLL
2018-01-05 21:00:00,16,9,0.0,10.3,4,74,10:53 PM,11:09 AM,08:09 AM,06:43 PM,9,13,15,13,31,11,67,0.0,1027,15,10,9,23,FLL
2018-01-06 00:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,7,12,14,12,33,0,65,0.0,1026,14,10,347,24,FLL
2018-01-06 03:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,8,13,15,13,31,4,65,0.0,1025,15,10,6,23,FLL
2018-01-06 06:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,8,12,14,12,33,6,67,0.0,1026,14,10,3,23,FLL
2018-01-06 09:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,10,17,17,17,32,29,61,0.0,1027,17,10,24,28,FLL
2018-01-06 12:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,11,19,19,19,27,23,60,0.0,1026,19,10,9,24,FLL
2018-01-06 15:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,10,18,18,18,38,15,60,0.0,1026,18,10,22,33,FLL
2018-01-06 18:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,10,16,16,16,34,4,64,0.0,1027,16,10,3,24,FLL
2018-01-06 21:00:00,19,14,0.0,10.4,5,67,11:53 PM,11:52 AM,08:09 AM,06:44 PM,10,17,17,17,37,0,65,0.0,1027,16,10,22,28,FLL
2018-01-07 00:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,10,16,16,16,32,3,69,0.0,1027,16,10,7,23,FLL
2018-01-07 03:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,11,16,16,16,34,14,70,0.0,1026,16,10,26,25,FLL
2018-01-07 06:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,10,15,15,15,25,0,69,0.0,1026,15,10,14,16,FLL
2018-01-07 09:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,11,19,19,19,29,7,58,0.0,1027,19,10,50,25,FLL
2018-01-07 12:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,12,21,21,21,29,8,56,0.0,1026,21,10,62,25,FLL
2018-01-07 15:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,13,20,20,20,36,22,63,0.0,1024,20,10,59,30,FLL
2018-01-07 18:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,14,19,19,19,37,17,71,0.0,1025,19,10,66,26,FLL
2018-01-07 21:00:00,21,15,0.0,10.4,5,59,No moonrise,12:31 PM,08:09 AM,06:45 PM,15,19,19,19,40,21,73,0.2,1024,19,9,72,28,FLL
2018-01-08 00:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,15,19,19,19,36,33,76,0.0,1023,19,10,70,24,FLL
2018-01-08 03:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,16,19,19,19,40,49,80,0.2,1022,19,9,81,27,FLL
2018-01-08 06:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,16,20,20,20,30,28,78,0.0,1021,20,10,96,19,FLL
2018-01-08 09:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,17,25,25,22,34,31,72,0.2,1021,22,9,106,26,FLL
2018-01-08 12:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,18,25,25,23,29,33,72,0.0,1020,23,10,119,23,FLL
2018-01-08 15:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,18,25,25,23,30,29,73,1.0,1018,23,9,113,22,FLL
2018-01-08 18:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,19,25,25,22,26,55,81,0.0,1018,22,10,122,17,FLL
2018-01-08 21:00:00,23,19,0.0,10.4,6,52,12:50 AM,01:09 PM,08:09 AM,06:45 PM,19,22,24,22,27,20,84,1.8,1018,22,9,106,17,FLL
