date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-14,-16,-10,-16,15,18,71,0.0,1032,-11,10,302,10,IAD
2018-01-01 03:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-15,-17,-11,-17,21,14,72,0.0,1033,-11,10,318,14,IAD
2018-01-01 06:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-14,-16,-11,-16,13,10,74,0.0,1033,-12,10,291,9,IAD
2018-01-01 09:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-15,-15,-8,-15,19,9,57,0.0,1034,-9,10,312,15,IAD
2018-01-01 12:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-16,-12,-6,-12,18,100,46,0.0,1032,-6,10,311,15,IAD
2018-01-01 15:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-16,-12,-6,-12,19,94,46,0.0,1032,-6,10,304,14,IAD
2018-01-01 18:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-17,-15,-8,-15,24,32,48,0.0,1033,-8,10,301,16,IAD
2018-01-01 21:00:00,-6,-12,0.0,5.2,2,97,05:53 PM,07:42 AM,08:28 AM,05:59 PM,-19,-18,-10,-18,29,0,49,0.0,1035,-10,10,311,19,IAD
2018-01-02 00:00:00,-4,-12,0.0,8.7,2,100,06:59 PM,08:46 AM,08:29 AM,05:59 PM,-19,-17,-10,-17,17,0,50,0.0,1036,-11,10,305,14,IAD
2018-01-02 03:00:00,-4,-12,0.0,8.7,2,100,06:59 PM,08:46 AM,08:29 AM,05:59 PM,-20,-19,-11,-19,27,0,50,0.0,1037,-11,10,308,19,IAD
2018-01-02 06:00:00,-4,-12,0.0,8.7,2,100,06:59 PM,08:46 AM,08:29 AM,05:59 PM,-18,-17,-11,-17,15,16,55,0.0,1036,-12,10,280,11,IAD
2018-01-02 09:00:00,-4,-12,0.0,8.7,2,100,06:59 PM,08:46 AM,08:29 AM,05:59 PM,-18,-14,-8,-14,15,0,43,0.0,1037,-9,10,287,13,IAD
