date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-2,-1,4,-1,27,100,66,0.0,1035,4,10,15,21,IAH
2018-01-01 03:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-5,-3,2,-3,29,73,62,0.0,1036,2,10,22,23,IAH
2018-01-01 06:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-9,-6,-1,-6,25,10,52,0.0,1038,-1,10,19,19,IAH
2018-01-01 09:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-14,-7,-1,-7,28,32,36,0.0,1040,-1,10,17,22,IAH
2018-01-01 12:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-13,-3,2,-3,20,89,33,0.0,1040,2,10,16,17,IAH
2018-01-01 15:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-11,-0,4,-0,20,30,32,0.0,1037,4,10,24,17,IAH
2018-01-01 18:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-12,-2,2,-2,20,18,36,0.0,1037,2,10,14,14,IAH
2018-01-01 21:00:00,4,-1,0.0,10.0,1,97,06:28 PM,07:37 AM,08:17 AM,06:33 PM,-13,-4,0,-4,21,20,37,0.0,1037,0,10,35,15,IAH
2018-01-02 00:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-14,-6,-1,-6,19,26,38,0.0,1038,-1,10,44,14,IAH
2018-01-02 03:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-15,-6,-2,-6,19,16,36,0.0,1037,-2,10,53,14,IAH
2018-01-02 06:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-13,-4,-1,-4,9,17,39,0.0,1037,-2,10,52,8,IAH
2018-01-02 09:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-13,-5,-1,-5,17,24,39,0.0,1036,-1,10,46,14,IAH
2018-01-02 12:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-12,-3,-0,-3,10,44,42,0.0,1036,-1,10,40,8,IAH
2018-01-02 15:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-12,-3,1,-3,12,100,38,0.0,1032,0,10,25,10,IAH
2018-01-02 18:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-13,-3,1,-3,14,100,35,0.0,1033,1,10,342,10,IAH
2018-01-02 21:00:00,1,-2,0.0,8.3,2,100,07:34 PM,08:40 AM,08:17 AM,06:33 PM,-12,-4,0,-4,20,100,38,0.0,1033,0,10,345,15,IAH
2018-01-03 00:00:00,6,-3,0.0,10.2,2,89,08:42 PM,09:38 AM,08:18 AM,06:34 PM,-13,-6,-2,-6,19,27,43,0.0,1033,-2,10,336,14,IAH
2018-01-03 03:00:00,6,-3,0.0,10.2,2,89,08:42 PM,09:38 AM,08:18 AM,06:34 PM,-16,-7,-2,-7,19,0,35,0.0,1032,-3,10,331,14,IAH
2018-01-03 06:00:00,6,-3,0.0,10.2,2,89,08:42 PM,09:38 AM,08:18 AM,06:34 PM,-16,-8,-3,-8,19,0,35,0.0,1032,-3,10,331,14,IAH
