date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,16,22,25,22,22,0,71,0.0,1018,22,10,87,15,JHM
2018-01-01 03:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,22,25,22,27,0,73,0.0,1018,22,10,89,18,JHM
2018-01-01 06:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,25,25,23,16,0,69,0.0,1019,23,10,96,12,JHM
2018-01-01 09:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,26,26,24,21,0,64,0.0,1019,24,10,81,16,JHM
2018-01-01 12:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,26,26,24,21,0,63,0.0,1017,24,10,81,16,JHM
2018-01-01 15:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,25,25,24,25,0,66,0.0,1017,24,10,77,19,JHM
2018-01-01 18:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,25,25,23,19,0,71,0.0,1019,22,10,89,13,JHM
2018-01-01 21:00:00,24,22,0.0,8.7,6,97,06:02 PM,06:36 AM,07:04 AM,05:57 PM,17,25,25,22,27,0,73,0.0,1020,22,10,84,19,JHM
2018-01-02 00:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,17,22,25,22,22,7,73,0.0,1019,22,10,86,15,JHM
2018-01-02 03:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,22,24,22,27,0,73,0.0,1019,21,10,81,19,JHM
2018-01-02 06:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,25,25,22,18,0,68,0.0,1020,22,10,84,13,JHM
2018-01-02 09:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,25,25,24,23,0,63,0.0,1020,23,10,84,18,JHM
2018-01-02 12:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,25,25,23,28,0,65,0.0,1019,23,10,62,22,JHM
2018-01-02 15:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,25,25,22,36,0,70,0.0,1019,22,10,62,27,JHM
2018-01-02 18:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,21,24,21,27,7,71,0.0,1019,21,10,80,19,JHM
2018-01-02 21:00:00,23,21,0.0,8.7,6,100,07:07 PM,07:39 AM,07:04 AM,05:58 PM,16,21,24,21,34,0,72,0.0,1021,21,10,73,24,JHM
2018-01-03 00:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,16,22,24,22,26,7,70,0.0,1020,21,10,75,18,JHM
2018-01-03 03:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,16,21,24,21,33,3,71,0.0,1020,21,10,75,23,JHM
2018-01-03 06:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,15,22,25,22,25,0,65,0.0,1021,22,10,78,19,JHM
2018-01-03 09:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,15,25,25,23,30,4,62,0.0,1021,23,10,72,25,JHM
2018-01-03 12:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,15,25,25,23,29,0,62,0.0,1019,23,10,61,24,JHM
2018-01-03 15:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,16,22,25,22,37,0,68,0.0,1019,22,10,63,29,JHM
2018-01-03 18:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,16,21,24,21,34,0,73,0.0,1020,21,10,68,24,JHM
2018-01-03 21:00:00,23,21,0.0,8.7,6,89,08:12 PM,08:38 AM,07:04 AM,05:59 PM,17,21,24,21,43,1,75,0.0,1020,21,10,75,31,JHM
2018-01-04 00:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,16,22,24,22,30,6,72,0.0,1019,22,10,78,21,JHM
2018-01-04 03:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,16,22,24,22,34,6,72,0.0,1019,22,10,81,24,JHM
2018-01-04 06:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,16,25,25,22,27,0,70,0.0,1020,22,10,79,20,JHM
2018-01-04 09:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,17,25,25,24,32,0,65,0.0,1021,24,10,78,25,JHM
2018-01-04 12:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,16,25,25,24,31,0,64,0.0,1019,24,10,71,24,JHM
2018-01-04 15:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,17,25,25,23,35,0,68,0.0,1020,23,10,72,27,JHM
2018-01-04 18:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,17,22,24,22,30,0,73,0.0,1021,22,10,76,22,JHM
2018-01-04 21:00:00,24,21,0.0,8.7,6,81,09:16 PM,09:32 AM,07:05 AM,05:59 PM,16,21,24,21,39,0,74,0.0,1022,21,10,72,28,JHM
2018-01-05 00:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,21,24,21,27,2,71,0.0,1021,21,10,77,18,JHM
2018-01-05 03:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,21,24,21,36,0,72,0.0,1021,21,10,82,25,JHM
2018-01-05 06:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,22,25,22,28,0,69,0.0,1022,22,10,81,21,JHM
2018-01-05 09:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,25,25,23,34,0,63,0.0,1022,23,10,82,26,JHM
2018-01-05 12:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,25,25,24,31,0,61,0.0,1020,24,10,76,24,JHM
2018-01-05 15:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,16,25,25,23,35,0,65,0.0,1020,23,10,76,26,JHM
2018-01-05 18:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,17,22,24,22,33,0,72,0.0,1022,22,10,78,24,JHM
2018-01-05 21:00:00,24,21,0.0,11.0,6,74,10:16 PM,10:19 AM,07:05 AM,06:00 PM,17,22,24,22,39,0,75,0.0,1022,22,10,76,28,JHM
2018-01-06 00:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,25,25,22,33,28,73,0.0,1022,22,10,71,22,JHM
2018-01-06 03:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,25,25,22,42,10,75,0.0,1022,22,10,73,30,JHM
2018-01-06 06:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,25,25,22,33,8,74,0.0,1022,22,10,69,24,JHM
2018-01-06 09:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,18,25,25,24,36,3,69,0.0,1022,23,10,69,28,JHM
2018-01-06 12:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,25,25,23,30,5,69,0.0,1020,23,10,61,24,JHM
2018-01-06 15:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,25,25,23,40,2,72,0.0,1021,23,10,64,30,JHM
2018-01-06 18:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,22,24,22,35,8,76,0.0,1022,22,10,70,26,JHM
2018-01-06 21:00:00,23,22,0.0,11.0,6,67,11:13 PM,11:04 AM,07:05 AM,06:00 PM,17,22,24,22,44,6,75,0.0,1022,22,10,69,32,JHM
2018-01-07 00:00:00,24,22,0.0,11.0,6,59,No moonrise,11:45 AM,07:05 AM,06:01 PM,17,22,25,22,35,0,72,0.0,1021,22,10,72,25,JHM
2018-01-07 03:00:00,24,22,0.0,11.0,6,59,No moonrise,11:45 AM,07:05 AM,06:01 PM,17,22,25,22,43,0,73,0.0,1021,22,10,72,31,JHM
2018-01-07 06:00:00,24,22,0.0,11.0,6,59,No moonrise,11:45 AM,07:05 AM,06:01 PM,17,25,25,22,34,5,73,0.0,1022,22,10,71,24,JHM
2018-01-07 09:00:00,24,22,0.0,11.0,6,59,No moonrise,11:45 AM,07:05 AM,06:01 PM,18,25,25,24,37,4,70,0.0,1021,24,10,67,29,JHM
2018-01-07 12:00:00,24,22,0.0,11.0,6,59,No moonrise,11:45 AM,07:05 AM,06:01 PM,17,25,25,24,35,0,68,0.0,1019,23,10,64,28,JHM
