date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,18,25,25,23,6,2,74,0.0,1018,23,10,317,5,KOA
2018-01-01 03:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,18,25,25,23,9,6,74,0.1,1018,23,10,358,7,KOA
2018-01-01 06:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,18,25,25,23,12,2,74,0.0,1019,23,10,321,9,KOA
2018-01-01 09:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,19,26,26,24,18,4,73,0.0,1019,24,10,322,13,KOA
2018-01-01 12:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,19,26,26,24,18,3,74,0.0,1016,24,10,305,13,KOA
2018-01-01 15:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,19,26,26,24,15,13,74,0.0,1017,24,10,324,11,KOA
2018-01-01 18:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,19,25,25,24,12,15,74,0.0,1018,24,10,319,9,KOA
2018-01-01 21:00:00,24,23,0.0,8.7,6,97,06:01 PM,06:31 AM,06:59 AM,05:57 PM,19,25,25,23,15,22,76,0.0,1020,23,10,351,11,KOA
2018-01-02 00:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,19,25,25,24,11,13,74,0.0,1019,23,10,359,8,KOA
2018-01-02 03:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,19,25,25,23,16,17,74,0.1,1019,23,10,4,12,KOA
2018-01-02 06:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,18,25,25,23,7,8,72,0.0,1020,23,10,347,5,KOA
2018-01-02 09:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,18,26,26,24,13,10,69,0.1,1019,24,10,313,9,KOA
2018-01-02 12:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,18,25,25,24,21,11,72,0.0,1018,24,10,322,16,KOA
2018-01-02 15:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,18,25,25,23,24,10,73,0.0,1018,23,10,6,17,KOA
2018-01-02 18:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,18,25,25,23,2,1,70,0.0,1019,23,10,32,1,KOA
2018-01-02 21:00:00,24,23,0.0,8.7,6,100,07:07 PM,07:34 AM,06:59 AM,05:58 PM,17,25,25,23,10,2,70,0.0,1020,23,10,356,8,KOA
2018-01-03 00:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,11,0,68,0.0,1019,23,10,336,8,KOA
2018-01-03 03:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,18,0,72,0.0,1019,23,10,7,13,KOA
2018-01-03 06:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,10,0,68,0.0,1020,23,10,335,7,KOA
2018-01-03 09:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,18,25,25,24,17,0,68,0.0,1020,24,10,342,13,KOA
2018-01-03 12:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,18,25,25,24,21,0,69,0.0,1018,24,10,324,16,KOA
2018-01-03 15:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,21,0,69,0.0,1019,23,10,2,15,KOA
2018-01-03 18:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,17,0,69,0.0,1019,23,10,20,13,KOA
2018-01-03 21:00:00,24,23,0.0,8.7,6,89,08:11 PM,08:33 AM,07:00 AM,05:58 PM,17,25,25,23,18,0,68,0.0,1020,23,10,42,13,KOA
2018-01-04 00:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,17,25,25,23,8,0,69,0.0,1018,23,10,225,6,KOA
2018-01-04 03:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,17,25,25,23,8,3,69,0.0,1019,23,10,309,6,KOA
2018-01-04 06:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,16,25,25,23,9,0,67,0.0,1020,23,10,307,6,KOA
2018-01-04 09:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,18,26,26,24,15,0,69,0.0,1020,24,10,302,11,KOA
2018-01-04 12:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,18,25,25,24,17,0,70,0.0,1018,24,10,295,13,KOA
2018-01-04 15:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,18,25,25,24,18,0,70,0.0,1019,24,10,336,13,KOA
2018-01-04 18:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,18,25,25,24,12,0,71,0.0,1020,23,10,358,9,KOA
2018-01-04 21:00:00,24,23,0.0,8.7,6,81,09:15 PM,09:27 AM,07:00 AM,05:59 PM,18,25,25,23,19,0,76,0.0,1021,23,10,7,14,KOA
2018-01-05 00:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,18,25,25,22,8,0,75,0.0,1020,22,10,337,6,KOA
2018-01-05 03:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,18,25,25,23,12,0,75,0.0,1020,22,10,0,9,KOA
2018-01-05 06:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,17,25,25,22,9,0,73,0.0,1021,22,10,332,7,KOA
2018-01-05 09:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,18,25,25,23,17,0,74,0.0,1021,23,10,322,13,KOA
2018-01-05 12:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,19,25,25,23,20,0,76,0.0,1019,23,10,312,14,KOA
2018-01-05 15:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,18,25,25,23,18,2,76,0.0,1020,23,10,331,13,KOA
2018-01-05 18:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,18,25,25,23,8,0,76,0.0,1021,23,10,347,6,KOA
2018-01-05 21:00:00,23,22,0.0,11.0,6,74,10:14 PM,10:16 AM,07:00 AM,06:00 PM,19,25,25,23,13,0,76,0.0,1021,23,10,338,9,KOA
2018-01-06 00:00:00,23,22,0.0,11.0,6,67,11:11 PM,11:01 AM,07:00 AM,06:00 PM,18,25,25,23,10,2,75,0.0,1021,23,10,306,7,KOA
2018-01-06 03:00:00,23,22,0.0,11.0,6,67,11:11 PM,11:01 AM,07:00 AM,06:00 PM,18,25,25,23,10,0,74,0.0,1021,23,10,349,7,KOA
2018-01-06 06:00:00,23,22,0.0,11.0,6,67,11:11 PM,11:01 AM,07:00 AM,06:00 PM,18,25,25,23,14,0,77,0.0,1021,22,10,291,10,KOA
