date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-17,-21,-12,-21,29,3,66,0.0,1027,-12,10,325,23,LGA
2018-01-01 03:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-17,-21,-12,-21,30,2,65,0.0,1028,-12,10,324,24,LGA
2018-01-01 06:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-18,-22,-13,-22,28,2,66,0.0,1029,-13,10,313,22,LGA
2018-01-01 09:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-17,-20,-11,-20,27,4,60,0.0,1030,-11,10,319,23,LGA
2018-01-01 12:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-17,-17,-9,-17,26,2,51,0.0,1028,-9,10,313,22,LGA
2018-01-01 15:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-17,-15,-8,-15,27,33,47,0.0,1028,-8,10,310,22,LGA
2018-01-01 18:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-15,-15,-8,-15,22,26,56,0.0,1029,-8,10,278,15,LGA
2018-01-01 21:00:00,-8,-13,0.0,8.7,2,97,05:33 PM,07:32 AM,08:20 AM,05:39 PM,-13,-16,-8,-16,30,15,66,0.0,1029,-8,10,275,22,LGA
2018-01-02 00:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-14,-17,-9,-17,35,9,65,0.0,1028,-9,10,284,26,LGA
2018-01-02 03:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-14,-17,-9,-17,33,19,65,0.0,1030,-9,10,293,25,LGA
2018-01-02 06:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-14,-17,-10,-17,25,36,69,0.0,1031,-10,10,274,18,LGA
2018-01-02 09:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-13,-15,-8,-15,26,59,64,0.0,1031,-8,10,283,21,LGA
2018-01-02 12:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-12,-11,-5,-11,20,15,59,0.0,1029,-5,10,274,16,LGA
2018-01-02 15:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-11,-11,-4,-11,27,6,59,0.0,1028,-4,10,254,21,LGA
2018-01-02 18:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-11,-12,-5,-12,28,8,66,0.0,1027,-5,10,251,20,LGA
2018-01-02 21:00:00,-4,-10,0.0,8.7,2,100,06:39 PM,08:36 AM,08:20 AM,05:40 PM,-12,-13,-6,-13,30,9,66,0.0,1028,-6,10,260,22,LGA
2018-01-03 00:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-12,-14,-7,-14,25,55,65,0.0,1028,-7,10,257,18,LGA
2018-01-03 03:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-13,-14,-8,-14,23,93,67,0.0,1028,-8,10,270,17,LGA
2018-01-03 06:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-13,-11,-7,-11,9,6,64,0.0,1028,-9,10,265,8,LGA
2018-01-03 09:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-14,-10,-6,-10,10,14,55,0.0,1027,-7,10,254,8,LGA
2018-01-03 12:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-14,-3,-3,-3,3,27,41,0.0,1025,-4,10,157,3,LGA
2018-01-03 15:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-12,-6,-3,-6,11,32,48,0.0,1023,-3,10,159,9,LGA
2018-01-03 18:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-11,-6,-3,-6,10,46,56,0.0,1022,-3,10,117,7,LGA
2018-01-03 21:00:00,-3,-9,0.0,8.7,2,89,07:50 PM,09:32 AM,08:20 AM,05:41 PM,-9,-7,-3,-7,17,65,62,0.0,1019,-3,10,52,11,LGA
2018-01-04 00:00:00,-3,-5,0.0,3.5,1,81,09:02 PM,10:20 AM,08:20 AM,05:42 PM,-9,-9,-3,-9,31,100,63,0.0,1014,-3,10,20,21,LGA
2018-01-04 03:00:00,-3,-5,0.0,3.5,1,81,09:02 PM,10:20 AM,08:20 AM,05:42 PM,-8,-10,-3,-10,38,100,68,0.0,1007,-3,10,13,28,LGA
2018-01-04 06:00:00,-3,-5,0.0,3.5,1,81,09:02 PM,10:20 AM,08:20 AM,05:42 PM,-5,-13,-5,-13,52,100,96,0.0,1002,-4,10,357,38,LGA
2018-01-04 09:00:00,-3,-5,0.0,3.5,1,81,09:02 PM,10:20 AM,08:20 AM,05:42 PM,-5,-14,-4,-14,67,100,94,0.0,996,-4,10,352,50,LGA
2018-01-04 12:00:00,-3,-5,0.0,3.5,1,81,09:02 PM,10:20 AM,08:20 AM,05:42 PM,-5,-13,-4,-13,64,100,89,0.0,992,-4,10,332,52,LGA
