date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-24,-29,-21,-29,18,3,77,0.0,1050,-21,10,355,13,MCI
2018-01-01 03:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-24,-30,-22,-30,17,4,77,0.0,1051,-22,10,341,12,MCI
2018-01-01 06:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-26,-31,-23,-31,15,0,74,0.0,1052,-23,10,325,10,MCI
2018-01-01 09:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-27,-30,-22,-30,14,0,66,0.0,1051,-22,10,338,10,MCI
2018-01-01 12:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-26,-22,-17,-22,9,0,46,0.0,1050,-17,10,312,8,MCI
2018-01-01 15:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-24,-19,-14,-19,8,0,41,0.0,1047,-14,10,330,6,MCI
2018-01-01 18:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-22,-20,-16,-20,9,3,60,0.0,1047,-16,10,34,5,MCI
2018-01-01 21:00:00,-14,-23,0.0,9.7,2,97,06:04 PM,07:55 AM,08:39 AM,06:06 PM,-22,-21,-17,-21,8,0,64,0.0,1046,-17,10,62,5,MCI
2018-01-02 00:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-23,-22,-18,-22,8,2,65,0.0,1046,-18,10,32,5,MCI
2018-01-02 03:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-22,-17,-17,-17,3,2,64,0.0,1046,-18,10,18,2,MCI
2018-01-02 06:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-23,-18,-18,-18,4,6,65,0.0,1045,-18,10,200,3,MCI
2018-01-02 09:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-23,-21,-16,-21,11,7,52,0.0,1043,-16,10,208,8,MCI
2018-01-02 12:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-23,-15,-10,-15,13,6,32,0.0,1040,-10,10,225,11,MCI
2018-01-02 15:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-23,-13,-7,-13,21,4,27,0.0,1034,-7,10,226,17,MCI
2018-01-02 18:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-21,-15,-10,-15,21,5,40,0.0,1032,-10,10,211,10,MCI
2018-01-02 21:00:00,-7,-18,0.0,9.7,2,100,07:11 PM,08:59 AM,08:39 AM,06:07 PM,-21,-16,-8,-16,37,9,35,0.0,1028,-8,10,228,22,MCI
2018-01-03 00:00:00,-6,-11,0.0,9.7,2,89,08:21 PM,09:55 AM,08:39 AM,06:08 PM,-19,-15,-8,-15,31,12,42,0.0,1026,-8,10,239,17,MCI
2018-01-03 03:00:00,-6,-11,0.0,9.7,2,89,08:21 PM,09:55 AM,08:39 AM,06:08 PM,-15,-15,-8,-15,30,5,61,0.0,1026,-8,10,279,16,MCI
