date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,12,16,16,16,8,74,75,0.0,1020,15,10,178,5,MCO
2018-01-01 03:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,12,16,16,16,5,94,75,0.1,1019,16,10,108,3,MCO
2018-01-01 06:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,13,16,16,16,5,65,81,0.0,1020,15,10,31,3,MCO
2018-01-01 09:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,13,15,15,15,20,100,88,0.8,1021,15,9,25,14,MCO
2018-01-01 12:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,9,11,12,11,23,100,82,0.0,1022,12,10,357,19,MCO
2018-01-01 15:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,8,8,11,8,32,100,82,0.2,1021,11,2,2,24,MCO
2018-01-01 18:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,5,5,8,5,36,100,80,0.0,1023,8,10,358,28,MCO
2018-01-01 21:00:00,16,8,0.0,5.1,3,97,06:33 PM,07:35 AM,08:17 AM,06:40 PM,4,4,8,4,37,100,79,0.3,1024,8,2,2,27,MCO
2018-01-02 00:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,5,5,8,5,39,100,82,0.0,1024,8,10,1,27,MCO
2018-01-02 03:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,6,5,9,5,37,100,82,0.2,1024,9,2,6,26,MCO
2018-01-02 06:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,5,4,8,4,31,100,80,0.0,1025,8,10,359,22,MCO
2018-01-02 09:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,6,6,9,6,35,100,81,0.1,1026,9,10,11,25,MCO
2018-01-02 12:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,8,9,12,9,29,100,80,0.0,1024,12,10,7,21,MCO
2018-01-02 15:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,8,8,11,8,39,100,81,0.2,1023,11,2,19,26,MCO
2018-01-02 18:00:00,12,8,0.0,5.1,2,100,07:39 PM,08:38 AM,08:18 AM,06:41 PM,7,7,10,7,32,100,82,0.0,1023,10,10,5,23,MCO
