date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-0,2,7,2,35,100,61,0.0,1032,7,10,353,28,MFE
2018-01-01 03:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-3,-0,5,-0,37,100,58,0.2,1033,5,2,353,28,MFE
2018-01-01 06:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-6,-4,2,-4,41,100,52,0.0,1036,2,10,350,32,MFE
2018-01-01 09:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-4,-4,2,-4,37,100,64,0.2,1038,2,2,347,29,MFE
2018-01-01 12:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-6,-3,2,-3,32,99,54,0.0,1039,2,10,351,27,MFE
2018-01-01 15:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-4,-3,2,-3,29,84,62,0.6,1036,2,2,356,24,MFE
2018-01-01 18:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-6,-4,1,-4,22,73,59,0.0,1036,1,10,356,17,MFE
2018-01-01 21:00:00,7,1,0.0,5.2,1,97,06:48 PM,07:41 AM,08:20 AM,06:53 PM,-7,-4,1,-4,24,87,57,0.0,1036,1,10,355,17,MFE
2018-01-02 00:00:00,4,-1,0.0,5.2,1,100,07:54 PM,08:44 AM,08:21 AM,06:53 PM,-9,-5,-1,-5,23,64,52,0.0,1036,-1,10,347,17,MFE
2018-01-02 03:00:00,4,-1,0.0,5.2,1,100,07:54 PM,08:44 AM,08:21 AM,06:53 PM,-6,-5,-0,-5,23,79,62,0.0,1034,-0,10,342,17,MFE
2018-01-02 06:00:00,4,-1,0.0,5.2,1,100,07:54 PM,08:44 AM,08:21 AM,06:53 PM,-7,-5,0,-5,26,100,59,0.0,1033,0,10,344,19,MFE
2018-01-02 09:00:00,4,-1,0.0,5.2,1,100,07:54 PM,08:44 AM,08:21 AM,06:53 PM,-7,-4,1,-4,25,100,57,0.0,1034,1,10,346,18,MFE
2018-01-02 12:00:00,4,-1,0.0,5.2,1,100,07:54 PM,08:44 AM,08:21 AM,06:53 PM,-8,-2,2,-2,23,100,45,0.0,1032,2,10,356,18,MFE
