date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,15,20,20,20,9,11,73,0.0,1020,19,10,308,7,MIA
2018-01-01 03:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,16,20,20,20,6,6,76,0.0,1019,18,10,312,5,MIA
2018-01-01 06:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,15,19,19,19,6,28,77,0.0,1020,18,10,260,4,MIA
2018-01-01 09:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,15,23,25,23,11,10,62,0.0,1020,22,10,215,9,MIA
2018-01-01 12:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,15,26,26,25,8,14,53,0.0,1018,24,10,244,7,MIA
2018-01-01 15:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,14,26,26,25,8,12,49,0.0,1018,24,10,302,7,MIA
2018-01-01 18:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,15,22,25,22,13,35,64,0.0,1019,22,10,322,9,MIA
2018-01-01 21:00:00,24,18,0.0,10.3,6,97,06:34 PM,07:25 AM,08:08 AM,06:42 PM,16,19,19,19,32,43,80,0.0,1019,19,10,342,23,MIA
2018-01-02 00:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,13,17,17,17,28,82,81,0.0,1019,17,10,325,22,MIA
2018-01-02 03:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,15,18,18,18,29,78,84,0.0,1018,18,10,329,21,MIA
2018-01-02 06:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,13,16,16,16,23,59,84,0.0,1019,16,10,341,17,MIA
2018-01-02 09:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,17,20,20,20,32,87,81,0.5,1020,20,10,31,26,MIA
2018-01-02 12:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,17,20,20,20,35,100,84,0.0,1018,20,10,43,26,MIA
2018-01-02 15:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,17,21,21,21,41,100,80,1.1,1017,21,10,48,30,MIA
2018-01-02 18:00:00,21,16,0.0,5.2,4,100,07:39 PM,08:29 AM,08:08 AM,06:42 PM,17,20,20,20,37,90,83,0.0,1018,20,10,49,27,MIA
