date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-6,-6,1,-6,39,71,59,0.0,1031,1,10,6,31,MSY
2018-01-01 03:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-9,-8,-1,-8,38,27,52,0.0,1032,-1,10,10,30,MSY
2018-01-01 06:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-11,-9,-2,-9,36,99,49,0.0,1034,-2,10,6,28,MSY
2018-01-01 09:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-12,-8,-2,-8,34,5,43,0.0,1035,-2,10,6,29,MSY
2018-01-01 12:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-13,-6,0,-6,29,82,37,0.0,1035,0,10,4,26,MSY
2018-01-01 15:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-12,-4,2,-4,31,28,35,0.0,1034,2,10,5,27,MSY
2018-01-01 18:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-11,-5,1,-5,31,8,40,0.0,1034,1,10,4,23,MSY
2018-01-01 21:00:00,2,-2,0.0,10.0,1,97,06:07 PM,07:15 AM,07:57 AM,06:12 PM,-11,-6,0,-6,37,100,41,0.0,1035,0,10,23,28,MSY
2018-01-02 00:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-11,-8,-2,-8,34,64,48,0.0,1035,-2,10,25,26,MSY
2018-01-02 03:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-11,-9,-2,-9,32,32,51,0.0,1035,-2,10,34,25,MSY
2018-01-02 06:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-10,-10,-4,-10,28,7,59,0.0,1035,-4,10,36,22,MSY
2018-01-02 09:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-10,-7,-2,-7,23,13,55,0.0,1035,-2,10,39,19,MSY
2018-01-02 12:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-12,-5,-1,-5,15,15,40,0.0,1034,-1,10,27,13,MSY
2018-01-02 15:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-13,-0,2,-0,11,21,31,0.0,1031,2,10,29,9,MSY
2018-01-02 18:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-11,-1,2,-1,14,90,39,0.0,1030,2,10,15,10,MSY
2018-01-02 21:00:00,3,-4,0.0,10.0,1,100,07:13 PM,08:19 AM,07:57 AM,06:13 PM,-9,-1,3,-1,20,44,42,0.0,1029,3,10,31,14,MSY
2018-01-03 00:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-8,-1,3,-1,19,95,44,0.0,1029,3,10,11,14,MSY
2018-01-03 03:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-9,-2,2,-2,17,45,46,0.0,1027,2,10,7,12,MSY
2018-01-03 06:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-7,-4,1,-4,22,100,54,0.0,1027,1,10,355,14,MSY
2018-01-03 09:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-9,-3,2,-3,25,11,44,0.0,1028,2,10,337,20,MSY
2018-01-03 12:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-9,-0,4,-0,20,2,38,0.0,1026,4,10,328,18,MSY
2018-01-03 15:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-9,2,5,2,22,0,35,0.0,1024,5,10,325,19,MSY
2018-01-03 18:00:00,5,1,0.0,10.6,1,89,08:20 PM,09:17 AM,07:57 AM,06:14 PM,-8,1,4,1,24,0,42,0.0,1025,4,10,318,15,MSY
