date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-20,-27,-18,-27,19,6,86,0.0,1041,-18,10,304,15,ORD
2018-01-01 03:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-21,-29,-20,-29,21,13,88,0.0,1041,-20,10,302,16,ORD
2018-01-01 06:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-23,-30,-21,-30,18,18,88,0.0,1042,-22,10,294,14,ORD
2018-01-01 09:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-22,-30,-21,-30,20,21,88,0.0,1042,-21,10,290,16,ORD
2018-01-01 12:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-20,-25,-18,-25,13,13,85,0.0,1042,-18,10,280,11,ORD
2018-01-01 15:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-18,-24,-16,-24,17,6,84,0.0,1042,-16,10,283,14,ORD
2018-01-01 18:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-20,-27,-19,-27,17,29,90,0.0,1043,-19,10,261,13,ORD
2018-01-01 21:00:00,-16,-22,0.0,8.7,2,97,05:29 PM,07:34 AM,08:19 AM,05:31 PM,-20,-27,-19,-27,18,31,91,0.0,1042,-19,10,274,13,ORD
2018-01-02 00:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-21,-28,-20,-28,18,10,90,0.0,1041,-20,10,264,13,ORD
2018-01-02 03:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-20,-26,-18,-26,17,22,85,0.0,1040,-19,10,263,13,ORD
2018-01-02 06:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-23,-29,-21,-29,17,11,79,0.0,1040,-21,10,251,12,ORD
2018-01-02 09:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-21,-26,-18,-26,18,7,79,0.0,1038,-18,10,244,14,ORD
2018-01-02 12:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-18,-23,-15,-23,18,2,78,0.0,1035,-15,10,240,15,ORD
2018-01-02 15:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-18,-23,-14,-23,26,35,73,0.0,1032,-14,10,233,20,ORD
2018-01-02 18:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-19,-26,-17,-26,31,10,79,0.0,1029,-17,10,211,21,ORD
2018-01-02 21:00:00,-14,-21,0.0,8.7,2,100,06:35 PM,08:37 AM,08:20 AM,05:32 PM,-18,-25,-15,-25,36,13,80,0.0,1026,-15,10,225,24,ORD
2018-01-03 00:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-16,-22,-13,-22,35,26,80,0.0,1022,-13,10,218,22,ORD
2018-01-03 03:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-14,-19,-11,-19,27,91,78,0.0,1020,-11,10,233,19,ORD
2018-01-03 06:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-12,-16,-11,-16,15,100,90,0.0,1019,-11,10,240,11,ORD
2018-01-03 09:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-11,-16,-10,-16,16,100,88,0.2,1019,-10,5,290,13,ORD
2018-01-03 12:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-12,-16,-9,-16,21,100,75,0.0,1020,-9,10,305,17,ORD
2018-01-03 15:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-13,-17,-10,-17,23,98,75,0.1,1021,-10,10,314,18,ORD
2018-01-03 18:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-14,-18,-11,-18,19,79,80,0.0,1024,-12,10,319,13,ORD
2018-01-03 21:00:00,-9,-13,0.2,3.4,2,89,07:46 PM,09:33 AM,08:20 AM,05:33 PM,-15,-21,-13,-21,23,26,83,0.0,1025,-13,10,327,16,ORD
2018-01-04 00:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-16,-23,-14,-23,26,16,84,0.0,1026,-14,10,321,18,ORD
2018-01-04 03:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-17,-23,-15,-23,23,5,85,0.0,1027,-15,10,330,17,ORD
2018-01-04 06:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-18,-24,-16,-24,16,9,86,0.0,1028,-17,10,333,12,ORD
2018-01-04 09:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-17,-23,-15,-23,17,0,82,0.0,1028,-16,10,330,15,ORD
2018-01-04 12:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-16,-19,-12,-19,17,0,69,0.0,1028,-13,10,333,14,ORD
2018-01-04 15:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-16,-19,-12,-19,18,6,71,0.0,1027,-12,10,322,15,ORD
2018-01-04 18:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-16,-20,-13,-20,15,3,79,0.0,1029,-14,10,322,12,ORD
2018-01-04 21:00:00,-12,-17,0.0,8.7,2,81,08:58 PM,10:20 AM,08:20 AM,05:34 PM,-17,-21,-14,-21,17,0,80,0.0,1028,-15,10,328,14,ORD
2018-01-05 00:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-16,-21,-14,-21,13,0,82,0.0,1029,-16,10,318,11,ORD
2018-01-05 03:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-17,-22,-14,-22,15,0,83,0.0,1029,-16,10,314,13,ORD
2018-01-05 06:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-19,-25,-16,-25,19,0,83,0.0,1031,-17,10,329,15,ORD
2018-01-05 09:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-19,-24,-16,-24,20,0,75,0.0,1032,-16,10,328,16,ORD
2018-01-05 12:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-18,-20,-13,-20,17,8,66,0.0,1032,-13,10,332,15,ORD
2018-01-05 15:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-17,-20,-13,-20,17,23,68,0.0,1032,-13,10,322,14,ORD
2018-01-05 18:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-17,-20,-13,-20,15,3,74,0.0,1034,-14,10,328,12,ORD
2018-01-05 21:00:00,-13,-17,0.0,8.7,2,74,10:09 PM,11:01 AM,08:20 AM,05:35 PM,-17,-21,-14,-21,16,0,78,0.0,1035,-15,10,323,13,ORD
2018-01-06 00:00:00,-11,-17,0.0,8.7,2,67,11:17 PM,11:36 AM,08:19 AM,05:36 PM,-17,-21,-14,-21,14,0,78,0.0,1036,-16,10,329,12,ORD
2018-01-06 03:00:00,-11,-17,0.0,8.7,2,67,11:17 PM,11:36 AM,08:19 AM,05:36 PM,-17,-21,-14,-21,15,0,81,0.0,1037,-16,10,322,13,ORD
2018-01-06 06:00:00,-11,-17,0.0,8.7,2,67,11:17 PM,11:36 AM,08:19 AM,05:36 PM,-19,-23,-16,-23,14,3,78,0.0,1038,-17,10,328,12,ORD
2018-01-06 09:00:00,-11,-17,0.0,8.7,2,67,11:17 PM,11:36 AM,08:19 AM,05:36 PM,-17,-20,-14,-20,12,2,76,0.0,1038,-16,10,320,10,ORD
