date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-11,-13,-5,-13,37,16,63,0.0,1030,-5,10,356,31,ORF
2018-01-01 03:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-11,-14,-5,-14,42,15,61,0.0,1030,-5,2,349,35,ORF
2018-01-01 06:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-11,-14,-6,-14,38,25,63,0.0,1031,-5,10,352,32,ORF
2018-01-01 09:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-12,-13,-5,-13,39,23,58,0.0,1033,-5,2,347,34,ORF
2018-01-01 12:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-13,-11,-4,-11,32,16,49,0.0,1032,-4,10,352,28,ORF
2018-01-01 15:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-14,-11,-4,-11,32,8,45,0.0,1032,-4,10,335,27,ORF
2018-01-01 18:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-15,-11,-4,-11,29,0,44,0.0,1032,-4,10,339,22,ORF
2018-01-01 21:00:00,-4,-5,0.0,8.7,2,97,05:53 PM,07:32 AM,08:18 AM,05:59 PM,-14,-11,-4,-11,34,0,45,0.0,1034,-4,10,326,26,ORF
2018-01-02 00:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-13,-13,-5,-13,35,0,54,0.0,1034,-5,10,346,30,ORF
2018-01-02 03:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-13,-15,-6,-15,38,2,60,0.0,1035,-6,10,346,31,ORF
2018-01-02 06:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-13,-15,-7,-15,31,0,61,0.0,1036,-7,10,351,25,ORF
2018-01-02 09:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-13,-13,-6,-13,27,0,57,0.0,1036,-6,10,344,23,ORF
2018-01-02 12:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-14,-10,-4,-10,20,0,46,0.0,1034,-4,10,323,17,ORF
2018-01-02 15:00:00,-3,-7,0.0,9.8,2,100,06:59 PM,08:35 AM,08:18 AM,06:00 PM,-16,-8,-3,-8,20,0,36,0.0,1032,-3,10,313,16,ORF
