date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,15,19,19,19,13,13,78,0.0,1020,19,10,302,9,PBI
2018-01-01 03:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,16,19,19,19,9,22,81,0.0,1019,18,10,284,6,PBI
2018-01-01 06:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,15,19,19,19,12,88,82,0.0,1019,18,10,262,8,PBI
2018-01-01 09:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,15,21,21,21,10,28,71,0.0,1020,20,10,253,8,PBI
2018-01-01 12:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,15,25,25,23,13,46,62,0.0,1019,23,10,255,10,PBI
2018-01-01 15:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,15,22,25,22,20,21,65,0.0,1018,22,10,321,15,PBI
2018-01-01 18:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,16,20,20,20,28,87,82,0.0,1019,20,10,331,21,PBI
2018-01-01 21:00:00,23,18,0.0,10.0,5,97,06:31 PM,07:26 AM,08:09 AM,06:39 PM,16,19,19,19,36,79,84,0.1,1020,19,10,338,27,PBI
2018-01-02 00:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,16,19,19,19,27,91,84,0.0,1019,19,10,338,20,PBI
2018-01-02 03:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,17,20,20,20,40,77,83,1.0,1019,20,10,18,30,PBI
2018-01-02 06:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,16,19,19,19,43,100,87,0.0,1020,19,10,37,32,PBI
2018-01-02 09:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,16,20,20,20,53,100,82,2.1,1021,20,10,36,36,PBI
2018-01-02 12:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,17,20,20,20,49,100,83,0.0,1019,20,10,47,38,PBI
2018-01-02 15:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,16,20,20,20,58,100,81,1.8,1018,20,10,47,41,PBI
2018-01-02 18:00:00,20,19,0.0,5.2,4,100,07:37 PM,08:30 AM,08:09 AM,06:40 PM,16,19,19,19,46,100,84,0.0,1019,19,10,55,35,PBI
