date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-15,-16,-10,-16,14,0,63,0.0,1029,-12,10,321,12,PHL
2018-01-01 03:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-17,-18,-11,-18,17,0,63,0.0,1030,-13,10,323,15,PHL
2018-01-01 06:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-15,-15,-10,-15,11,0,65,0.0,1031,-14,10,299,9,PHL
2018-01-01 09:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-18,-17,-10,-17,19,2,54,0.0,1032,-11,10,316,16,PHL
2018-01-01 12:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-18,-13,-7,-13,17,3,43,0.0,1030,-8,10,309,15,PHL
2018-01-01 15:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-17,-14,-8,-14,19,63,47,0.0,1030,-8,10,295,14,PHL
2018-01-01 18:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-15,-14,-9,-14,14,53,61,0.0,1031,-9,10,252,9,PHL
2018-01-01 21:00:00,-8,-14,0.0,7.0,2,97,05:41 PM,07:36 AM,08:22 AM,05:47 PM,-15,-16,-9,-16,27,14,61,0.0,1032,-9,10,285,18,PHL
2018-01-02 00:00:00,-6,-11,0.0,8.7,2,100,06:48 PM,08:39 AM,08:22 AM,05:48 PM,-16,-18,-10,-18,25,6,60,0.0,1032,-11,10,277,18,PHL
2018-01-02 03:00:00,-6,-11,0.0,8.7,2,100,06:48 PM,08:39 AM,08:22 AM,05:48 PM,-16,-18,-10,-18,28,6,62,0.0,1033,-11,10,284,19,PHL
