date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-11,19,19,19,4,2,12,0.0,1021,16,10,41,3,PHX
2018-01-01 03:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-11,18,18,18,8,3,13,0.0,1021,15,10,41,5,PHX
2018-01-01 06:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-12,13,14,13,19,3,16,0.0,1022,12,10,52,10,PHX
2018-01-01 09:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-10,16,16,16,7,0,16,0.0,1022,12,10,53,6,PHX
2018-01-01 12:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-10,20,20,20,7,0,12,0.0,1022,17,10,76,6,PHX
2018-01-01 15:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-9,25,24,25,3,0,9,0.0,1019,21,10,285,3,PHX
2018-01-01 18:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-9,24,23,24,3,0,11,0.0,1019,20,10,274,3,PHX
2018-01-01 21:00:00,21,12,0.0,8.7,5,97,05:31 PM,06:53 AM,07:32 AM,05:32 PM,-11,19,19,19,10,14,12,0.0,1019,18,10,306,5,PHX
2018-01-02 00:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-10,17,17,17,4,8,14,0.0,1021,16,10,302,2,PHX
2018-01-02 03:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-10,16,16,16,4,32,15,0.0,1020,15,10,43,2,PHX
2018-01-02 06:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-13,13,14,13,21,100,15,0.0,1021,13,10,70,10,PHX
2018-01-02 09:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-12,14,14,14,11,99,15,0.0,1021,13,10,56,5,PHX
2018-01-02 12:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-12,18,18,18,8,33,12,0.0,1022,17,10,79,7,PHX
2018-01-02 15:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-11,23,23,23,5,22,10,0.0,1019,22,10,182,4,PHX
2018-01-02 18:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-9,22,22,22,5,21,11,0.0,1019,21,10,266,3,PHX
2018-01-02 21:00:00,22,13,0.0,7.0,5,100,06:37 PM,07:57 AM,07:33 AM,05:32 PM,-9,20,20,20,17,12,14,0.0,1020,19,10,19,8,PHX
2018-01-03 00:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-9,17,17,17,24,19,15,0.0,1021,17,10,42,12,PHX
2018-01-03 03:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,15,15,15,24,21,15,0.0,1021,15,10,42,12,PHX
2018-01-03 06:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-12,15,15,15,32,3,14,0.0,1021,15,10,52,15,PHX
2018-01-03 09:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,15,15,15,19,5,16,0.0,1021,14,10,51,9,PHX
2018-01-03 12:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-10,21,21,21,19,9,12,0.0,1020,21,10,71,16,PHX
2018-01-03 15:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,24,24,25,15,13,8,0.0,1017,24,10,111,13,PHX
2018-01-03 18:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,23,23,23,12,28,9,0.0,1017,23,10,60,8,PHX
2018-01-03 21:00:00,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,21,22,21,6,50,10,0.0,1018,21,10,76,4,PHX
2018-01-04 00:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-12,20,20,20,15,79,10,0.0,1019,20,10,55,8,PHX
2018-01-04 03:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-13,19,19,19,10,80,10,0.0,1019,19,10,67,6,PHX
2018-01-04 06:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-16,18,18,18,24,34,8,0.0,1019,18,10,72,13,PHX
2018-01-04 09:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-15,18,18,18,11,12,10,0.0,1019,16,10,67,6,PHX
2018-01-04 12:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-7,22,22,22,10,6,13,0.0,1020,21,10,94,9,PHX
2018-01-04 15:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-2,24,24,26,2,2,16,0.0,1018,23,10,243,1,PHX
2018-01-04 18:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-3,23,23,24,4,6,17,0.0,1018,23,10,296,3,PHX
2018-01-04 21:00:00,23,16,0.0,8.7,4,81,08:53 PM,09:44 AM,07:33 AM,05:34 PM,-2,23,23,23,5,1,18,0.0,1019,20,10,5,4,PHX
2018-01-05 00:00:00,22,15,0.0,8.7,5,74,09:59 PM,10:28 AM,07:33 AM,05:35 PM,-2,21,21,21,2,2,21,0.0,1021,18,10,61,1,PHX
2018-01-05 03:00:00,22,15,0.0,8.7,5,74,09:59 PM,10:28 AM,07:33 AM,05:35 PM,-1,21,21,21,5,2,24,0.0,1021,17,10,74,4,PHX
2018-01-05 06:00:00,22,15,0.0,8.7,5,74,09:59 PM,10:28 AM,07:33 AM,05:35 PM,-3,16,16,16,22,3,27,0.0,1022,15,10,71,12,PHX
2018-01-05 09:00:00,22,15,0.0,8.7,5,74,09:59 PM,10:28 AM,07:33 AM,05:35 PM,-2,16,16,16,12,8,28,0.0,1022,15,10,76,7,PHX
2018-01-05 12:00:00,22,15,0.0,8.7,5,74,09:59 PM,10:28 AM,07:33 AM,05:35 PM,-2,19,19,19,9,33,23,0.0,1022,19,10,111,8,PHX
