date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-3,-5,0,-5,30,25,76,0.0,1027,0,10,4,22,PNS
2018-01-01 03:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-8,-8,-2,-8,35,68,60,0.0,1029,-2,10,5,26,PNS
2018-01-01 06:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-12,-9,-3,-9,29,81,49,0.0,1030,-2,10,358,22,PNS
2018-01-01 09:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-14,-8,-2,-8,30,77,38,0.0,1032,-1,10,3,26,PNS
2018-01-01 12:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-13,-2,3,-2,27,43,29,0.0,1032,3,10,1,23,PNS
2018-01-01 15:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-12,-1,3,-1,28,3,30,0.0,1031,3,10,10,24,PNS
2018-01-01 18:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-12,-5,0,-5,28,6,39,0.0,1032,-0,10,4,20,PNS
2018-01-01 21:00:00,3,-2,0.0,7.1,2,97,05:54 PM,07:03 AM,07:46 AM,05:59 PM,-12,-7,-1,-7,32,100,43,0.0,1034,-1,10,18,23,PNS
2018-01-02 00:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-13,-8,-2,-8,30,100,44,0.0,1034,-2,10,17,23,PNS
2018-01-02 03:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-13,-9,-3,-9,27,100,43,0.0,1034,-3,10,25,21,PNS
2018-01-02 06:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-13,-9,-3,-9,24,99,45,0.0,1034,-3,10,22,19,PNS
2018-01-02 09:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-14,-6,-1,-6,21,88,38,0.0,1034,-1,10,34,18,PNS
2018-01-02 12:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-14,0,4,0,17,10,26,0.0,1032,4,10,21,15,PNS
2018-01-02 15:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-13,2,5,2,18,10,25,0.0,1030,5,10,34,16,PNS
2018-01-02 18:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-12,-1,2,-1,20,5,35,0.0,1029,2,10,357,11,PNS
2018-01-02 21:00:00,5,-3,0.0,10.0,1,100,06:59 PM,08:07 AM,07:46 AM,06:00 PM,-12,-3,1,-3,19,8,37,0.0,1028,1,10,29,11,PNS
2018-01-03 00:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-13,-2,1,-2,16,28,34,0.0,1027,1,10,27,11,PNS
2018-01-03 03:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-13,-3,1,-3,16,86,33,0.0,1026,1,10,23,11,PNS
2018-01-03 06:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-11,-4,-0,-4,17,53,43,0.0,1025,-0,10,356,12,PNS
2018-01-03 09:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-11,-2,2,-2,17,44,36,0.0,1025,2,10,347,13,PNS
2018-01-03 12:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-10,2,6,2,19,47,31,0.0,1023,6,10,346,17,PNS
2018-01-03 15:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-9,3,6,3,20,10,31,0.0,1021,6,10,333,17,PNS
2018-01-03 18:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-9,-1,2,-1,21,2,43,0.0,1022,2,10,327,10,PNS
2018-01-03 21:00:00,6,-0,0.0,10.6,2,89,08:07 PM,09:05 AM,07:46 AM,06:01 PM,-10,-3,1,-3,25,0,42,0.0,1023,1,10,325,13,PNS
2018-01-04 00:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-11,-5,-0,-5,24,0,44,0.0,1023,-0,10,323,14,PNS
2018-01-04 03:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-11,-6,-1,-6,26,0,46,0.0,1024,-1,10,336,17,PNS
2018-01-04 06:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-11,-6,-2,-6,18,2,52,0.0,1024,-2,10,328,12,PNS
2018-01-04 09:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-10,-4,1,-4,20,4,44,0.0,1025,1,10,334,16,PNS
2018-01-04 12:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-8,3,6,3,15,6,36,0.0,1024,6,10,328,13,PNS
2018-01-04 15:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-7,4,7,4,20,6,35,0.0,1024,7,10,323,17,PNS
2018-01-04 18:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-7,-0,2,-0,18,5,49,0.0,1025,2,10,328,9,PNS
2018-01-04 21:00:00,7,-2,0.0,10.5,2,81,09:14 PM,09:57 AM,07:47 AM,06:01 PM,-8,-2,1,-2,25,6,50,0.0,1027,1,10,352,13,PNS
2018-01-05 00:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-10,-4,-1,-4,15,1,49,0.0,1027,-1,10,356,9,PNS
2018-01-05 03:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-11,-6,-2,-6,18,10,48,0.0,1028,-2,10,10,11,PNS
2018-01-05 06:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-12,-6,-2,-6,15,6,45,0.0,1030,-2,10,21,10,PNS
2018-01-05 09:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-13,-2,1,-2,13,100,35,0.0,1031,1,10,30,10,PNS
2018-01-05 12:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-10,8,8,8,4,100,26,0.0,1030,8,10,359,4,PNS
2018-01-05 15:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-8,8,9,8,6,100,28,0.0,1029,9,10,324,5,PNS
2018-01-05 18:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-6,5,5,5,8,100,44,0.0,1029,5,10,284,4,PNS
2018-01-05 21:00:00,9,-2,0.0,5.3,2,74,10:18 PM,10:43 AM,07:47 AM,06:02 PM,-5,2,4,2,13,4,51,0.0,1030,4,10,357,6,PNS
2018-01-06 00:00:00,12,1,0.0,10.0,3,67,11:21 PM,11:24 AM,07:47 AM,06:03 PM,-6,-0,2,-0,14,0,57,0.0,1031,2,10,15,7,PNS
