date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-1,-0,1,-0,8,78,85,0.0,1027,1,10,53,5,SEA
2018-01-01 03:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-2,0,0,0,5,37,86,0.0,1029,-0,10,56,3,SEA
2018-01-01 06:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-2,-1,0,-1,8,33,83,0.0,1029,-1,10,40,4,SEA
2018-01-01 09:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-2,3,3,3,4,47,72,0.0,1031,2,10,40,3,SEA
2018-01-01 12:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-1,5,6,5,6,49,63,0.0,1030,5,10,5,5,SEA
2018-01-01 15:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,1,3,4,3,8,22,83,0.0,1031,3,10,25,4,SEA
2018-01-01 18:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,1,1,2,1,10,14,89,0.0,1032,1,10,27,5,SEA
2018-01-01 21:00:00,5,-1,0.0,8.7,1,97,05:35 PM,08:16 AM,08:57 AM,05:30 PM,-0,0,2,0,8,12,87,0.0,1032,1,10,68,5,SEA
2018-01-02 00:00:00,7,0,0.0,3.3,2,100,06:42 PM,09:18 AM,08:57 AM,05:30 PM,-0,1,2,1,9,11,83,0.0,1032,1,10,39,5,SEA
2018-01-02 03:00:00,7,0,0.0,3.3,2,100,06:42 PM,09:18 AM,08:57 AM,05:30 PM,-0,0,2,0,7,11,89,0.0,1032,0,10,35,4,SEA
2018-01-02 06:00:00,7,0,0.0,3.3,2,100,06:42 PM,09:18 AM,08:57 AM,05:30 PM,-1,0,2,0,10,33,83,0.0,1031,1,10,42,5,SEA
2018-01-02 09:00:00,7,0,0.0,3.3,2,100,06:42 PM,09:18 AM,08:57 AM,05:30 PM,-1,3,4,3,7,94,68,0.0,1030,4,10,73,5,SEA
2018-01-02 12:00:00,7,0,0.0,3.3,2,100,06:42 PM,09:18 AM,08:57 AM,05:30 PM,-1,7,7,7,4,100,58,0.0,1029,7,10,42,4,SEA
