date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,11,12,12,12,3,62,93,0.0,1022,11,10,160,2,SFO
2018-01-01 03:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,11,12,12,12,3,66,95,0.0,1023,11,2,118,2,SFO
2018-01-01 06:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,10,12,12,12,5,47,93,0.0,1023,11,10,7,4,SFO
2018-01-01 09:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,10,13,12,13,5,28,84,0.0,1024,11,10,102,4,SFO
2018-01-01 12:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,12,19,19,19,10,2,65,0.0,1022,15,10,27,8,SFO
2018-01-01 15:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,11,17,17,17,3,3,66,0.0,1022,15,10,340,3,SFO
2018-01-01 18:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,9,15,15,15,8,7,66,0.0,1021,14,10,30,5,SFO
2018-01-01 21:00:00,15,11,0.0,9.8,4,97,06:04 PM,07:47 AM,08:24 AM,06:02 PM,9,14,14,14,4,6,69,0.0,1022,13,10,104,3,SFO
2018-01-02 00:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,8,15,15,15,9,9,64,0.0,1022,13,10,60,6,SFO
2018-01-02 03:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,7,14,14,14,8,19,63,0.0,1022,12,10,110,5,SFO
2018-01-02 06:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,6,13,13,13,12,49,61,0.0,1022,12,10,54,7,SFO
2018-01-02 09:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,6,14,14,14,7,47,58,0.0,1022,13,10,82,5,SFO
2018-01-02 12:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,7,16,16,16,9,63,55,0.0,1020,16,10,37,7,SFO
2018-01-02 15:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,8,15,15,15,8,56,63,0.0,1020,15,10,71,6,SFO
2018-01-02 18:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,9,16,16,16,10,5,63,0.0,1019,14,10,72,7,SFO
2018-01-02 21:00:00,16,12,0.0,9.8,4,100,07:11 PM,08:50 AM,08:24 AM,06:03 PM,9,15,15,15,7,4,66,0.0,1019,13,10,102,5,SFO
2018-01-03 00:00:00,13,12,0.0,6.6,4,89,08:20 PM,09:46 AM,08:25 AM,06:04 PM,9,15,15,15,8,5,65,0.0,1018,13,10,79,6,SFO
2018-01-03 03:00:00,13,12,0.0,6.6,4,89,08:20 PM,09:46 AM,08:25 AM,06:04 PM,7,14,14,14,11,7,64,0.0,1018,12,10,97,7,SFO
2018-01-03 06:00:00,13,12,0.0,6.6,4,89,08:20 PM,09:46 AM,08:25 AM,06:04 PM,6,13,13,13,12,15,61,0.0,1017,12,10,69,7,SFO
2018-01-03 09:00:00,13,12,0.0,6.6,4,89,08:20 PM,09:46 AM,08:25 AM,06:04 PM,7,14,14,14,6,90,63,0.0,1017,13,10,138,4,SFO
2018-01-03 12:00:00,13,12,0.0,6.6,4,89,08:20 PM,09:46 AM,08:25 AM,06:04 PM,8,13,13,13,12,49,69,1.8,1016,13,9,93,9,SFO
