date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-21,-24,-15,-24,27,18,59,0.0,1046,-15,10,11,19,SGF
2018-01-01 03:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-21,-24,-16,-24,24,5,64,0.0,1046,-16,10,7,18,SGF
2018-01-01 06:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-24,-27,-18,-27,23,0,60,0.0,1048,-18,10,3,17,SGF
2018-01-01 09:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-25,-25,-17,-25,18,0,49,0.0,1048,-17,10,6,14,SGF
2018-01-01 12:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-27,-19,-13,-19,15,2,29,0.0,1048,-13,10,7,13,SGF
2018-01-01 15:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-27,-16,-10,-16,12,6,23,0.0,1045,-10,10,0,11,SGF
2018-01-01 18:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-26,-19,-13,-19,17,7,31,0.0,1045,-13,10,18,11,SGF
2018-01-01 21:00:00,-10,-18,0.0,9.8,2,97,06:04 PM,07:45 AM,08:27 AM,06:07 PM,-26,-19,-13,-19,14,8,32,0.0,1045,-13,10,50,9,SGF
2018-01-02 00:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-17,-14,-17,8,18,31,0.0,1045,-14,10,55,5,SGF
2018-01-02 03:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-18,-14,-18,8,9,31,0.0,1044,-14,10,85,6,SGF
2018-01-02 06:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-18,-14,-18,7,26,32,0.0,1044,-15,10,75,5,SGF
2018-01-02 09:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-16,-13,-16,8,27,27,0.0,1043,-13,10,143,6,SGF
2018-01-02 12:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-12,-8,-12,9,21,19,0.0,1040,-8,10,231,8,SGF
2018-01-02 15:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-27,-9,-5,-9,10,21,16,0.0,1036,-5,10,247,9,SGF
2018-01-02 18:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-24,-13,-8,-13,17,25,26,0.0,1034,-8,10,255,10,SGF
2018-01-02 21:00:00,-5,-15,0.0,9.8,2,100,07:10 PM,08:48 AM,08:27 AM,06:08 PM,-21,-15,-9,-15,22,14,36,0.0,1031,-9,10,223,13,SGF
2018-01-03 00:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-18,-15,-9,-15,23,28,47,0.0,1030,-9,10,250,15,SGF
2018-01-03 03:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-20,-16,-9,-16,29,5,39,0.0,1028,-9,10,239,19,SGF
2018-01-03 06:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-19,-16,-9,-16,31,6,42,0.0,1027,-9,10,266,20,SGF
2018-01-03 09:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-16,-15,-7,-15,29,2,48,0.0,1028,-7,10,295,20,SGF
2018-01-03 12:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-11,-8,-2,-8,23,11,50,0.0,1027,-2,10,329,20,SGF
2018-01-03 15:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-12,-7,-2,-7,24,1,44,0.0,1026,-1,10,320,21,SGF
2018-01-03 18:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-13,-10,-6,-10,16,3,59,0.0,1028,-6,10,315,8,SGF
2018-01-03 21:00:00,-1,-9,0.0,9.8,2,89,08:20 PM,09:45 AM,08:28 AM,06:09 PM,-14,-12,-7,-12,23,9,54,0.0,1029,-7,10,330,14,SGF
2018-01-04 00:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-14,-14,-8,-14,19,20,61,0.0,1030,-8,10,348,13,SGF
2018-01-04 03:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-14,-15,-9,-15,16,4,69,0.0,1030,-9,10,358,11,SGF
2018-01-04 06:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-16,-17,-11,-17,15,0,67,0.0,1032,-11,10,1,12,SGF
2018-01-04 09:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-16,-13,-9,-13,8,0,58,0.0,1032,-10,10,4,7,SGF
2018-01-04 12:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-19,-8,-4,-8,10,3,32,0.0,1031,-4,10,4,8,SGF
2018-01-04 15:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-18,-3,-2,-3,6,10,26,0.0,1029,-2,10,352,5,SGF
2018-01-04 18:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-17,-4,-4,-4,5,8,35,0.0,1028,-5,10,40,3,SGF
2018-01-04 21:00:00,-2,-11,0.0,9.8,2,81,09:30 PM,10:34 AM,08:28 AM,06:09 PM,-17,-6,-5,-6,7,6,37,0.0,1028,-5,10,111,4,SGF
2018-01-05 00:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-18,-9,-6,-9,13,6,37,0.0,1029,-6,10,135,6,SGF
2018-01-05 03:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-17,-9,-5,-9,14,7,39,0.0,1028,-6,10,179,7,SGF
2018-01-05 06:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-17,-8,-5,-8,14,7,40,0.0,1028,-6,10,210,6,SGF
2018-01-05 09:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-14,-2,-2,-2,3,10,39,0.0,1029,-3,10,205,2,SGF
2018-01-05 12:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-9,2,3,2,6,11,41,0.0,1029,3,10,329,5,SGF
2018-01-05 15:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-8,1,4,1,12,10,41,0.0,1028,3,10,29,10,SGF
2018-01-05 18:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-13,-7,-2,-7,28,13,45,0.0,1030,-2,10,46,15,SGF
2018-01-05 21:00:00,3,-6,0.0,9.8,2,74,10:37 PM,11:17 AM,08:28 AM,06:10 PM,-14,-10,-4,-10,26,12,45,0.0,1032,-4,10,69,16,SGF
2018-01-06 00:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-14,-11,-6,-11,20,11,50,0.0,1033,-5,10,89,13,SGF
2018-01-06 03:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-14,-12,-6,-12,23,8,51,0.0,1034,-6,10,88,15,SGF
2018-01-06 06:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-15,-13,-7,-13,22,10,52,0.0,1035,-7,10,104,15,SGF
2018-01-06 09:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-15,-13,-6,-13,28,10,50,0.0,1035,-6,10,118,21,SGF
2018-01-06 12:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-13,-7,-1,-7,24,9,39,0.0,1033,-1,10,137,21,SGF
2018-01-06 15:00:00,1,-7,0.0,9.8,2,67,11:43 PM,11:54 AM,08:28 AM,06:11 PM,-11,-4,1,-4,24,5,39,0.0,1030,1,10,140,21,SGF
