date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,21,28,28,26,24,43,78,0.0,1017,26,10,99,17,SJU
2018-01-01 03:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,21,27,27,25,27,38,79,0.0,1016,25,10,102,19,SJU
2018-01-01 06:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,22,28,28,26,25,35,78,0.0,1018,26,10,103,18,SJU
2018-01-01 09:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,22,29,29,26,33,50,76,0.1,1018,26,10,91,25,SJU
2018-01-01 12:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,22,29,29,27,34,44,75,0.0,1016,27,10,89,25,SJU
2018-01-01 15:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,22,28,28,26,31,42,77,0.0,1016,26,10,87,23,SJU
2018-01-01 18:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,21,27,27,25,28,35,78,0.0,1017,25,10,89,20,SJU
2018-01-01 21:00:00,27,25,0.0,8.7,7,97,05:48 PM,06:12 AM,06:56 AM,05:59 PM,21,27,27,25,28,43,77,0.0,1017,25,10,82,20,SJU
2018-01-02 00:00:00,27,24,0.0,11.4,6,100,06:52 PM,07:16 AM,06:57 AM,06:00 PM,20,26,26,25,23,73,76,0.0,1016,25,10,89,16,SJU
2018-01-02 03:00:00,27,24,0.0,11.4,6,100,06:52 PM,07:16 AM,06:57 AM,06:00 PM,20,26,26,25,23,41,74,0.0,1016,24,10,88,17,SJU
2018-01-02 06:00:00,27,24,0.0,11.4,6,100,06:52 PM,07:16 AM,06:57 AM,06:00 PM,19,26,26,25,17,16,69,0.0,1016,25,10,97,12,SJU
