date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-20,-22,-19,-22,6,90,96,0.0,1031,-19,2,25,3,SYR
2018-01-01 03:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-21,-21,-21,-21,3,81,95,0.1,1031,-21,5,28,1,SYR
2018-01-01 06:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-22,-21,-21,-21,6,76,95,0.0,1032,-21,2,206,3,SYR
2018-01-01 09:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-18,-21,-17,-21,8,89,92,0.0,1032,-17,10,248,6,SYR
2018-01-01 12:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-15,-19,-13,-19,13,100,85,0.0,1028,-13,10,231,10,SYR
2018-01-01 15:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-14,-19,-13,-19,17,66,87,0.1,1027,-13,7,220,10,SYR
2018-01-01 18:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-14,-22,-12,-22,36,100,88,0.0,1027,-12,10,250,24,SYR
2018-01-01 21:00:00,-12,-21,0.9,3.4,1,97,05:36 PM,07:48 AM,08:36 AM,05:40 PM,-14,-22,-12,-22,39,100,86,0.8,1027,-12,2,293,26,SYR
2018-01-02 00:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-17,-24,-16,-24,24,94,88,0.0,1029,-16,10,301,15,SYR
2018-01-02 03:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-18,-23,-18,-23,14,91,93,0.0,1030,-18,10,288,7,SYR
2018-01-02 06:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-15,-19,-15,-19,10,100,96,0.0,1029,-15,2,217,6,SYR
2018-01-02 09:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-12,-18,-10,-18,29,94,88,0.3,1027,-10,2,248,21,SYR
2018-01-02 12:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-10,-16,-8,-16,35,100,82,0.0,1024,-7,10,241,26,SYR
2018-01-02 15:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-11,-17,-8,-17,37,62,79,0.1,1023,-8,7,249,25,SYR
2018-01-02 18:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-14,-19,-12,-19,29,60,83,0.0,1024,-12,10,237,16,SYR
2018-01-02 21:00:00,-7,-18,0.5,3.4,1,100,06:42 PM,08:52 AM,08:36 AM,05:41 PM,-16,-21,-13,-21,31,89,81,0.1,1024,-13,5,229,17,SYR
2018-01-03 00:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-15,-21,-13,-21,31,55,82,0.0,1024,-13,10,212,17,SYR
2018-01-03 03:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-17,-22,-14,-22,29,57,81,0.0,1024,-14,10,201,14,SYR
2018-01-03 06:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-17,-22,-15,-22,29,7,81,0.0,1025,-15,10,189,14,SYR
2018-01-03 09:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-15,-18,-11,-18,20,0,76,0.0,1024,-11,10,188,14,SYR
2018-01-03 12:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-12,-14,-8,-14,21,9,72,0.0,1020,-8,10,194,16,SYR
2018-01-03 15:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-12,-13,-8,-13,20,33,75,0.0,1019,-8,10,173,12,SYR
2018-01-03 18:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-13,-14,-8,-14,29,97,66,0.0,1019,-8,10,182,16,SYR
2018-01-03 21:00:00,-8,-15,0.0,8.7,2,89,07:54 PM,09:47 AM,08:36 AM,05:42 PM,-13,-16,-9,-16,28,26,73,0.0,1018,-9,10,183,14,SYR
2018-01-04 00:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-12,-14,-10,-14,20,33,79,0.0,1016,-10,10,188,9,SYR
2018-01-04 03:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-12,-13,-10,-13,9,80,85,0.0,1014,-10,10,195,5,SYR
2018-01-04 06:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-11,-12,-10,-12,6,100,94,0.0,1012,-10,10,264,4,SYR
2018-01-04 09:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-8,-13,-8,-13,16,100,94,0.0,1009,-8,10,321,13,SYR
2018-01-04 12:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-8,-14,-7,-14,26,100,90,0.0,1006,-7,10,324,20,SYR
2018-01-04 15:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-9,-16,-8,-16,34,100,91,0.2,1004,-8,5,316,25,SYR
2018-01-04 18:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-10,-17,-9,-17,32,100,90,0.0,1005,-9,10,313,22,SYR
2018-01-04 21:00:00,-7,-13,0.2,3.4,2,81,09:07 PM,10:34 AM,08:36 AM,05:43 PM,-14,-23,-13,-23,39,100,92,0.7,1007,-13,0,314,27,SYR
2018-01-05 00:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-16,-25,-15,-25,31,100,93,0.0,1008,-15,10,306,22,SYR
2018-01-05 03:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-17,-28,-17,-28,37,100,93,0.4,1009,-17,2,294,27,SYR
2018-01-05 06:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-19,-27,-18,-27,28,100,92,0.0,1012,-18,10,290,20,SYR
2018-01-05 09:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-19,-30,-18,-30,39,100,93,0.3,1013,-18,0,297,30,SYR
2018-01-05 12:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-18,-28,-17,-28,36,100,87,0.0,1014,-17,10,284,29,SYR
2018-01-05 15:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-18,-29,-17,-29,45,100,90,0.5,1015,-17,0,292,34,SYR
2018-01-05 18:00:00,-15,-18,0.3,3.4,1,74,10:18 PM,11:14 AM,08:36 AM,05:44 PM,-17,-26,-16,-26,33,100,90,0.0,1017,-16,10,291,23,SYR
