date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,12,18,18,18,9,85,65,0.0,1020,18,10,160,6,TPA
2018-01-01 03:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,12,18,18,18,11,69,66,0.0,1019,18,10,142,8,TPA
2018-01-01 06:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,14,18,18,18,3,100,79,0.0,1020,18,10,125,2,TPA
2018-01-01 09:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,12,15,15,15,32,100,81,0.5,1021,15,2,358,25,TPA
2018-01-01 12:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,6,9,11,9,22,97,69,0.0,1022,11,10,19,19,TPA
2018-01-01 15:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,3,6,9,6,30,99,67,0.0,1022,9,10,10,26,TPA
2018-01-01 18:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,1,2,6,2,30,100,67,0.0,1024,6,10,22,26,TPA
2018-01-01 21:00:00,18,6,0.0,5.1,3,97,06:39 PM,07:39 AM,08:21 AM,06:46 PM,-3,1,6,1,35,100,54,0.1,1025,6,10,17,30,TPA
2018-01-02 00:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,-3,0,5,0,32,100,58,0.0,1025,5,10,21,27,TPA
2018-01-02 03:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,-1,0,5,0,38,99,64,0.1,1025,5,10,18,32,TPA
2018-01-02 06:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,-1,0,5,0,30,100,67,0.0,1026,5,10,24,25,TPA
2018-01-02 09:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,0,1,6,1,35,89,67,0.0,1026,6,10,30,28,TPA
2018-01-02 12:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,4,8,11,8,23,65,64,0.0,1025,11,10,38,20,TPA
2018-01-02 15:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,5,7,11,7,34,100,69,0.0,1023,11,10,31,28,TPA
2018-01-02 18:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,4,5,9,5,30,89,73,0.0,1023,9,10,31,24,TPA
2018-01-02 21:00:00,11,5,0.0,5.1,2,100,07:45 PM,08:42 AM,08:22 AM,06:47 PM,3,4,8,4,31,90,73,0.0,1023,8,10,36,24,TPA
2018-01-03 00:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,4,5,8,5,22,83,76,0.0,1021,8,10,29,17,TPA
2018-01-03 03:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,4,4,7,4,29,100,83,3.3,1018,7,7,360,21,TPA
2018-01-03 06:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,5,4,7,4,18,100,87,0.0,1019,7,9,335,15,TPA
2018-01-03 09:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,7,6,10,6,38,69,87,7.1,1019,10,8,332,27,TPA
2018-01-03 12:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,6,8,11,8,27,11,71,0.0,1018,11,10,326,23,TPA
2018-01-03 15:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,4,9,12,9,33,7,57,0.0,1016,12,10,327,28,TPA
2018-01-03 18:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,1,5,9,5,27,88,60,0.0,1018,9,10,335,22,TPA
2018-01-03 21:00:00,12,7,0.0,8.4,2,89,08:52 PM,09:42 AM,08:22 AM,06:47 PM,-0,4,8,4,32,0,57,0.0,1019,8,10,350,24,TPA
2018-01-04 00:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,-7,2,5,2,19,0,42,0.0,1019,5,10,25,14,TPA
2018-01-04 03:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,-7,4,6,4,15,0,39,0.0,1020,6,10,1,10,TPA
2018-01-04 06:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,-5,3,5,3,17,0,46,0.0,1021,5,10,35,12,TPA
2018-01-04 09:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,-2,7,9,7,19,0,46,0.0,1022,9,10,312,16,TPA
2018-01-04 12:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,-0,9,11,9,24,0,45,0.0,1021,11,10,302,21,TPA
2018-01-04 15:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,1,9,12,9,28,0,48,0.0,1020,12,10,294,24,TPA
2018-01-04 18:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,2,8,10,8,23,0,58,0.0,1021,10,10,313,17,TPA
2018-01-04 21:00:00,12,5,0.0,10.3,3,81,09:58 PM,10:34 AM,08:22 AM,06:48 PM,3,9,11,9,22,0,58,0.0,1023,11,10,323,15,TPA
2018-01-05 00:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-1,5,8,5,24,4,53,0.0,1025,8,10,19,18,TPA
2018-01-05 03:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-5,3,6,3,25,12,45,0.0,1025,6,10,15,18,TPA
2018-01-05 06:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-11,-0,4,-0,23,12,34,0.0,1027,3,10,25,17,TPA
2018-01-05 09:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-11,2,6,2,21,8,29,0.0,1029,6,10,15,18,TPA
2018-01-05 12:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-11,9,10,9,12,49,21,0.0,1027,10,10,13,10,TPA
2018-01-05 15:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-8,12,13,12,13,47,23,0.0,1027,13,10,20,12,TPA
2018-01-05 18:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-5,10,11,10,11,27,32,0.0,1028,11,10,20,8,TPA
2018-01-05 21:00:00,13,3,0.0,10.3,3,74,11:01 PM,11:21 AM,08:22 AM,06:49 PM,-5,9,10,9,14,21,34,0.0,1029,10,10,32,10,TPA
2018-01-06 00:00:00,14,7,0.0,10.3,3,67,No moonrise,12:03 PM,08:22 AM,06:50 PM,-6,8,9,8,8,26,36,0.0,1029,8,10,42,6,TPA
2018-01-06 03:00:00,14,7,0.0,10.3,3,67,No moonrise,12:03 PM,08:22 AM,06:50 PM,-6,6,8,6,19,45,37,0.0,1028,8,10,31,13,TPA
2018-01-06 06:00:00,14,7,0.0,10.3,3,67,No moonrise,12:03 PM,08:22 AM,06:50 PM,-7,4,7,4,21,55,36,0.0,1029,7,10,31,14,TPA
2018-01-06 09:00:00,14,7,0.0,10.3,3,67,No moonrise,12:03 PM,08:22 AM,06:50 PM,-7,6,9,6,23,44,34,0.0,1030,9,10,27,18,TPA
