date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-10,12,12,12,5,11,20,0.0,1020,12,10,145,2,TUS
2018-01-01 03:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-10,12,12,12,5,5,20,0.0,1020,11,10,125,2,TUS
2018-01-01 06:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-11,11,11,11,9,5,20,0.0,1021,10,10,112,4,TUS
2018-01-01 09:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-9,12,12,12,13,6,21,0.0,1021,11,10,131,6,TUS
2018-01-01 12:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-8,21,22,21,5,6,13,0.0,1021,20,10,84,4,TUS
2018-01-01 15:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-5,23,23,23,5,6,15,0.0,1019,22,10,281,4,TUS
2018-01-01 18:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-3,20,20,20,25,5,21,0.0,1018,20,10,330,14,TUS
2018-01-01 21:00:00,22,10,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:31 PM,-5,15,15,15,9,3,25,0.0,1019,13,10,343,4,TUS
2018-01-02 00:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-6,14,14,14,6,2,25,0.0,1020,12,10,320,3,TUS
2018-01-02 03:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-8,11,11,11,2,65,25,0.0,1020,11,10,267,1,TUS
2018-01-02 06:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-8,10,10,10,5,100,26,0.0,1020,10,10,73,3,TUS
2018-01-02 09:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-7,11,10,11,8,18,28,0.0,1020,10,10,111,4,TUS
2018-01-02 12:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-10,18,18,18,6,21,13,0.0,1021,18,10,106,5,TUS
2018-01-02 15:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-9,22,22,22,10,17,12,0.0,1018,21,10,26,9,TUS
2018-01-02 18:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-7,19,19,19,19,5,17,0.0,1017,18,10,336,10,TUS
2018-01-02 21:00:00,21,10,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-7,14,14,14,13,6,21,0.0,1019,14,10,27,6,TUS
2018-01-03 00:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-7,12,13,12,19,12,24,0.0,1020,13,10,108,9,TUS
2018-01-03 03:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-7,11,13,11,36,17,25,0.0,1020,13,10,103,17,TUS
2018-01-03 06:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-8,10,13,10,50,13,23,0.0,1021,13,10,109,24,TUS
2018-01-03 09:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-9,9,11,9,43,3,23,0.0,1021,11,10,108,21,TUS
2018-01-03 12:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-11,18,18,18,31,12,13,0.0,1021,18,10,110,27,TUS
2018-01-03 15:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-10,21,21,21,26,47,12,0.0,1018,21,10,102,22,TUS
2018-01-03 18:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-8,19,19,19,26,63,15,0.0,1017,19,10,90,16,TUS
2018-01-03 21:00:00,21,11,0.0,8.7,5,89,07:44 PM,08:47 AM,07:25 AM,05:32 PM,-9,17,17,17,24,64,16,0.0,1018,17,10,92,12,TUS
2018-01-04 00:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-8,16,16,16,25,89,18,0.0,1019,16,10,120,13,TUS
2018-01-04 03:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-6,14,15,14,16,77,23,0.0,1019,14,10,94,8,TUS
2018-01-04 06:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-4,14,14,14,11,97,29,0.0,1020,14,10,75,5,TUS
2018-01-04 09:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-4,13,14,13,24,32,29,0.0,1020,14,10,111,13,TUS
2018-01-04 12:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-0,18,18,18,14,9,29,0.0,1021,18,10,118,12,TUS
2018-01-04 15:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,2,21,23,21,5,4,27,0.0,1018,20,10,47,4,TUS
2018-01-04 18:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,-0,20,20,20,17,0,27,0.0,1018,19,10,330,11,TUS
2018-01-04 21:00:00,20,14,0.0,8.7,4,81,08:51 PM,09:38 AM,07:25 AM,05:33 PM,1,16,16,16,10,1,35,0.0,1019,14,10,35,5,TUS
2018-01-05 00:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,2,15,14,15,7,0,44,0.0,1021,12,10,120,3,TUS
2018-01-05 03:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,3,15,14,15,8,0,47,0.0,1021,10,10,137,4,TUS
2018-01-05 06:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,2,12,12,12,14,0,50,0.0,1022,10,10,142,6,TUS
2018-01-05 09:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,2,12,13,12,16,0,47,0.0,1022,11,10,119,8,TUS
2018-01-05 12:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,-0,20,20,20,7,3,26,0.0,1022,18,10,130,6,TUS
2018-01-05 15:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,-1,25,24,25,2,0,18,0.0,1020,22,10,360,2,TUS
2018-01-05 18:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,-3,21,21,21,16,0,21,0.0,1019,19,10,323,9,TUS
2018-01-05 21:00:00,22,10,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:34 PM,-1,16,16,16,12,0,31,0.0,1020,14,10,352,6,TUS
2018-01-06 00:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-1,13,13,13,3,3,39,0.0,1021,11,10,305,1,TUS
2018-01-06 03:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-1,12,12,12,8,6,40,0.0,1021,10,10,150,4,TUS
2018-01-06 06:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-3,10,11,10,17,33,38,0.0,1021,11,10,140,8,TUS
2018-01-06 09:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-3,11,11,11,12,56,37,0.0,1021,11,10,121,6,TUS
2018-01-06 12:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-4,20,20,20,5,5,19,0.0,1020,19,10,152,4,TUS
2018-01-06 15:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-6,22,22,23,10,16,14,0.0,1018,22,10,272,9,TUS
2018-01-06 18:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-4,20,20,20,23,33,19,0.0,1017,20,10,329,14,TUS
2018-01-06 21:00:00,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:35 PM,-3,14,14,14,2,46,31,0.0,1017,14,10,301,1,TUS
2018-01-07 00:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,-3,14,14,14,6,21,32,0.0,1018,13,10,208,3,TUS
2018-01-07 03:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,-2,13,14,13,15,6,34,0.0,1017,13,10,210,7,TUS
2018-01-07 06:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,-1,12,13,12,15,10,39,0.0,1017,12,10,249,7,TUS
2018-01-07 09:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,2,12,12,12,9,13,48,0.0,1018,11,10,297,4,TUS
2018-01-07 12:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,1,19,19,19,6,8,31,0.0,1018,18,10,287,5,TUS
2018-01-07 15:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,2,21,21,21,5,5,29,0.0,1016,20,10,331,5,TUS
2018-01-07 18:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,2,19,19,19,10,13,34,0.0,1015,18,10,340,6,TUS
2018-01-07 21:00:00,20,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,2,14,14,14,8,21,46,0.0,1017,13,10,47,4,TUS
2018-01-08 00:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,2,14,13,14,9,5,46,0.0,1018,12,10,125,4,TUS
2018-01-08 03:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,2,13,13,13,14,3,47,0.0,1018,12,10,116,6,TUS
2018-01-08 06:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,1,12,13,12,21,7,44,0.0,1018,13,10,118,10,TUS
2018-01-08 09:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,2,13,14,13,23,22,45,0.0,1018,13,10,123,11,TUS
2018-01-08 12:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,5,21,21,21,7,11,36,0.0,1018,20,10,147,6,TUS
2018-01-08 15:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,4,24,24,23,9,5,29,0.0,1015,23,10,261,8,TUS
2018-01-08 18:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,4,21,23,21,10,4,33,0.0,1014,20,10,348,6,TUS
2018-01-08 21:00:00,23,12,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,3,17,17,17,11,11,41,0.0,1015,16,10,151,5,TUS
2018-01-09 00:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,3,17,17,17,20,5,39,0.0,1016,16,10,147,9,TUS
2018-01-09 03:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,3,16,16,16,22,9,42,0.0,1014,15,10,149,10,TUS
2018-01-09 06:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,5,16,16,16,17,0,48,0.0,1014,14,10,142,8,TUS
2018-01-09 09:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,3,14,15,14,23,9,46,0.0,1015,15,10,154,11,TUS
2018-01-09 12:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,1,21,21,21,29,43,25,0.0,1014,21,10,206,24,TUS
2018-01-09 15:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,1,19,19,19,28,46,31,0.0,1012,18,10,211,18,TUS
2018-01-09 18:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,6,20,20,20,37,5,40,0.0,1009,20,10,188,24,TUS
2018-01-09 21:00:00,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,7,15,15,15,38,20,57,0.0,1009,15,10,187,22,TUS
2018-01-10 00:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,7,13,14,13,29,22,64,0.0,1011,14,10,188,19,TUS
2018-01-10 03:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,7,9,11,9,36,78,75,0.0,1012,11,10,261,27,TUS
2018-01-10 06:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,6,8,9,8,11,32,78,0.0,1013,9,10,286,7,TUS
2018-01-10 09:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,4,7,9,7,19,33,73,0.1,1015,9,10,256,14,TUS
2018-01-10 12:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,5,8,11,8,23,100,67,0.0,1016,11,10,276,20,TUS
2018-01-10 15:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,4,9,11,9,24,52,61,0.0,1014,11,10,268,21,TUS
2018-01-10 18:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,4,10,12,10,22,44,58,0.0,1015,12,10,280,17,TUS
2018-01-10 21:00:00,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,4,9,10,9,18,31,66,0.0,1017,10,10,273,11,TUS
2018-01-11 00:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,4,7,9,7,14,20,75,0.0,1018,8,10,317,8,TUS
2018-01-11 03:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,5,7,8,7,11,11,83,0.0,1019,7,10,280,6,TUS
2018-01-11 06:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,5,5,7,5,18,11,85,0.0,1021,7,10,310,9,TUS
2018-01-11 09:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,6,7,7,7,5,10,91,0.0,1023,6,10,322,3,TUS
2018-01-11 12:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,7,15,14,15,6,0,62,0.0,1024,12,10,339,5,TUS
2018-01-11 15:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,3,17,17,17,8,0,38,0.0,1021,15,10,45,7,TUS
2018-01-11 18:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,1,16,16,16,12,0,34,0.0,1021,15,10,327,9,TUS
2018-01-11 21:00:00,15,6,0.0,8.7,4,30,02:46 AM,01:57 PM,07:26 AM,05:39 PM,3,13,13,13,9,0,49,0.0,1022,11,10,342,5,TUS
2018-01-12 00:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,3,11,11,11,3,0,58,0.0,1023,9,10,41,1,TUS
2018-01-12 03:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,3,12,12,12,6,0,53,0.0,1022,8,10,98,4,TUS
2018-01-12 06:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-0,9,10,9,14,0,51,0.0,1022,7,10,103,7,TUS
2018-01-12 09:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-2,9,10,9,17,1,43,0.0,1022,8,10,114,8,TUS
2018-01-12 12:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-1,19,19,19,4,0,26,0.0,1021,16,10,88,4,TUS
2018-01-12 15:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-4,20,20,20,12,0,19,0.0,1018,19,10,339,10,TUS
2018-01-12 18:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-2,19,19,19,11,0,25,0.0,1018,17,10,323,8,TUS
2018-01-12 21:00:00,19,7,0.0,8.7,4,23,03:40 AM,02:35 PM,07:26 AM,05:40 PM,-1,15,14,15,11,0,35,0.0,1019,12,10,353,5,TUS
2018-01-13 00:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,2,13,13,13,4,0,47,0.0,1021,10,10,19,2,TUS
2018-01-13 03:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-0,12,12,12,17,0,42,0.0,1022,10,10,105,8,TUS
2018-01-13 06:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-2,9,10,9,28,0,41,0.0,1023,10,10,104,13,TUS
2018-01-13 09:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-3,8,10,8,33,0,40,0.0,1023,10,10,105,15,TUS
2018-01-13 12:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-3,19,19,19,30,0,22,0.0,1022,18,10,108,26,TUS
2018-01-13 15:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-5,22,22,22,21,0,16,0.0,1020,22,10,104,18,TUS
2018-01-13 18:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-4,21,21,21,17,0,19,0.0,1019,20,10,71,9,TUS
2018-01-13 21:00:00,22,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:25 AM,05:40 PM,-5,16,16,16,27,0,24,0.0,1020,16,10,77,13,TUS
2018-01-14 00:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-4,13,14,13,21,0,28,0.0,1021,13,10,101,10,TUS
2018-01-14 03:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-4,12,13,12,23,0,30,0.0,1021,12,10,108,11,TUS
2018-01-14 06:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-6,9,11,9,27,11,30,0.0,1022,11,10,108,13,TUS
2018-01-14 09:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-6,9,11,9,27,8,31,0.0,1022,11,10,106,13,TUS
2018-01-14 12:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-7,19,19,19,19,8,16,0.0,1022,19,10,111,16,TUS
2018-01-14 15:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-9,22,22,22,15,20,11,0.0,1019,22,10,97,13,TUS
2018-01-14 18:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-6,20,20,20,13,79,16,0.0,1018,19,10,46,6,TUS
2018-01-14 21:00:00,22,11,0.0,8.7,5,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-8,15,15,15,9,61,20,0.0,1019,14,10,84,4,TUS
2018-01-15 00:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-7,12,12,12,4,32,25,0.0,1020,12,10,327,2,TUS
2018-01-15 03:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-7,12,11,12,7,100,26,0.0,1019,11,10,138,3,TUS
2018-01-15 06:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-10,10,11,10,18,9,21,0.0,1019,11,10,122,9,TUS
2018-01-15 09:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-7,12,12,12,10,5,26,0.0,1020,10,10,136,5,TUS
2018-01-15 12:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-8,20,20,20,3,10,15,0.0,1019,19,10,247,3,TUS
2018-01-15 15:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-8,22,22,22,12,7,12,0.0,1016,21,10,271,10,TUS
2018-01-15 18:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-6,19,19,19,21,5,18,0.0,1016,19,10,329,13,TUS
2018-01-15 21:00:00,21,10,0.0,8.7,4,1,06:14 AM,04:48 PM,07:25 AM,05:42 PM,-3,14,14,14,5,5,29,0.0,1017,13,10,330,3,TUS
2018-01-16 00:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-4,12,12,12,5,6,33,0.0,1018,11,10,314,3,TUS
2018-01-16 03:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-4,11,11,11,5,26,33,0.0,1019,11,10,91,3,TUS
2018-01-16 06:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-6,11,12,11,23,47,27,0.0,1020,12,10,111,11,TUS
2018-01-16 09:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-5,9,11,9,32,46,31,0.0,1022,11,10,102,17,TUS
2018-01-16 12:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-4,16,16,16,24,29,24,0.0,1022,16,10,96,21,TUS
2018-01-16 15:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-5,19,19,19,29,14,20,0.0,1020,19,10,94,25,TUS
2018-01-16 18:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-5,16,16,16,29,24,24,0.0,1020,16,10,91,21,TUS
2018-01-16 21:00:00,19,11,0.0,8.7,4,0,07:01 AM,05:38 PM,07:25 AM,05:43 PM,-5,12,14,12,26,48,26,0.0,1022,14,10,88,16,TUS
2018-01-17 00:00:00,17,7,0.0,8.7,4,0,07:46 AM,06:30 PM,07:25 AM,05:44 PM,-7,8,11,8,40,16,29,0.0,1023,11,10,104,25,TUS
