date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-20,-15,-9,-15,17,2,41,0.0,1033,-9,10,7,13,TYS
2018-01-01 03:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-18,-15,-10,-15,14,5,53,0.0,1034,-10,10,7,10,TYS
2018-01-01 06:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-16,-17,-11,-17,16,80,65,0.0,1036,-11,10,22,12,TYS
2018-01-01 09:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-16,-14,-9,-14,14,38,54,0.0,1037,-9,10,24,12,TYS
2018-01-01 12:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-18,-11,-6,-11,14,12,40,0.0,1037,-6,10,9,12,TYS
2018-01-01 15:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-18,-10,-6,-10,13,0,37,0.0,1036,-6,10,4,11,TYS
2018-01-01 18:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-17,-13,-9,-13,13,0,50,0.0,1039,-9,10,0,9,TYS
2018-01-01 21:00:00,-6,-11,0.0,9.9,2,97,06:28 PM,08:02 AM,08:46 AM,06:33 PM,-17,-15,-10,-15,13,0,54,0.0,1039,-10,10,17,9,TYS
2018-01-02 00:00:00,-2,-13,0.0,9.9,2,100,07:35 PM,09:05 AM,08:46 AM,06:34 PM,-20,-17,-11,-17,13,0,49,0.0,1040,-11,10,17,10,TYS
2018-01-02 03:00:00,-2,-13,0.0,9.9,2,100,07:35 PM,09:05 AM,08:46 AM,06:34 PM,-21,-17,-12,-17,11,0,45,0.0,1040,-12,10,30,8,TYS
2018-01-02 06:00:00,-2,-13,0.0,9.9,2,100,07:35 PM,09:05 AM,08:46 AM,06:34 PM,-23,-19,-13,-19,17,0,43,0.0,1041,-13,10,25,11,TYS
