date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,1,-1,3,-1,28,95,83,0.0,1026,3,10,1,22,VPS
2018-01-01 03:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-4,-6,0,-6,38,24,70,0.0,1028,0,10,5,30,VPS
2018-01-01 06:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-7,-7,-1,-7,30,97,63,0.0,1029,-1,10,2,23,VPS
2018-01-01 09:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-10,-7,-0,-7,35,68,48,0.0,1031,-0,10,8,30,VPS
2018-01-01 12:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-10,-1,4,-1,29,100,37,0.0,1031,4,10,8,25,VPS
2018-01-01 15:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-9,-1,4,-1,32,32,36,0.0,1030,4,10,13,28,VPS
2018-01-01 18:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-10,-4,1,-4,30,8,44,0.0,1032,1,10,10,22,VPS
2018-01-01 21:00:00,4,-1,0.0,5.4,1,97,05:51 PM,07:00 AM,07:43 AM,05:57 PM,-9,-6,0,-6,36,97,49,0.0,1033,0,10,20,27,VPS
2018-01-02 00:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-10,-7,-1,-7,33,100,50,0.0,1033,-1,10,23,25,VPS
2018-01-02 03:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-10,-8,-1,-8,31,6,50,0.0,1033,-1,10,29,24,VPS
2018-01-02 06:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-11,-8,-2,-8,27,83,48,0.0,1034,-2,10,32,21,VPS
2018-01-02 09:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-12,-6,-0,-6,27,92,41,0.0,1034,-0,10,39,24,VPS
2018-01-02 12:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-12,0,4,0,22,7,29,0.0,1032,4,10,32,19,VPS
2018-01-02 15:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-12,2,6,2,24,12,27,0.0,1029,6,10,37,21,VPS
2018-01-02 18:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-11,-1,3,-1,22,5,35,0.0,1029,3,10,18,13,VPS
2018-01-02 21:00:00,6,-2,0.0,7.1,1,100,06:56 PM,08:04 AM,07:44 AM,05:57 PM,-11,-2,2,-2,24,9,37,0.0,1028,2,10,48,15,VPS
2018-01-03 00:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-12,-2,1,-2,18,25,36,0.0,1027,1,10,34,13,VPS
2018-01-03 03:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-13,-2,2,-2,18,78,33,0.0,1025,2,10,34,14,VPS
2018-01-03 06:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-11,-2,1,-2,19,100,38,0.0,1024,1,10,358,13,VPS
2018-01-03 09:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-11,-1,3,-1,20,25,34,0.0,1024,3,10,354,17,VPS
2018-01-03 12:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-11,3,6,3,22,77,29,0.0,1022,6,10,351,19,VPS
2018-01-03 15:00:00,7,1,0.0,7.1,2,89,08:04 PM,09:02 AM,07:44 AM,05:58 PM,-8,3,7,3,23,17,34,0.0,1020,7,10,335,20,VPS
