month,day,dep_delay,,,Month,Delay Average
1,1,15.54,,,1,9.913870968
1,2,14.71,,,2,11.735
1,3,10.91,,,3,8.348064516
1,4,7.3,,,4,9.500333333
1,5,14.56,,,5,11.35612903
1,6,14.19,,,6,14.48033333
1,7,11.21,,,7,13.76032258
1,8,10.98,,,8,13.16354839
1,9,6.57,,,9,6.926666667
1,10,6.69,,,10,7.520645161
1,11,7.73,,,11,7.983333333
1,12,17.23,,,12,10.47483871
1,13,10.41,,,,
1,14,5.32,,,,
1,15,9.54,,,,
1,16,7.44,,,,
1,17,15.64,,,,
1,18,10.04,,,,
1,19,6.45,,,,
1,20,6.18,,,,
1,21,15.02,,,,
1,22,13.94,,,,
1,23,12.39,,,,
1,24,11.9,,,,
1,25,8.72,,,,
1,26,2.78,,,,
1,27,3.72,,,,
1,28,7.77,,,,
1,29,6.36,,,,
1,30,9.1,,,,
1,31,6.99,,,,
2,1,10.66,,,,
2,2,8.91,,,,
2,3,1.9,,,,
2,4,14.59,,,,
2,5,8.09,,,,
2,6,6.22,,,,
2,7,17.8,,,,
2,8,10.21,,,,
2,9,13.04,,,,
2,10,11.6,,,,
2,11,18.57,,,,
2,12,15.17,,,,
2,13,10.05,,,,
2,14,9.81,,,,
2,15,12.63,,,,
2,16,8.43,,,,
2,17,12,,,,
2,18,13.45,,,,
2,19,12.29,,,,
2,20,24.4,,,,
2,21,13.77,,,,
2,22,15.5,,,,
2,23,12.26,,,,
2,24,11.25,,,,
2,25,13.67,,,,
2,26,8.77,,,,
2,27,5.72,,,,
2,28,7.82,,,,
3,1,14.48,,,,
3,2,14.41,,,,
3,3,14.96,,,,
3,4,11.04,,,,
3,5,10.08,,,,
3,6,6.72,,,,
3,7,7.89,,,,
3,8,7.74,,,,
3,9,12.15,,,,
3,10,12.39,,,,
3,11,7.2,,,,
3,12,6.77,,,,
3,13,9.42,,,,
3,14,13.34,,,,
3,15,10.82,,,,
3,16,8.12,,,,
3,17,4.98,,,,
3,18,4.63,,,,
3,19,3.29,,,,
3,20,7.69,,,,
3,21,8.76,,,,
3,22,12.17,,,,
3,23,6.1,,,,
3,24,6.34,,,,
3,25,6.18,,,,
3,26,3.26,,,,
3,27,5.22,,,,
3,28,5.92,,,,
3,29,7.38,,,,
3,30,5.33,,,,
3,31,4.01,,,,
4,1,12.53,,,,
4,2,9.95,,,,
4,3,10.49,,,,
4,4,10.04,,,,
4,5,6.14,,,,
4,6,10.35,,,,
4,7,10.3,,,,
4,8,8.98,,,,
4,9,7.76,,,,
4,10,7.42,,,,
4,11,6.16,,,,
4,12,9.18,,,,
4,13,10.77,,,,
4,14,20.69,,,,
4,15,22.65,,,,
4,16,14.85,,,,
4,17,6.99,,,,
4,18,9.25,,,,
4,19,17.44,,,,
4,20,7.26,,,,
4,21,4.16,,,,
4,22,6.82,,,,
4,23,4.74,,,,
4,24,4.12,,,,
4,25,6.58,,,,
4,26,10.88,,,,
4,27,9.37,,,,
4,28,5.6,,,,
4,29,7.6,,,,
4,30,5.94,,,,
5,1,3.93,,,,
5,2,13.02,,,,
5,3,17.84,,,,
5,4,9.29,,,,
5,5,9.67,,,,
5,6,6.85,,,,
5,7,5.89,,,,
