dep_state,arr_state,Average,Cumulative Average
CA,CA,3.48,3.48
TX,TX,2.52,6.01
HI,HI,0.96,6.97
CA,TX,0.90,7.86
TX,CA,0.90,8.76
GA,FL,0.82,9.58
FL,GA,0.81,10.39
NY,FL,0.78,11.17
FL,NY,0.77,11.94
NV,CA,0.76,12.69
CA,NV,0.75,13.44
CA,WA,0.73,14.18
CA,AZ,0.73,14.90
WA,CA,0.72,15.62
AZ,CA,0.72,16.34
TX,FL,0.69,17.02
FL,TX,0.68,17.70
CA,CO,0.54,18.24
CO,CA,0.54,18.79
FL,NC,0.52,19.31
NC,FL,0.52,19.83
CA,OR,0.49,20.32
NC,NC,0.49,20.81
OR,CA,0.48,21.29
FL,FL,0.45,21.74
WA,WA,0.45,22.19
IL,NY,0.44,22.63
NY,IL,0.43,23.06
CO,TX,0.43,23.50
TX,CO,0.43,23.92
IL,FL,0.41,24.33
FL,IL,0.41,24.73
LA,TX,0.39,25.12
NJ,FL,0.39,25.51
TX,LA,0.39,25.89
IL,CA,0.38,26.28
GA,TX,0.38,26.65
CA,IL,0.38,27.03
FL,NJ,0.38,27.41
TX,GA,0.37,27.78
CA,UT,0.37,28.15
UT,CA,0.36,28.51
IL,OH,0.36,28.88
CA,HI,0.36,29.24
HI,CA,0.36,29.59
OH,IL,0.36,29.95
IL,TX,0.36,30.31
MI,IL,0.36,30.66
TX,IL,0.35,31.02
IL,MI,0.35,31.37
FL,PA,0.35,31.72
NY,NC,0.35,32.06
GA,NC,0.35,32.41
NC,GA,0.35,32.76
NC,NY,0.34,33.10
PA,FL,0.34,33.43
NY,CA,0.33,33.77
CO,CO,0.33,34.10
CA,NY,0.33,34.43
AZ,TX,0.31,34.74
AK,AK,0.31,35.06
DC,NY,0.31,35.36
TX,AZ,0.30,35.67
DC,FL,0.30,35.97
NY,DC,0.30,36.27
MI,MI,0.29,36.56
FL,DC,0.29,36.86
GA,NY,0.28,37.14
NY,NY,0.28,37.42
NY,GA,0.28,37.70
MO,TX,0.28,37.97
TX,MO,0.28,38.25
NY,MA,0.27,38.53
OR,WA,0.27,38.80
GA,GA,0.27,39.07
WA,OR,0.27,39.34
MA,NY,0.26,39.60
MA,FL,0.25,39.85
IL,MO,0.25,40.09
FL,MA,0.25,40.34
IL,PA,0.24,40.59
PA,IL,0.24,40.83
MO,IL,0.24,41.07
TX,NV,0.24,41.31
NV,TX,0.24,41.55
FL,OH,0.24,41.79
OH,FL,0.23,42.02
TX,TN,0.23,42.25
NY,TX,0.23,42.49
TN,TX,0.23,42.72
TX,OK,0.23,42.95
NY,MI,0.23,43.18
TX,NY,0.23,43.41
NY,PA,0.23,43.64
IL,WI,0.23,43.87
PA,NY,0.23,44.09
WI,IL,0.23,44.32
IL,IL,0.23,44.55
MI,NY,0.22,44.77
NC,TX,0.22,44.99
OK,TX,0.22,45.22
TX,NC,0.22,45.44
GA,IL,0.22,45.65
FL,MD,0.22,45.87
MD,FL,0.21,46.08
TN,GA,0.21,46.29
PA,PA,0.21,46.51
NC,PA,0.21,46.72
PA,NC,0.21,46.93
GA,TN,0.21,47.14
IL,GA,0.21,47.35
IL,MN,0.21,47.56
CA,GA,0.21,47.76
GA,CA,0.21,47.97
MN,IL,0.21,48.17
FL,CA,0.21,48.38
OH,NY,0.20,48.58
CA,FL,0.20,48.78
NY,OH,0.20,48.98
NC,DC,0.20,49.18
FL,MI,0.20,49.37
DC,NC,0.20,49.57
TX,DC,0.19,49.76
IL,NC,0.19,49.96
MI,FL,0.19,50.15
NC,VA,0.19,
DC,TX,0.19,
NC,IL,0.19,
VA,NC,0.19,
TN,IL,0.19,
CA,NJ,0.18,
IL,TN,0.18,
OH,NC,0.18,
NC,OH,0.18,
NJ,CA,0.18,
SC,NC,0.18,
LA,GA,0.18,
TX,OH,0.18,
GA,DC,0.17,
NC,TN,0.17,
NC,SC,0.17,
GA,LA,0.17,
PA,GA,0.17,
GA,PA,0.17,
PR,FL,0.17,
TN,NC,0.17,
OH,GA,0.17,
OH,TX,0.17,
FL,PR,0.17,
IL,CO,0.17,
CA,MA,0.17,
CO,IL,0.17,
DC,GA,0.17,
TN,FL,0.17,
DC,OH,0.17,
MA,CA,0.17,
GA,OH,0.16,
FL,TN,0.16,
AR,TX,0.16,
TX,AR,0.16,
AZ,CO,0.16,
OH,DC,0.16,
CO,AZ,0.16,
DC,IL,0.15,
IL,DC,0.15,
MI,TX,0.15,
GA,AL,0.15,
WA,AK,0.15,
PA,TX,0.15,
AK,WA,0.15,
TX,PA,0.15,
IN,IL,0.15,
TX,MI,0.15,
UT,CO,0.15,
SC,GA,0.15,
IL,IN,0.15,
AL,GA,0.15,
GA,VA,0.15,
CO,UT,0.15,
GA,SC,0.15,
AL,TX,0.14,
MN,MN,0.14,
MI,PA,0.14,
VA,GA,0.14,
TX,AL,0.14,
PA,MI,0.14,
CA,DC,0.14,
PA,MA,0.14,
CO,FL,0.14,
MA,PA,0.14,
DC,CA,0.14,
MA,DC,0.14,
NC,NJ,0.14,
NJ,NC,0.14,
DC,MA,0.13,
AZ,AZ,0.13,
FL,CO,0.13,
TX,MN,0.13,
MN,TX,0.13,
IL,IA,0.13,
NV,WA,0.13,
WA,NV,0.13,
NM,TX,0.13,
IA,IL,0.13,
WA,CO,0.13,
TX,WA,0.13,
TX,NM,0.13,
CA,MN,0.13,
MN,CA,0.12,
CO,WA,0.12,
CO,MO,0.12,
MO,CO,0.12,
IL,AZ,0.12,
MO,GA,0.12,
GA,MO,0.12,
AZ,IL,0.12,
WA,TX,0.12,
VA,NY,0.12,
TX,NJ,0.12,
NY,VA,0.12,
MA,IL,0.12,
TX,UT,0.12,
NJ,TX,0.12,
FL,MO,0.12,
CA,MO,0.12,
MN,WI,0.12,
AZ,NV,0.12,
NV,CO,0.11,
IL,MA,0.11,
NY,TN,0.11,
ND,MN,0.11,
CO,NV,0.11,
MO,FL,0.11,
MO,CA,0.11,
AZ,WA,0.11,
NV,AZ,0.11,
WA,AZ,0.11,
OR,OR,0.11,
UT,TX,0.11,
MN,ND,0.11,
GA,MI,0.11,
MI,GA,0.11,
OH,PA,0.11,
WI,MN,0.11,
TN,NY,0.11,
IL,NV,0.11,
IN,GA,0.11,
PA,OH,0.11,
NV,IL,0.11,
OH,NJ,0.10,
VA,IL,0.10,
GA,IN,0.10,
IL,VA,0.10,
NJ,GA,0.10,
KY,IL,0.10,
NC,MA,0.10,
NJ,OH,0.10,
IN,FL,0.10,
MD,NY,0.10,
IL,KY,0.10,
DC,SC,0.10,
FL,IN,0.10,
GA,NJ,0.10,
MN,MI,0.10,
MI,MN,0.10,
MA,NC,0.10,
UT,MT,0.10,
SC,DC,0.10,
DC,TN,0.10,
UT,AZ,0.10,
UT,ID,0.10,
NY,MD,0.10,
CA,NC,0.10,
MT,UT,0.10,
NC,MI,0.10,
MD,NC,0.10,
TN,DC,0.10,
NC,CA,0.10,
ID,UT,0.10,
MI,NC,0.10,
AZ,UT,0.09,
NJ,IL,0.09,
DC,MI,0.09,
MI,OH,0.09,
MA,GA,0.09,
PA,DC,0.09,
WA,ID,0.09,
PA,CA,0.09,
NC,MD,0.09,
OH,MI,0.09,
MI,DC,0.09,
LA,FL,0.09,
MI,WI,0.09,
NJ,NY,0.09,
TX,MD,0.09,
NV,NV,0.09,
CO,MT,0.09,
DC,PA,0.09,
IL,NJ,0.09,
GA,MD,0.09,
IL,WA,0.09,
GA,CO,0.09,
CA,PA,0.09,
CO,GA,0.09,
WI,MI,0.09,
GA,MA,0.09,
NY,NJ,0.09,
MD,TX,0.09,
FL,MN,0.09,
FL,LA,0.09,
TX,MA,0.09,
WA,UT,0.09,
WA,IL,0.09,
ID,WA,0.09,
MA,TX,0.09,
CT,FL,0.09,
MD,GA,0.09,
FL,CT,0.09,
MT,CO,0.09,
UT,WA,0.08,
IL,NE,0.08,
MN,FL,0.08,
TX,IN,0.08,
UT,NV,0.08,
NE,IL,0.08,
ID,CA,0.08,
CO,NY,0.08,
IN,TX,0.08,
NY,CO,0.08,
TX,MS,0.08,
VA,PA,0.08,
CA,MI,0.08,
NV,UT,0.08,
DC,MO,0.08,
OR,CO,0.08,
MI,CA,0.08,
MO,DC,0.08,
MS,TX,0.08,
CA,ID,0.08,
AL,NC,0.08,
DC,VA,0.08,
CO,MN,0.08,
MO,NY,0.08,
PA,VA,0.08,
ND,CO,0.08,
NC,AL,0.08,
CO,ND,0.08,
NY,MO,0.08,
CA,NM,0.08,
VA,DC,0.08,
CO,OR,0.07,
NM,CA,0.07,
MI,IN,0.07,
CO,WY,0.07,
NJ,MA,0.07,
MN,CO,0.07,
MA,MD,0.07,
TN,MI,0.07,
CO,OH,0.07,
NY,MN,0.07,
NC,MO,0.07,
IN,MI,0.07,
WI,GA,0.07,
MO,NC,0.07,
MA,NJ,0.07,
OH,CO,0.07,
MI,TN,0.07,
MN,OH,0.07,
WY,CO,0.07,
MN,NY,0.07,
GA,WI,0.07,
CO,NE,0.07,
NE,CO,0.07,
TN,PA,0.07,
MD,CA,0.07,
IL,MD,0.07,
IN,NC,0.07,
IL,SC,0.07,
KY,GA,0.07,
TX,KS,0.07,
MD,MA,0.07,
CO,OK,0.07,
WA,HI,0.07,
OH,MN,0.07,
WA,MT,0.07,
TN,CO,0.07,
CA,MD,0.07,
CO,DC,0.07,
CO,TN,0.07,
SC,IL,0.07,
HI,WA,0.07,
NJ,MI,0.07,
PA,TN,0.07,
GA,MN,0.07,
KS,TX,0.07,
GA,KY,0.07,
NC,IN,0.07,
MN,GA,0.07,
NV,FL,0.07,
MI,NJ,0.07,
MN,MO,0.07,
MD,IL,0.07,
SC,NY,0.07,
VA,FL,0.07,
OK,CO,0.07,
DC,CO,0.07,
MS,GA,0.06,
NY,SC,0.06,
MT,WA,0.06,
TX,SC,0.06,
PA,SC,0.06,
FL,VA,0.06,
TN,CA,0.06,
MO,MN,0.06,
NY,ME,0.06,
KY,TX,0.06,
OK,IL,0.06,
AR,IL,0.06,
OR,UT,0.06,
UT,OR,0.06,
GA,MS,0.06,
GA,AR,0.06,
AR,GA,0.06,
MA,OH,0.06,
NC,CO,0.06,
FL,NV,0.06,
ME,NY,0.06,
SC,TX,0.06,
GA,NV,0.06,
OR,NV,0.06,
AZ,OR,0.06,
OH,MA,0.06,
NC,LA,0.06,
IL,AR,0.06,
CA,TN,0.06,
NV,OR,0.06,
DC,NJ,0.06,
OR,AZ,0.06,
CO,NC,0.06,
MN,DC,0.06,
NV,GA,0.06,
NJ,DC,0.06,
TX,KY,0.06,
MN,WA,0.06,
SC,PA,0.06,
NV,NY,0.06,
FL,AZ,0.06,
OH,CA,0.06,
DC,MN,0.06,
NY,NV,0.06,
LA,NC,0.06,
CO,MI,0.06,
AZ,FL,0.06,
MN,SD,0.06,
CA,OH,0.06,
MI,MO,0.06,
KY,NC,0.06,
IL,OK,0.06,
MI,CO,0.06,
NJ,TN,0.06,
TN,NJ,0.06,
RI,FL,0.06,
IL,UT,0.06,
SD,MN,0.06,
WA,MN,0.06,
MD,OH,0.05,
MO,MI,0.05,
NC,KY,0.05,
NE,TX,0.05,
UT,IL,0.05,
CA,LA,0.05,
CO,PA,0.05,
AZ,NM,0.05,
OH,MD,0.05,
AZ,GA,0.05,
LA,CA,0.05,
GA,AZ,0.05,
MN,AZ,0.05,
AZ,MN,0.05,
FL,RI,0.05,
PA,CO,0.05,
TX,NE,0.05,
NM,AZ,0.05,
NC,MN,0.05,
MO,AZ,0.05,
AZ,MO,0.05,
DC,CT,0.05,
DC,RI,0.05,
AL,IL,0.05,
PA,MO,0.05,
TX,OR,0.05,
CT,DC,0.05,
IL,AL,0.05,
OR,TX,0.05,
NM,CO,0.05,
NY,PR,0.05,
CO,NM,0.05,
UT,UT,0.05,
ID,CO,0.05,
CO,SD,0.05,
MO,PA,0.05,
PR,NY,0.05,
PA,MN,0.05,
MN,NC,0.05,
CO,WI,0.05,
RI,DC,0.05,
CO,ID,0.05,
SC,NJ,0.05,
OK,GA,0.05,
NJ,MO,0.05,
NJ,MN,0.05,
MN,PA,0.05,
TX,IA,0.05,
WI,CO,0.05,
MA,MI,0.05,
SD,CO,0.05,
KS,IL,0.05,
AZ,PA,0.05,
GA,OK,0.05,
CT,IL,0.05,
IL,KS,0.05,
IL,CT,0.05,
TX,WI,0.05,
NC,AZ,0.05,
DC,ME,0.05,
IN,NY,0.04,
MI,MA,0.04,
NY,IN,0.04,
AZ,NC,0.04,
MO,NV,0.04,
MI,MD,0.04,
MI,NV,0.04,
NV,MI,0.04,
NJ,SC,0.04,
WI,TX,0.04,
WI,FL,0.04,
PA,AZ,0.04,
IA,TX,0.04,
CO,NJ,0.04,
VA,NJ,0.04,
NV,MO,0.04,
MO,NJ,0.04,
AZ,NY,0.04,
TN,MN,0.04,
NJ,VA,0.04,
MN,NJ,0.04,
FL,WI,0.04,
PA,ME,0.04,
DC,IN,0.04,
PA,MD,0.04,
ME,DC,0.04,
MN,MT,0.04,
ME,PA,0.04,
MN,TN,0.04,
MA,CO,0.04,
MT,MN,0.04,
GA,WA,0.04,
NJ,CO,0.04,
IL,SD,0.04,
WA,GA,0.04,
MD,MI,0.04,
SD,IL,0.04,
IL,OR,0.04,
LA,IL,0.04,
NY,WA,0.04,
CO,MA,0.04,
OR,IL,0.04,
WA,NY,0.04,
IL,LA,0.04,
NY,LA,0.04,
LA,NY,0.04,
IN,DC,0.04,
NY,AZ,0.04,
NY,WI,0.04,
DC,LA,0.04,
FL,KY,0.04,
MD,PA,0.04,
NE,MN,0.04,
NV,OH,0.04,
OH,NV,0.04,
GA,UT,0.04,
MN,NE,0.04,
KY,MI,0.04,
LA,DC,0.04,
AZ,MI,0.04,
UT,GA,0.04,
MN,MA,0.04,
MI,KY,0.04,
WI,NY,0.04,
FL,SC,0.04,
MN,NV,0.04,
MN,IA,0.04,
SC,FL,0.04,
KY,FL,0.04,
MA,MN,0.04,
MD,CO,0.04,
IA,CO,0.04,
ME,NJ,0.04,
VT,NY,0.04,
DC,AL,0.04,
IN,NJ,0.04,
AL,DC,0.04,
CO,MD,0.04,
KS,CO,0.04,
ND,IL,0.04,
MI,AZ,0.04,
PA,NV,0.04,
NJ,NV,0.03,
CO,KS,0.03,
ID,OR,0.03,
NJ,PA,0.03,
NY,VT,0.03,
IN,MN,0.03,
NJ,ME,0.03,
TN,MA,0.03,
CO,LA,0.03,
OR,ID,0.03,
LA,CO,0.03,
WV,NC,0.03,
VA,TX,0.03,
IL,ND,0.03,
NV,MN,0.03,
NV,PA,0.03,
IA,MN,0.03,
AR,NC,0.03,
NV,NJ,0.03,
CO,IA,0.03,
TX,VA,0.03,
NJ,IN,0.03,
PA,NJ,0.03,
MA,TN,0.03,
MA,VA,0.03,
PA,CT,0.03,
CT,PA,0.03,
NJ,AZ,0.03,
CO,IN,0.03,
IN,PA,0.03,
MN,IN,0.03,
NV,NC,0.03,
NC,WV,0.03,
TN,MD,0.03,
VA,MA,0.03,
OH,MO,0.03,
AZ,NJ,0.03,
GA,CT,0.03,
IN,CO,0.03,
CT,NC,0.03,
NC,CT,0.03,
NC,AR,0.03,
WA,MI,0.03,
FL,UT,0.03,
DC,WA,0.03,
CT,GA,0.03,
PA,IN,0.03,
MD,TN,0.03,
MO,MO,0.03,
RI,IL,0.03,
KY,DC,0.03,
WI,NC,0.03,
VA,MI,0.03,
RI,MD,0.03,
IL,RI,0.03,
NC,NV,0.03,
NC,WI,0.03,
AL,FL,0.03,
MI,IA,0.03,
DC,KY,0.03,
FL,WA,0.03,
MO,OH,0.03,
MI,SC,0.03,
WA,FL,0.03,
IA,MI,0.03,
WA,DC,0.03,
UT,FL,0.03,
WY,UT,0.03,
MI,WA,0.03,
CT,MD,0.03,
DC,VT,0.03,
UT,NY,0.03,
WA,MA,0.03,
HI,AZ,0.03,
MO,MD,0.03,
MA,WA,0.03,
NY,UT,0.03,
MO,TN,0.03,
WA,MO,0.03,
MO,WA,0.03,
MD,RI,0.03,
FL,AL,0.03,
OH,AZ,0.03,
HI,OR,0.03,
NH,MD,0.03,
VT,DC,0.03,
MI,VA,0.03,
CO,AR,0.03,
AZ,HI,0.03,
SC,MI,0.03,
MD,CT,0.03,
TN,MO,0.03,
UT,WY,0.03,
AZ,OH,0.03,
NJ,WA,0.03,
CA,IN,0.03,
OR,HI,0.03,
AZ,TN,0.03,
MD,MO,0.03,
MO,UT,0.03,
PA,WI,0.03,
NY,KY,0.03,
NM,IL,0.03,
WA,NJ,0.03,
GA,IA,0.03,
NE,GA,0.03,
GA,NE,0.03,
MN,UT,0.03,
PA,NH,0.03,
MD,NH,0.03,
NH,PA,0.02,
IN,CA,0.02,
AR,CO,0.02,
NV,MD,0.02,
MA,MO,0.02,
WI,PA,0.02,
TN,AZ,0.02,
NC,MS,0.02,
MN,MD,0.02,
MS,NC,0.02,
NV,MA,0.02,
KY,NY,0.02,
MD,MN,0.02,
MD,NV,0.02,
IA,GA,0.02,
KY,PA,0.02,
MO,MA,0.02,
AZ,OK,0.02,
WI,AZ,0.02,
NC,RI,0.02,
WI,NJ,0.02,
PA,KY,0.02,
TX,HI,0.02,
TN,OH,0.02,
NC,WA,0.02,
RI,PA,0.02,
MA,AZ,0.02,
FL,VI,0.02,
VI,FL,0.02,
UT,MO,0.02,
OH,TN,0.02,
NJ,PR,0.02,
AZ,WI,0.02,
IL,NM,0.02,
OK,AZ,0.02,
PA,RI,0.02,
WA,NC,0.02,
NV,TN,0.02,
LA,NJ,0.02,
MN,OR,0.02,
MA,NV,0.02,
NJ,WI,0.02,
NC,IA,0.02,
NJ,LA,0.02,
UT,MN,0.02,
OR,MN,0.02,
RI,NC,0.02,
AZ,MA,0.02,
MD,VA,0.02,
GA,WV,0.02,
CA,OK,0.02,
ID,AZ,0.02,
PR,NJ,0.02,
CA,NE,0.02,
ME,IL,0.02,
NE,AZ,0.02,
IN,AZ,0.02,
SC,MD,0.02,
HI,TX,0.02,
NE,CA,0.02,
PR,GA,0.02,
AZ,NE,0.02,
TT,TT,0.02,
AZ,ID,0.02,
AL,CO,0.02,
TN,NV,0.02,
WV,GA,0.02,
DC,AZ,0.02,
VT,NJ,0.02,
WI,NV,0.02,
CT,MI,0.02,
NC,OK,0.02,
NV,IN,0.02,
MD,LA,0.02,
VA,MD,0.02,
LA,MD,0.02,
FL,NH,0.02,
SD,TX,0.02,
IA,NC,0.02,
PA,VT,0.02,
MI,UT,0.02,
UT,MI,0.02,
NH,FL,0.02,
IL,ME,0.02,
IN,NV,0.02,
OK,CA,0.02,
NH,DC,0.02,
WV,IL,0.02,
CO,AL,0.02,
MD,AZ,0.02,
NV,WI,0.02,
CO,HI,0.02,
IL,VT,0.02,
NV,NM,0.02,
OK,NC,0.02,
VT,PA,0.02,
MT,CA,0.02,
AZ,MD,0.02,
IL,WV,0.02,
MD,SC,0.02,
MI,LA,0.02,
MI,CT,0.02,
CA,MT,0.02,
NV,DC,0.02,
NM,NV,0.02,
OR,MT,0.02,
SC,MA,0.02,
MT,TX,0.02,
NJ,VT,0.02,
HI,CO,0.02,
DC,NV,0.02,
TX,SD,0.02,
LA,TN,0.02,
DC,NH,0.02,
LA,MI,0.02,
AZ,DC,0.02,
AZ,IN,0.02,
TX,MT,0.02,
GA,PR,0.02,
UT,OK,0.02,
IL,NH,0.02,
MO,OK,0.02,
NH,IL,0.02,
OR,NY,0.02,
PA,WA,0.02,
WV,DC,0.02,
OK,NV,0.02,
WA,PA,0.02,
TN,LA,0.02,
NV,OK,0.02,
CT,MN,0.02,
MA,SC,0.02,
IN,MA,0.02,
PR,PA,0.02,
MT,OR,0.02,
MN,CT,0.02,
MT,IL,0.02,
MA,IN,0.02,
DC,WV,0.02,
ID,NV,0.02,
GA,OR,0.02,
MI,AL,0.02,
NY,OR,0.02,
MD,ME,0.02,
NE,NV,0.02,
MI,RI,0.02,
AZ,IA,0.02,
MN,OK,0.02,
OR,GA,0.02,
VT,IL,0.02,
KY,NJ,0.02,
OK,MN,0.02,
NV,NE,0.02,
WI,MO,0.02,
IL,MT,0.02,
MD,KY,0.02,
LA,PA,0.02,
KY,CO,0.02,
NV,ID,0.02,
ME,MD,0.02,
PR,TX,0.02,
LA,NV,0.02,
KY,MD,0.02,
PA,LA,0.02,
TX,PR,0.02,
ND,TX,0.02,
OK,MO,0.02,
