month,day,total_delay,,,Month,Month Average
1,1,6,,,1,5.82516129
1,2,5.05,,,2,4.906428571
1,3,6.44,,,3,5.541935484
1,4,7.19,,,4,5.163666667
1,5,6.39,,,5,4.791290323
1,6,7.03,,,6,4.142666667
1,7,6.75,,,7,4.755483871
1,8,5.72,,,8,4.312903226
1,9,7.1,,,9,5.158666667
1,10,6.19,,,10,4.65516129
1,11,5.12,,,11,5.155666667
1,12,3.8,,,12,5.716774194
1,13,6.68,,,,
1,14,6.35,,,,
1,15,3.66,,,,
1,16,5.52,,,,
1,17,2.69,,,,
1,18,5.33,,,,
1,19,6.97,,,,
1,20,7.43,,,,
1,21,5.02,,,,
1,22,5.58,,,,
1,23,4.51,,,,
1,24,4.05,,,,
1,25,5.86,,,,
1,26,7.31,,,,
1,27,6.24,,,,
1,28,6.62,,,,
1,29,5.39,,,,
1,30,5.54,,,,
1,31,7.05,,,,
2,1,5.73,,,,
2,2,6.57,,,,
2,3,7.9,,,,
2,4,4.83,,,,
2,5,6.14,,,,
2,6,5.11,,,,
2,7,2.62,,,,
2,8,5.09,,,,
2,9,5.95,,,,
2,10,3.62,,,,
2,11,3.34,,,,
2,12,3.77,,,,
2,13,6.09,,,,
2,14,6.3,,,,
2,15,5.12,,,,
2,16,5.39,,,,
2,17,3.19,,,,
2,18,5.1,,,,
2,19,2.56,,,,
2,20,1.8,,,,
2,21,5.42,,,,
2,22,3.62,,,,
2,23,4.56,,,,
2,24,5.19,,,,
2,25,5.74,,,,
2,26,6.14,,,,
2,27,5.68,,,,
2,28,4.81,,,,
3,1,3.64,,,,
3,2,4.07,,,,
3,3,4.67,,,,
3,4,5.29,,,,
3,5,4.56,,,,
3,6,4.95,,,,
3,7,5.05,,,,
3,8,5.04,,,,
3,9,3.79,,,,
3,10,5.6,,,,
3,11,6.12,,,,
3,12,5.09,,,,
3,13,5.34,,,,
3,14,5.34,,,,
3,15,5.37,,,,
3,16,6.31,,,,
3,17,7.02,,,,
3,18,7.23,,,,
3,19,6.27,,,,
3,20,4.86,,,,
3,21,5.05,,,,
3,22,5.02,,,,
3,23,6.51,,,,
3,24,7.04,,,,
3,25,5.96,,,,
3,26,5.6,,,,
3,27,6.09,,,,
3,28,5.82,,,,
3,29,5.76,,,,
3,30,6.54,,,,
3,31,6.8,,,,
4,1,6.97,,,,
4,2,5.42,,,,
4,3,3.22,,,,
4,4,3.99,,,,
4,5,5.45,,,,
4,6,3.89,,,,
4,7,4.69,,,,
4,8,5.19,,,,
4,9,4.17,,,,
4,10,4.96,,,,
4,11,5.2,,,,
4,12,3.94,,,,
4,13,3.44,,,,
4,14,2.59,,,,
4,15,2.97,,,,
4,16,5.24,,,,
4,17,6.06,,,,
4,18,4.92,,,,
4,19,3.62,,,,
4,20,6.3,,,,
4,21,7.88,,,,
4,22,6.42,,,,
4,23,6.52,,,,
4,24,6.4,,,,
4,25,5.81,,,,
4,26,5.47,,,,
4,27,5.98,,,,
